,0
INTU,5
TMO,5
PKG,9
AOS,1
FCX,6
DVN,9
FLT,5
NTRS,4
FTNT,0
INTC,3
O,10
EOG,9
PRU,4
FDX,6
DIS,9
ETR,10
EA,5
NUE,3
ZION,4
ZBRA,0
FMC,6
STT,4
SLB,9
CAT,3
MTB,4
TSLA,0
CMG,5
TXT,3
LYV,5
CL,1
PFE,9
BRK-B,4
BR,8
CNP,10
AEE,10
ADP,5
EMN,6
NOW,5
WYNN,1
APA,9
KMI,9
APTV,6
GM,4
HST,5
CINF,9
AAL,3
WST,7
ATVI,5
CTXS,5
NLOK,3
ENPH,0
ESS,10
EFX,7
DLTR,2
POOL,3
ULTA,8
MLM,1
BLL,6
HAL,6
PPG,3
DE,1
VZ,8
HRL,2
HUM,5
RSG,7
STX,1
EQR,10
CMA,4
IRM,2
VRSN,2
ROST,2
AMP,8
NVDA,1
J,9
NWSA,5
JBHT,3
WHR,2
AMCR,6
CMCSA,3
NRG,0
PSA,10
MPC,8
SBAC,2
MU,6
SCHW,4
MCO,1
SJM,0
MGM,5
HIG,8
ABMD,5
LIN,6
PSX,9
VRSK,5
NI,10
PNW,10
CTSH,5
DTE,10
AJG,8
TRV,8
NEE,10
DVA,0
OMC,3
CRL,5
GD,6
TAP,7
CLX,2
CF,0
HPQ,5
PH,6
FITB,4
FAST,2
PEG,10
NXPI,6
MNST,3
DFS,1
IPG,2
MRO,9
MCHP,6
MET,4
C,4
A,3
HAS,0
JNJ,9
COP,9
CHTR,8
BDX,8
WAT,3
IVZ,4
CMS,10
TSCO,2
FISV,5
VMC,1
MS,4
KLAC,6
FE,10
ES,10
SO,10
DD,0
FFIV,5
LRCX,1
LHX,9
TJX,2
DUK,10
KO,10
BLK,4
NLSN,4
FB,5
AFL,7
JPM,4
SWKS,6
WM,7
EXPD,3
TFX,0
COO,0
DRI,2
HOLX,5
CRM,5
ALLE,9
BA,1
ORCL,5
SYK,0
DGX,3
TXN,6
JNPR,1
ISRG,0
TTWO,5
ALB,6
PTC,5
RMD,3
FIS,5
SYY,6
F,9
NOC,7
MAS,1
LVS,1
HII,7
MDT,0
NWS,5
T,4
BF-B,5
USB,8
WBA,8
CSX,2
MTD,3
PWR,6
V,5
AIZ,8
ZBH,1
DXCM,0
WMT,2
GE,4
WDC,1
OKE,9
GRMN,6
WMB,6
CHRW,3
MSI,5
BK,8
CTRA,9
MMM,6
TSN,8
PAYC,3
CNC,5
REG,2
PNC,4
SWK,1
CDNS,5
MCK,0
FRC,4
PENN,1
COST,2
RJF,4
MCD,7
SEE,8
CB,8
CERN,1
ARE,2
AME,6
SPG,2
UNP,2
MTCH,5
TFC,4
ADSK,5
DOV,6
ROL,5
TROW,4
HON,9
UHS,7
YUM,7
FBHS,1
AMD,7
ZTS,0
TEL,6
MKTX,1
AIG,8
CME,8
MSCI,5
AMAT,6
PHM,2
EIX,6
WFC,4
VNO,10
CMI,6
TGT,2
DAL,3
LH,6
BIIB,0
BBY,3
WRB,8
AXP,8
CPRT,3
DG,2
COF,1
PBCT,4
WAB,6
CI,5
GOOG,5
DHI,8
BKNG,0
IQV,0
FANG,9
AMGN,0
IDXX,3
MSFT,5
ETN,6
GPN,5
BEN,4
ADM,6
LNT,10
KEY,4
VTR,10
AES,3
HD,1
BWA,8
WELL,10
EXR,10
ABT,0
CPB,2
PNR,8
UDR,10
PPL,10
KMB,10
DLR,1
ATO,10
DISH,1
DPZ,3
LLY,9
NFLX,0
INCY,0
TPR,0
CVX,9
GPS,2
ILMN,3
VFC,2
LEG,1
EW,0
MAA,10
OXY,9
LUV,7
KR,2
BKR,3
CE,6
TDY,0
PXD,9
CCI,2
AAP,2
RL,2
PAYX,9
NDAQ,8
ALL,7
GL,8
AON,9
PEP,2
NTAP,6
ACN,5
WU,3
TT,6
IEX,6
TMUS,0
CDW,7
HSIC,2
NVR,0
AKAM,3
HBAN,4
L,9
JCI,6
PLD,10
GWW,2
RE,3
DISCA,8
NSC,1
ADBE,5
DHR,5
AMT,2
MPWR,0
CSCO,5
GILD,0
CAH,8
CAG,8
EBAY,5
RHI,3
MHK,1
RF,4
ITW,6
TER,3
LOW,1
HES,9
LNC,4
CBOE,3
AAPL,5
BIO,0
CVS,8
PEAK,10
ROP,9
CBRE,1
PM,8
ALK,8
BXP,10
IP,9
SRE,10
GPC,4
KMX,0
XOM,9
MAR,5
BAX,3
MOS,3
CCL,1
QCOM,6
TRMB,0
D,10
UAA,3
XRAY,1
APH,6
EMR,6
EL,3
URI,3
BRO,8
AEP,10
ABBV,0
VRTX,0
XYL,6
TDG,1
ED,10
AWK,10
MO,4
GS,4
AVGO,6
AVY,9
NKE,3
EXPE,0
STE,0
BSX,0
NCLH,0
SNPS,5
PCAR,3
UNH,5
EQIX,1
MDLZ,3
NWL,2
GIS,10
SBUX,2
EXC,10
LEN,8
WY,1
LDOS,7
ALGN,7
PFG,8
MA,5
GLW,6
GNRC,6
SIVB,1
PVH,0
HBI,2
UAL,6
JKHY,5
VLO,8
TWTR,5
DRE,10
ANTM,5
ABC,8
SPGI,5
ODFL,5
ANSS,5
STZ,5
GOOGL,5
ORLY,2
LKQ,0
UPS,6
ICE,8
AZO,2
BMY,9
SNA,3
K,3
IBM,0
ROK,6
NEM,6
ADI,6
MMC,9
BBWI,2
SHW,7
PKI,5
AMZN,5
CTAS,3
HCA,3
RCL,0
IPGP,8
PG,10
TYL,5
TECH,0
LYB,6
CHD,2
FRT,2
KIM,2
DISCK,8
MKC,2
BAC,4
IT,5
APD,6
XEL,10
HSY,7
PGR,8
MRK,0
EVRG,10
AVB,10
VTRS,0
ECL,8
REGN,0
IFF,3
LMT,9
RTX,9
HLT,5
DXC,9
LUMN,1
WEC,10
