,0
INTU,10
TMO,9
PKG,6
AOS,10
FCX,1
DVN,7
FLT,10
NTRS,8
FTNT,2
INTC,3
O,0
EOG,7
PRU,8
FDX,5
DIS,3
ETR,0
EA,2
NUE,8
ZION,8
ZBRA,6
FMC,1
STT,8
SLB,7
CAT,1
MTB,8
TSLA,6
CMG,3
TXT,10
LYV,6
CL,4
PFE,8
BRK-B,10
BR,10
CNP,0
AEE,0
ADP,3
EMN,6
NOW,2
WYNN,4
APA,7
KMI,7
APTV,4
GM,1
HST,3
CINF,8
AAL,6
WST,5
ATVI,2
CTXS,2
NLOK,2
ENPH,6
ESS,0
EFX,3
DLTR,1
POOL,10
ULTA,1
MLM,6
BLL,4
HAL,7
PPG,1
DE,10
VZ,8
HRL,4
HUM,5
RSG,5
STX,2
EQR,0
CMA,8
IRM,0
VRSN,4
ROST,1
AMP,8
NVDA,2
J,10
NWSA,1
JBHT,5
WHR,1
AMCR,10
CMCSA,3
NRG,8
PSA,1
MPC,2
SBAC,9
MU,2
SCHW,8
MCO,4
SJM,4
MGM,10
HIG,8
ABMD,5
LIN,1
PSX,3
VRSK,10
NI,0
PNW,0
CTSH,6
DTE,0
AJG,8
TRV,8
NEE,0
DVA,3
OMC,8
CRL,2
GD,10
TAP,3
CLX,4
CF,6
HPQ,9
PH,1
FITB,8
FAST,1
PEG,0
NXPI,2
MNST,10
DFS,8
IPG,8
MRO,7
MCHP,2
MET,8
C,8
A,2
HAS,10
JNJ,10
COP,7
CHTR,9
BDX,10
WAT,2
IVZ,8
CMS,0
TSCO,1
FISV,5
VMC,1
MS,8
KLAC,2
FE,0
ES,0
SO,0
DD,1
FFIV,4
LRCX,2
LHX,6
TJX,1
DUK,0
KO,10
BLK,8
NLSN,9
FB,2
AFL,8
JPM,8
SWKS,2
WM,5
EXPD,3
TFX,2
COO,2
DRI,1
HOLX,10
CRM,2
ALLE,9
BA,10
ORCL,7
SYK,10
DGX,8
TXN,2
JNPR,8
ISRG,2
TTWO,2
ALB,2
PTC,5
RMD,7
FIS,5
SYY,1
F,1
NOC,9
MAS,3
LVS,2
HII,10
MDT,5
NWS,1
T,8
BF-B,4
USB,8
WBA,9
CSX,3
MTD,2
PWR,1
V,2
AIZ,8
ZBH,5
DXCM,3
WMT,4
GE,3
WDC,2
OKE,7
GRMN,7
WMB,7
CHRW,5
MSI,6
BK,8
CTRA,7
MMM,9
TSN,4
PAYC,2
CNC,5
REG,0
PNC,8
SWK,10
CDNS,2
MCK,9
FRC,8
PENN,7
COST,4
RJF,8
MCD,10
SEE,10
CB,8
CERN,9
ARE,0
AME,4
SPG,3
UNP,1
MTCH,6
TFC,8
ADSK,2
DOV,6
ROL,10
TROW,8
HON,10
UHS,9
YUM,10
FBHS,3
AMD,7
ZTS,10
TEL,9
MKTX,8
AIG,8
CME,10
MSCI,10
AMAT,2
PHM,3
EIX,8
WFC,10
VNO,0
CMI,6
TGT,1
DAL,6
LH,3
BIIB,6
BBY,10
WRB,8
AXP,8
CPRT,5
DG,1
COF,8
PBCT,8
WAB,3
CI,5
GOOG,2
DHI,3
BKNG,6
IQV,5
FANG,7
AMGN,10
IDXX,2
MSFT,2
ETN,2
GPN,2
BEN,8
ADM,3
LNT,0
KEY,8
VTR,0
AES,10
HD,4
BWA,1
WELL,0
EXR,1
ABT,10
CPB,4
PNR,6
UDR,0
PPL,0
KMB,4
DLR,9
ATO,0
DISH,7
DPZ,9
LLY,10
NFLX,10
INCY,2
TPR,1
CVX,3
GPS,1
ILMN,1
VFC,1
LEG,1
EW,10
MAA,0
OXY,7
LUV,3
KR,9
BKR,7
CE,1
TDY,10
PXD,7
CCI,9
AAP,1
RL,8
PAYX,5
NDAQ,10
ALL,8
GL,8
AON,8
PEP,4
NTAP,2
ACN,3
WU,8
TT,10
IEX,10
TMUS,5
CDW,2
HSIC,9
NVR,3
AKAM,3
HBAN,8
L,8
JCI,8
PLD,0
GWW,1
RE,8
DISCA,3
NSC,5
ADBE,2
DHR,10
AMT,9
MPWR,2
CSCO,10
GILD,9
CAH,1
CAG,9
EBAY,4
RHI,1
MHK,9
RF,8
ITW,10
TER,5
LOW,1
HES,7
LNC,8
CBOE,10
AAPL,2
BIO,6
CVS,9
PEAK,0
ROP,10
CBRE,5
PM,4
ALK,6
BXP,0
IP,10
SRE,0
GPC,1
KMX,1
XOM,4
MAR,2
BAX,2
MOS,8
CCL,8
QCOM,6
TRMB,6
D,0
UAA,3
XRAY,3
APH,9
EMR,6
EL,4
URI,3
BRO,8
AEP,0
ABBV,10
VRTX,2
XYL,10
TDG,10
ED,0
AWK,0
MO,8
GS,10
AVGO,2
AVY,9
NKE,1
EXPE,9
STE,6
BSX,2
NCLH,8
SNPS,2
PCAR,1
UNH,3
EQIX,2
MDLZ,4
NWL,7
GIS,4
SBUX,1
EXC,0
LEN,4
WY,3
LDOS,10
ALGN,10
PFG,8
MA,2
GLW,10
GNRC,6
SIVB,8
PVH,8
HBI,3
UAL,6
JKHY,5
VLO,3
TWTR,5
DRE,0
ANTM,9
ABC,9
SPGI,4
ODFL,5
ANSS,10
STZ,2
GOOGL,2
ORLY,1
LKQ,8
UPS,3
ICE,8
AZO,1
BMY,9
SNA,6
K,4
IBM,8
ROK,1
NEM,7
ADI,2
MMC,8
BBWI,3
SHW,6
PKI,10
AMZN,6
CTAS,6
HCA,3
RCL,2
IPGP,2
PG,4
TYL,5
TECH,1
LYB,3
CHD,1
FRT,3
KIM,3
DISCK,3
MKC,4
BAC,8
IT,2
APD,1
XEL,0
HSY,9
PGR,8
MRK,4
EVRG,0
AVB,0
VTRS,8
ECL,10
REGN,6
IFF,4
LMT,10
RTX,10
