,0
INTU,7
TMO,4
PKG,10
AOS,8
FCX,6
DVN,9
FLT,7
NTRS,2
FTNT,7
INTC,2
O,0
EOG,9
PRU,10
FDX,2
DIS,4
ETR,0
EA,7
NUE,6
ZION,10
ZBRA,9
FMC,9
STT,2
SLB,9
CAT,6
MTB,10
TSLA,7
CMG,1
TXT,8
LYV,3
CL,5
PFE,6
BRK-B,8
BR,1
CNP,0
AEE,0
ADP,5
EMN,6
NOW,7
WYNN,7
APA,9
KMI,9
APTV,5
GM,8
HST,3
CINF,3
AAL,1
WST,4
ATVI,7
CTXS,2
NLOK,7
ENPH,5
ESS,3
EFX,7
DLTR,5
POOL,8
ULTA,3
MLM,6
BLL,5
HAL,9
PPG,4
DE,10
VZ,9
HRL,7
HUM,4
RSG,3
STX,5
EQR,3
CMA,10
IRM,0
VRSN,8
ROST,5
AMP,10
NVDA,8
J,10
NWSA,2
JBHT,2
WHR,2
AMCR,8
CMCSA,8
NRG,3
PSA,3
MPC,6
SBAC,7
MU,7
SCHW,10
MCO,7
SJM,7
MGM,7
HIG,5
ABMD,1
LIN,6
PSX,6
VRSK,4
NI,0
PNW,0
CTSH,8
DTE,0
AJG,3
TRV,3
NEE,0
DVA,3
OMC,8
CRL,7
GD,3
TAP,7
CLX,7
CF,9
HPQ,7
PH,6
FITB,10
FAST,3
PEG,0
NXPI,5
MNST,8
DFS,2
IPG,8
MRO,9
MCHP,7
MET,10
C,10
A,4
HAS,2
JNJ,6
COP,9
CHTR,8
BDX,4
WAT,4
IVZ,2
CMS,0
TSCO,6
FISV,2
VMC,6
MS,10
KLAC,2
FE,0
ES,0
SO,0
DD,10
FFIV,2
LRCX,7
LHX,2
TJX,5
DUK,0
KO,5
BLK,10
NLSN,4
FB,7
AFL,10
JPM,10
SWKS,2
WM,3
EXPD,2
TFX,3
COO,1
DRI,2
HOLX,1
CRM,7
ALLE,8
BA,10
ORCL,7
SYK,1
DGX,1
TXN,7
JNPR,2
ISRG,1
TTWO,3
ALB,8
PTC,1
RMD,2
FIS,7
SYY,5
F,8
NOC,3
MAS,4
LVS,6
HII,3
MDT,1
NWS,2
T,9
BF-B,5
USB,10
WBA,8
CSX,6
MTD,4
PWR,6
V,7
AIZ,2
ZBH,1
DXCM,1
WMT,6
GE,8
WDC,2
OKE,9
GRMN,10
WMB,9
CHRW,1
MSI,2
BK,10
CTRA,9
MMM,8
TSN,7
PAYC,7
CNC,1
REG,3
PNC,10
SWK,8
CDNS,2
MCK,2
FRC,10
PENN,1
COST,5
RJF,10
MCD,9
SEE,8
CB,3
CERN,1
ARE,7
AME,6
SPG,3
UNP,6
MTCH,7
TFC,10
ADSK,2
DOV,6
ROL,5
TROW,2
HON,6
UHS,1
YUM,5
FBHS,4
AMD,7
ZTS,5
TEL,7
MKTX,10
AIG,10
CME,6
MSCI,3
AMAT,7
PHM,2
EIX,0
WFC,10
VNO,3
CMI,6
TGT,8
DAL,1
LH,1
BIIB,4
BBY,10
WRB,3
AXP,2
CPRT,5
DG,5
COF,2
