,0
INTU,4
TMO,4
PKG,10
AOS,2
FCX,0
DVN,8
FLT,2
NTRS,4
FTNT,8
INTC,3
O,0
EOG,8
PRU,9
FDX,3
DIS,8
ETR,0
EA,3
NUE,8
ZION,7
ZBRA,10
FMC,4
STT,4
SLB,8
CAT,1
MTB,7
TSLA,8
CMG,8
TXT,2
LYV,0
CL,7
PFE,4
BRK-B,4
BR,2
CNP,9
AEE,9
ADP,4
EMN,2
NOW,3
WYNN,0
APA,8
KMI,8
APTV,0
GM,0
HST,2
CINF,9
AAL,6
WST,9
ATVI,3
CTXS,5
NLOK,7
ENPH,3
ESS,7
EFX,0
DLTR,0
POOL,4
ULTA,8
MLM,7
BLL,9
HAL,0
PPG,2
DE,0
VZ,7
HRL,5
HUM,7
RSG,10
STX,0
EQR,7
CMA,0
IRM,6
VRSN,4
ROST,7
AMP,2
NVDA,4
J,6
NWSA,10
JBHT,2
WHR,4
AMCR,1
CMCSA,3
NRG,8
PSA,7
MPC,10
SBAC,5
MU,0
SCHW,2
MCO,2
SJM,5
MGM,0
HIG,1
ABMD,6
LIN,4
PSX,10
VRSK,5
NI,9
PNW,0
CTSH,9
DTE,8
AJG,0
TRV,0
NEE,5
DVA,6
OMC,6
CRL,2
GD,10
TAP,5
CLX,5
CF,6
HPQ,8
PH,2
FITB,7
FAST,5
PEG,0
NXPI,0
MNST,4
DFS,0
IPG,6
MRO,7
MCHP,0
MET,6
C,7
A,10
HAS,6
JNJ,5
COP,8
CHTR,4
BDX,10
WAT,3
IVZ,7
CMS,5
TSCO,3
FISV,2
VMC,7
MS,4
KLAC,0
FE,9
ES,9
SO,9
DD,10
FFIV,10
LRCX,0
LHX,9
TJX,9
DUK,5
KO,6
BLK,1
NLSN,6
FB,4
AFL,2
JPM,7
SWKS,0
WM,10
EXPD,0
TFX,8
COO,1
DRI,8
HOLX,4
CRM,3
ALLE,2
BA,6
ORCL,4
SYK,8
DGX,7
TXN,3
JNPR,4
ISRG,9
TTWO,3
ALB,2
PTC,6
RMD,5
FIS,4
SYY,7
F,6
NOC,7
MAS,2
LVS,2
HII,9
MDT,1
NWS,10
T,7
BF-B,5
USB,10
WBA,3
CSX,1
MTD,1
PWR,6
V,2
AIZ,0
ZBH,8
DXCM,4
WMT,3
GE,6
WDC,0
OKE,8
GRMN,4
WMB,8
CHRW,3
MSI,10
BK,4
CTRA,5
MMM,8
TSN,1
PAYC,7
CNC,7
REG,0
PNC,7
SWK,2
CDNS,0
MCK,9
FRC,1
PENN,0
COST,3
RJF,2
MCD,8
SEE,10
CB,9
CERN,9
ARE,9
AME,8
SPG,8
UNP,7
MTCH,2
TFC,7
ADSK,10
DOV,0
ROL,10
TROW,10
HON,6
UHS,1
YUM,1
FBHS,2
AMD,4
ZTS,9
TEL,0
MKTX,5
AIG,6
CME,10
MSCI,4
AMAT,0
PHM,2
EIX,9
WFC,6
VNO,0
CMI,5
TGT,3
DAL,6
LH,4
BIIB,10
BBY,3
WRB,9
AXP,6
CPRT,1
DG,3
COF,0
PBCT,7
WAB,0
CI,7
GOOG,4
DHI,2
BKNG,2
IQV,10
FANG,0
AMGN,4
IDXX,4
MSFT,4
ETN,8
GPN,2
BEN,5
ADM,5
LNT,5
KEY,7
VTR,8
AES,10
HD,0
BWA,0
