,0
INTU,0
TMO,2
PKG,3
AOS,2
FCX,0
DVN,9
FLT,4
NTRS,2
FTNT,5
INTC,1
O,7
EOG,9
PRU,9
FDX,5
DIS,9
ETR,8
EA,1
NUE,2
ZION,10
ZBRA,4
FMC,7
STT,2
SLB,9
CAT,5
MTB,4
TSLA,9
CMG,0
TXT,10
LYV,0
CL,1
PFE,2
BRK-B,2
BR,2
CNP,8
AEE,6
ADP,2
EMN,4
NOW,1
WYNN,0
APA,5
KMI,8
APTV,7
GM,9
HST,4
CINF,5
AAL,9
WST,6
ATVI,1
CTXS,3
NLOK,7
ENPH,9
ESS,6
EFX,0
DLTR,8
POOL,5
ULTA,0
MLM,7
BLL,6
HAL,9
PPG,8
DE,9
VZ,10
HRL,3
HUM,7
RSG,8
STX,6
EQR,6
CMA,8
IRM,2
VRSN,2
ROST,0
AMP,2
NVDA,0
J,10
NWSA,10
JBHT,4
WHR,2
AMCR,5
CMCSA,1
NRG,7
PSA,6
MPC,10
SBAC,2
MU,0
SCHW,10
MCO,0
SJM,3
MGM,0
HIG,7
ABMD,9
LIN,2
PSX,10
VRSK,0
NI,6
PNW,8
CTSH,4
DTE,8
AJG,8
TRV,8
NEE,5
DVA,10
OMC,10
CRL,7
GD,10
TAP,2
CLX,3
CF,9
HPQ,7
PH,0
FITB,7
FAST,2
PEG,8
NXPI,0
MNST,1
DFS,0
IPG,9
MRO,7
MCHP,0
MET,9
C,7
A,10
HAS,0
JNJ,2
COP,9
CHTR,1
BDX,8
WAT,3
IVZ,4
CMS,6
TSCO,1
FISV,2
VMC,7
MS,2
KLAC,0
FE,8
ES,6
SO,6
DD,10
FFIV,7
LRCX,0
LHX,6
TJX,5
DUK,6
KO,10
BLK,5
NLSN,3
FB,1
AFL,4
JPM,2
SWKS,0
WM,8
EXPD,0
TFX,2
COO,7
DRI,0
HOLX,7
CRM,1
ALLE,10
BA,0
ORCL,2
SYK,5
DGX,7
TXN,1
JNPR,0
ISRG,5
TTWO,1
ALB,4
PTC,9
RMD,1
FIS,0
SYY,7
F,2
NOC,6
MAS,6
LVS,4
HII,4
MDT,7
NWS,10
T,10
BF-B,3
USB,10
WBA,10
CSX,5
MTD,5
PWR,9
V,2
AIZ,8
ZBH,5
DXCM,2
WMT,2
GE,4
WDC,0
OKE,9
GRMN,2
WMB,7
CHRW,3
MSI,10
BK,2
CTRA,2
MMM,5
TSN,0
PAYC,10
CNC,6
REG,8
PNC,7
SWK,4
CDNS,1
MCK,8
FRC,2
PENN,0
COST,1
RJF,10
MCD,5
SEE,7
CB,8
CERN,5
ARE,6
AME,5
SPG,9
UNP,2
MTCH,0
TFC,7
ADSK,10
DOV,0
ROL,2
TROW,10
HON,10
UHS,7
YUM,0
FBHS,0
AMD,1
ZTS,6
TEL,0
MKTX,2
AIG,9
CME,8
MSCI,2
AMAT,0
PHM,0
EIX,4
WFC,9
VNO,1
CMI,9
TGT,1
DAL,9
LH,7
BIIB,10
BBY,9
WRB,8
AXP,2
CPRT,5
DG,8
COF,2
PBCT,10
WAB,0
CI,10
GOOG,1
DHI,4
BKNG,4
IQV,8
FANG,0
AMGN,2
IDXX,2
MSFT,1
ETN,5
GPN,0
BEN,3
ADM,3
LNT,6
KEY,7
VTR,9
AES,8
HD,1
BWA,0
WELL,7
EXR,6
ABT,6
CPB,3
PNR,0
UDR,6
PPL,6
KMB,3
DLR,6
ATO,6
DISH,3
DPZ,1
LLY,6
NFLX,1
INCY,10
TPR,4
CVX,8
GPS,4
ILMN,8
VFC,10
LEG,7
EW,5
MAA,6
OXY,10
LUV,9
KR,3
BKR,9
CE,4
TDY,0
PXD,9
CCI,6
AAP,1
RL,4
PAYX,5
NDAQ,5
ALL,10
GL,10
AON,9
PEP,1
NTAP,10
ACN,7
WU,1
TT,10
IEX,3
TMUS,1
CDW,1
HSIC,6
NVR,5
AKAM,1
HBAN,10
L,3
JCI,9
PLD,2
GWW,5
RE,8
DISCA,0
NSC,5
ADBE,1
DHR,2
AMT,6
MPWR,1
CSCO,1
GILD,5
CAH,9
CAG,3
EBAY,6
RHI,9
MHK,0
RF,7
ITW,3
TER,0
LOW,0
HES,9
LNC,9
CBOE,7
AAPL,1
BIO,2
CVS,8
PEAK,8
ROP,3
