,0
INTU,1
TMO,10
PKG,4
AOS,4
FCX,7
DVN,0
FLT,7
NTRS,8
FTNT,10
INTC,3
O,2
EOG,0
PRU,8
FDX,8
DIS,3
ETR,6
EA,5
NUE,0
ZION,8
ZBRA,5
FMC,7
STT,4
SLB,0
CAT,7
MTB,8
TSLA,5
CMG,7
TXT,9
LYV,5
CL,1
PFE,4
BRK-B,3
BR,3
CNP,6
AEE,6
ADP,3
EMN,0
NOW,10
WYNN,7
APA,0
KMI,0
APTV,10
GM,4
HST,7
CINF,8
AAL,10
WST,3
ATVI,9
CTXS,3
NLOK,4
ENPH,5
ESS,2
EFX,10
DLTR,4
POOL,5
ULTA,1
MLM,5
BLL,2
HAL,0
PPG,9
DE,8
VZ,3
HRL,4
HUM,9
RSG,1
STX,10
EQR,2
CMA,8
IRM,7
VRSN,1
ROST,3
AMP,5
NVDA,1
J,4
NWSA,0
JBHT,3
WHR,5
AMCR,1
CMCSA,3
NRG,0
PSA,2
MPC,10
SBAC,7
MU,7
SCHW,8
MCO,8
SJM,6
MGM,9
HIG,8
ABMD,2
LIN,8
PSX,8
VRSK,2
NI,6
PNW,6
CTSH,9
DTE,6
AJG,3
TRV,1
NEE,6
DVA,9
OMC,5
CRL,9
GD,10
TAP,4
CLX,6
CF,10
HPQ,4
PH,7
FITB,8
FAST,8
PEG,6
NXPI,5
MNST,2
DFS,8
IPG,5
MRO,0
MCHP,4
MET,4
C,8
A,10
HAS,4
JNJ,3
COP,0
CHTR,1
BDX,10
WAT,5
IVZ,8
CMS,6
TSCO,1
FISV,2
VMC,7
MS,8
KLAC,1
FE,6
ES,6
SO,6
DD,0
FFIV,5
LRCX,1
LHX,5
TJX,3
DUK,6
KO,2
BLK,8
NLSN,5
FB,1
AFL,8
JPM,8
SWKS,4
WM,8
EXPD,3
TFX,10
COO,10
DRI,4
HOLX,10
CRM,10
ALLE,2
BA,9
ORCL,3
SYK,10
DGX,5
TXN,3
JNPR,10
ISRG,5
TTWO,5
ALB,1
PTC,5
RMD,10
FIS,1
SYY,10
F,3
NOC,6
MAS,5
LVS,7
HII,9
MDT,10
NWS,8
T,3
BF-B,3
USB,8
WBA,10
CSX,5
MTD,5
PWR,7
V,1
AIZ,3
ZBH,10
DXCM,10
WMT,4
GE,1
WDC,10
OKE,0
GRMN,4
WMB,7
CHRW,7
MSI,3
BK,8
CTRA,0
MMM,3
TSN,4
PAYC,9
CNC,10
REG,2
PNC,8
SWK,10
CDNS,5
MCK,9
FRC,8
PENN,7
COST,4
RJF,8
MCD,5
SEE,9
CB,1
CERN,10
ARE,7
AME,3
SPG,2
UNP,8
MTCH,10
TFC,8
ADSK,10
DOV,3
ROL,9
TROW,8
HON,3
UHS,9
YUM,1
FBHS,5
AMD,7
ZTS,3
TEL,4
MKTX,1
AIG,4
CME,8
MSCI,8
AMAT,1
PHM,5
EIX,6
WFC,8
VNO,2
CMI,8
TGT,3
DAL,10
LH,10
BIIB,10
BBY,4
WRB,8
AXP,8
CPRT,3
DG,4
COF,8
PBCT,8
WAB,9
CI,9
GOOG,1
DHI,5
BKNG,1
IQV,10
FANG,0
AMGN,9
IDXX,9
MSFT,1
ETN,7
GPN,1
BEN,8
ADM,8
LNT,6
KEY,8
VTR,7
AES,0
HD,5
BWA,8
WELL,7
EXR,2
ABT,10
CPB,6
PNR,7
UDR,2
PPL,6
KMB,3
DLR,2
ATO,6
DISH,7
DPZ,9
LLY,10
NFLX,1
INCY,5
TPR,4
CVX,0
GPS,4
ILMN,4
VFC,9
LEG,5
EW,10
MAA,1
OXY,0
LUV,5
KR,5
BKR,0
CE,0
TDY,5
PXD,0
CCI,2
AAP,7
RL,4
PAYX,3
NDAQ,4
ALL,8
GL,8
AON,4
PEP,4
NTAP,9
ACN,1
WU,4
TT,7
IEX,3
TMUS,10
CDW,3
HSIC,9
NVR,3
AKAM,9
HBAN,8
L,8
JCI,9
PLD,2
GWW,7
RE,3
DISCA,7
NSC,7
ADBE,1
DHR,5
AMT,2
MPWR,4
CSCO,3
GILD,3
CAH,9
CAG,5
EBAY,10
RHI,8
MHK,1
RF,8
ITW,3
TER,3
LOW,5
HES,0
LNC,8
CBOE,5
AAPL,4
BIO,3
CVS,1
PEAK,7
ROP,7
CBRE,10
PM,4
ALK,5
BXP,2
IP,4
SRE,6
GPC,3
KMX,9
XOM,0
MAR,3
BAX,10
MOS,9
CCL,5
QCOM,3
TRMB,9
D,6
UAA,5
XRAY,10
APH,4
EMR,7
EL,8
URI,7
BRO,3
AEP,6
ABBV,0
VRTX,10
XYL,7
TDG,9
ED,6
AWK,6
MO,6
GS,8
AVGO,1
AVY,10
NKE,1
EXPE,1
STE,10
BSX,10
NCLH,5
SNPS,9
PCAR,8
UNH,9
EQIX,2
MDLZ,4
NWL,1
GIS,6
SBUX,1
EXC,7
LEN,3
WY,5
LDOS,5
ALGN,9
PFG,8
MA,5
GLW,5
GNRC,5
SIVB,8
PVH,9
HBI,5
UAL,10
JKHY,1
VLO,10
TWTR,9
DRE,7
ANTM,9
ABC,9
SPGI,8
ODFL,7
ANSS,5
STZ,1
GOOGL,1
ORLY,2
LKQ,9
UPS,3
ICE,3
AZO,1
BMY,5
SNA,5
K,7
IBM,7
ROK,7
NEM,7
ADI,5
MMC,3
BBWI,10
SHW,1
PKI,5
AMZN,1
CTAS,10
HCA,8
RCL,5
IPGP,9
PG,4
TYL,1
TECH,4
LYB,7
CHD,5
FRT,2
KIM,2
DISCK,7
MKC,4
BAC,8
IT,9
APD,8
XEL,6
HSY,4
PGR,8
MRK,4
EVRG,6
AVB,2
VTRS,8
ECL,1
REGN,9
IFF,8
LMT,6
RTX,8
HLT,10
DXC,8
LUMN,7
WEC,6
