,0
INTU,0
TMO,5
PKG,2
AOS,3
FCX,1
DVN,8
FLT,9
NTRS,10
FTNT,5
INTC,4
O,4
EOG,8
PRU,10
FDX,7
DIS,4
ETR,6
EA,0
NUE,1
ZION,10
ZBRA,7
FMC,8
STT,10
SLB,8
CAT,3
MTB,10
TSLA,8
CMG,7
TXT,9
LYV,0
CL,1
PFE,10
BRK-B,10
BR,3
CNP,6
AEE,6
ADP,3
EMN,7
NOW,0
WYNN,9
APA,8
KMI,8
APTV,9
GM,1
HST,0
CINF,10
AAL,5
WST,9
ATVI,0
CTXS,0
NLOK,0
ENPH,8
ESS,4
EFX,2
DLTR,7
POOL,9
ULTA,7
MLM,2
BLL,7
HAL,8
PPG,7
DE,3
VZ,10
HRL,1
HUM,9
RSG,9
STX,5
EQR,4
CMA,10
IRM,8
VRSN,0
ROST,1
AMP,10
NVDA,0
J,9
NWSA,5
JBHT,1
WHR,1
AMCR,9
CMCSA,5
NRG,0
PSA,3
MPC,3
SBAC,3
MU,5
SCHW,10
MCO,0
SJM,1
MGM,3
HIG,10
ABMD,2
LIN,1
PSX,1
VRSK,9
NI,6
PNW,6
CTSH,9
DTE,6
AJG,10
TRV,10
NEE,6
DVA,5
OMC,5
CRL,1
GD,3
TAP,2
CLX,1
CF,3
HPQ,10
PH,7
FITB,10
FAST,1
PEG,6
NXPI,8
MNST,9
DFS,10
IPG,3
MRO,8
MCHP,0
MET,10
C,10
A,3
HAS,3
JNJ,3
COP,3
CHTR,5
BDX,0
WAT,1
IVZ,2
CMS,6
TSCO,5
FISV,0
VMC,1
MS,10
KLAC,0
FE,6
ES,6
SO,6
DD,1
FFIV,9
LRCX,0
LHX,9
TJX,7
DUK,6
KO,9
BLK,10
NLSN,2
FB,2
AFL,10
JPM,10
SWKS,5
WM,9
EXPD,9
TFX,9
COO,3
DRI,3
HOLX,7
CRM,0
ALLE,5
BA,1
ORCL,8
SYK,0
DGX,9
TXN,0
JNPR,7
ISRG,0
TTWO,0
ALB,8
PTC,0
RMD,0
FIS,0
SYY,1
F,2
NOC,1
MAS,1
LVS,2
HII,9
MDT,4
NWS,5
T,10
BF-B,0
USB,10
WBA,5
CSX,9
MTD,9
PWR,3
V,0
AIZ,5
ZBH,8
DXCM,5
WMT,7
GE,2
WDC,4
OKE,8
GRMN,4
WMB,8
CHRW,9
MSI,9
BK,10
CTRA,4
MMM,9
TSN,1
PAYC,0
CNC,9
REG,4
PNC,10
SWK,1
CDNS,0
MCK,2
FRC,5
PENN,8
COST,7
RJF,10
MCD,3
SEE,7
CB,10
CERN,5
ARE,4
AME,9
SPG,4
UNP,1
MTCH,0
TFC,10
ADSK,0
DOV,7
ROL,0
TROW,2
HON,3
UHS,5
YUM,3
FBHS,1
AMD,0
ZTS,3
TEL,8
MKTX,10
AIG,10
CME,3
MSCI,3
AMAT,0
PHM,1
EIX,5
WFC,10
VNO,4
CMI,7
TGT,1
DAL,7
LH,7
BIIB,2
BBY,1
WRB,10
AXP,10
CPRT,9
DG,7
COF,10
PBCT,10
WAB,5
CI,9
GOOG,0
DHI,1
BKNG,0
IQV,2
FANG,8
AMGN,9
IDXX,0
MSFT,0
ETN,3
GPN,0
BEN,2
ADM,1
LNT,6
KEY,10
VTR,4
AES,9
HD,8
BWA,1
WELL,4
EXR,3
ABT,7
CPB,1
PNR,1
UDR,4
PPL,6
KMB,1
DLR,8
ATO,6
DISH,8
DPZ,1
LLY,2
NFLX,9
INCY,7
TPR,3
CVX,8
GPS,1
ILMN,0
VFC,3
LEG,7
EW,9
MAA,4
OXY,3
LUV,5
KR,7
BKR,8
CE,1
TDY,3
PXD,8
CCI,6
AAP,5
RL,5
PAYX,9
NDAQ,10
ALL,10
GL,10
AON,10
PEP,9
NTAP,0
ACN,0
WU,0
TT,3
IEX,9
TMUS,7
CDW,5
HSIC,7
NVR,5
AKAM,5
HBAN,10
L,10
JCI,10
PLD,6
GWW,9
RE,5
DISCA,5
NSC,7
ADBE,0
DHR,3
AMT,4
MPWR,0
CSCO,5
GILD,2
CAH,4
CAG,5
EBAY,10
RHI,5
MHK,2
RF,10
ITW,9
TER,0
LOW,8
HES,8
LNC,10
CBOE,9
AAPL,0
BIO,7
CVS,10
PEAK,4
ROP,9
CBRE,9
PM,2
ALK,7
BXP,4
IP,7
SRE,6
GPC,7
KMX,7
XOM,3
MAR,0
BAX,2
MOS,5
CCL,10
QCOM,9
TRMB,5
D,6
UAA,5
XRAY,7
APH,9
EMR,0
EL,3
URI,1
BRO,10
AEP,6
ABBV,9
VRTX,3
XYL,9
TDG,9
ED,6
AWK,6
MO,2
GS,10
AVGO,8
AVY,1
NKE,9
EXPE,10
STE,7
BSX,4
NCLH,10
SNPS,0
PCAR,7
UNH,3
EQIX,0
MDLZ,9
NWL,8
GIS,1
SBUX,7
EXC,6
LEN,1
WY,4
LDOS,9
ALGN,0
PFG,10
MA,0
GLW,9
GNRC,7
SIVB,0
PVH,5
HBI,8
UAL,7
JKHY,0
VLO,3
TWTR,9
DRE,4
ANTM,7
ABC,4
SPGI,3
ODFL,9
ANSS,0
STZ,4
GOOGL,0
ORLY,7
LKQ,5
UPS,9
ICE,10
AZO,5
BMY,2
SNA,5
K,1
IBM,2
ROK,5
NEM,3
ADI,1
MMC,10
BBWI,7
SHW,7
PKI,3
AMZN,8
CTAS,0
HCA,5
RCL,5
IPGP,0
PG,3
TYL,0
TECH,0
LYB,0
CHD,1
FRT,4
KIM,4
DISCK,5
MKC,1
BAC,10
IT,0
APD,1
XEL,6
HSY,5
PGR,0
MRK,2
EVRG,6
AVB,4
VTRS,10
ECL,9
REGN,7
IFF,3
LMT,3
RTX,3
HLT,0
DXC,3
LUMN,7
WEC,6
