,0
INTU,7
TMO,0
PKG,10
AOS,4
FCX,10
DVN,3
FLT,7
NTRS,9
FTNT,10
INTC,1
O,2
EOG,3
PRU,4
FDX,5
DIS,7
ETR,6
EA,3
NUE,1
ZION,4
ZBRA,0
FMC,9
STT,10
SLB,3
CAT,1
MTB,4
TSLA,1
CMG,7
TXT,1
LYV,0
CL,6
PFE,3
BRK-B,9
BR,8
CNP,6
AEE,6
ADP,7
EMN,1
NOW,7
WYNN,8
APA,3
KMI,3
APTV,3
GM,10
HST,4
CINF,9
AAL,8
WST,0
ATVI,7
CTXS,3
NLOK,9
ENPH,5
ESS,2
EFX,7
DLTR,2
POOL,1
ULTA,1
MLM,1
BLL,9
HAL,3
PPG,4
DE,1
VZ,10
HRL,0
HUM,3
RSG,2
STX,8
EQR,2
CMA,4
IRM,8
VRSN,7
ROST,7
AMP,4
NVDA,8
J,0
NWSA,8
JBHT,10
WHR,5
AMCR,10
CMCSA,1
NRG,6
PSA,2
MPC,3
SBAC,2
MU,8
SCHW,3
MCO,7
SJM,5
MGM,5
HIG,9
ABMD,3
LIN,3
PSX,3
VRSK,7
NI,6
PNW,6
CTSH,7
DTE,6
AJG,9
TRV,9
NEE,6
DVA,9
OMC,5
CRL,0
GD,1
TAP,2
CLX,4
CF,0
HPQ,5
PH,10
FITB,4
FAST,5
PEG,6
NXPI,8
MNST,1
DFS,4
IPG,10
MRO,3
MCHP,8
MET,9
C,4
A,0
HAS,8
JNJ,10
COP,3
CHTR,0
BDX,10
WAT,10
IVZ,5
CMS,6
TSCO,5
FISV,7
VMC,1
MS,4
KLAC,8
FE,6
ES,6
SO,6
DD,3
FFIV,3
LRCX,8
LHX,1
TJX,10
DUK,6
KO,9
BLK,4
NLSN,5
FB,0
AFL,9
JPM,4
SWKS,8
WM,2
EXPD,4
TFX,0
COO,0
DRI,10
HOLX,0
CRM,5
ALLE,7
BA,0
ORCL,3
SYK,0
DGX,8
TXN,8
JNPR,5
ISRG,0
TTWO,7
