,0
INTU,9
TMO,3
PKG,3
AOS,3
FCX,3
DVN,5
FLT,9
NTRS,1
FTNT,9
INTC,10
O,8
EOG,5
PRU,1
FDX,3
DIS,5
ETR,6
EA,9
NUE,5
ZION,1
ZBRA,4
FMC,5
STT,1
SLB,5
CAT,3
MTB,1
TSLA,10
CMG,7
TXT,2
LYV,4
CL,0
PFE,8
BRK-B,1
BR,2
CNP,6
AEE,6
ADP,5
EMN,7
NOW,9
WYNN,0
APA,5
KMI,5
APTV,5
GM,2
HST,2
CINF,8
AAL,0
WST,2
ATVI,9
CTXS,9
NLOK,10
ENPH,5
ESS,8
EFX,4
DLTR,7
POOL,9
ULTA,4
MLM,2
BLL,8
HAL,0
PPG,7
DE,3
VZ,0
HRL,8
HUM,4
RSG,4
STX,2
EQR,8
CMA,1
IRM,8
VRSN,9
ROST,4
AMP,1
NVDA,9
J,3
NWSA,5
JBHT,10
WHR,2
AMCR,10
CMCSA,8
NRG,10
PSA,10
MPC,7
SBAC,10
MU,2
SCHW,1
MCO,9
SJM,8
MGM,9
HIG,7
ABMD,10
LIN,7
PSX,0
VRSK,10
NI,6
PNW,6
CTSH,4
DTE,6
AJG,8
TRV,2
NEE,6
DVA,4
OMC,2
CRL,3
GD,7
TAP,0
CLX,0
CF,4
HPQ,2
PH,3
FITB,1
FAST,5
PEG,6
NXPI,9
MNST,2
DFS,1
IPG,8
MRO,3
MCHP,9
MET,1
C,1
A,3
HAS,2
JNJ,0
COP,5
CHTR,7
BDX,9
WAT,3
IVZ,0
CMS,6
TSCO,0
FISV,10
VMC,4
MS,1
KLAC,2
FE,4
ES,6
SO,6
DD,5
FFIV,10
LRCX,2
LHX,4
TJX,4
DUK,6
KO,8
BLK,8
NLSN,7
FB,7
AFL,0
JPM,1
SWKS,2
WM,2
EXPD,3
TFX,10
COO,10
DRI,7
HOLX,4
CRM,9
ALLE,7
BA,7
ORCL,8
SYK,0
DGX,2
TXN,9
JNPR,0
ISRG,9
TTWO,9
ALB,5
PTC,9
RMD,10
FIS,9
SYY,5
F,7
NOC,7
MAS,2
LVS,4
HII,4
MDT,10
NWS,5
T,0
BF-B,8
USB,1
WBA,4
CSX,9
MTD,3
PWR,4
V,9
AIZ,0
ZBH,0
DXCM,10
WMT,8
GE,5
WDC,8
OKE,5
GRMN,4
WMB,5
CHRW,7
MSI,4
BK,1
CTRA,4
MMM,0
TSN,0
PAYC,10
CNC,0
REG,8
PNC,1
SWK,2
CDNS,3
MCK,0
FRC,1
PENN,7
COST,5
RJF,1
MCD,9
SEE,7
CB,8
CERN,0
ARE,8
AME,3
SPG,8
UNP,2
MTCH,4
TFC,1
ADSK,9
DOV,0
ROL,10
TROW,3
HON,3
UHS,7
YUM,4
FBHS,0
AMD,0
ZTS,10
TEL,3
MKTX,7
AIG,4
CME,1
MSCI,10
AMAT,9
PHM,2
EIX,6
WFC,1
VNO,8
CMI,4
TGT,8
DAL,7
LH,0
BIIB,2
BBY,2
WRB,0
AXP,7
CPRT,3
DG,4
COF,1
PBCT,1
WAB,0
CI,2
GOOG,9
DHI,2
BKNG,5
IQV,3
FANG,5
AMGN,4
IDXX,9
MSFT,9
ETN,3
GPN,9
BEN,0
ADM,8
LNT,6
KEY,1
VTR,7
AES,2
HD,4
BWA,3
WELL,8
EXR,10
ABT,9
CPB,0
PNR,3
UDR,8
PPL,6
KMB,8
DLR,8
ATO,6
DISH,4
DPZ,7
LLY,0
NFLX,9
INCY,7
TPR,4
CVX,0
GPS,4
ILMN,9
VFC,0
LEG,3
EW,7
MAA,8
