,0
INTU,10
TMO,1
PKG,3
AOS,1
FCX,1
DVN,5
FLT,10
NTRS,4
FTNT,2
INTC,3
O,7
EOG,5
PRU,4
FDX,6
DIS,5
ETR,0
EA,2
NUE,7
ZION,4
ZBRA,5
FMC,10
STT,4
SLB,5
CAT,1
MTB,4
TSLA,9
CMG,8
TXT,10
LYV,9
CL,7
PFE,1
BRK-B,6
BR,6
CNP,0
AEE,0
ADP,3
EMN,10
NOW,10
WYNN,1
APA,5
KMI,5
APTV,6
GM,8
HST,8
CINF,9
AAL,3
WST,8
ATVI,10
CTXS,3
NLOK,7
ENPH,3
ESS,7
EFX,10
DLTR,1
POOL,6
ULTA,9
MLM,3
BLL,2
HAL,5
PPG,6
DE,10
VZ,8
HRL,7
HUM,5
RSG,8
STX,8
EQR,7
CMA,4
IRM,1
VRSN,10
ROST,6
AMP,4
NVDA,2
J,6
NWSA,6
JBHT,9
WHR,6
AMCR,7
CMCSA,7
NRG,9
PSA,7
MPC,9
SBAC,10
MU,2
SCHW,4
MCO,10
SJM,5
MGM,9
HIG,9
ABMD,9
LIN,6
PSX,5
VRSK,5
NI,0
PNW,0
CTSH,10
DTE,0
AJG,8
TRV,8
NEE,0
DVA,9
OMC,10
CRL,2
GD,8
TAP,3
CLX,7
CF,7
HPQ,6
PH,1
FITB,4
FAST,1
PEG,0
NXPI,10
MNST,9
DFS,6
IPG,7
MRO,5
MCHP,2
MET,8
C,4
A,10
HAS,1
JNJ,6
COP,5
CHTR,8
BDX,10
WAT,6
IVZ,1
CMS,0
TSCO,1
FISV,9
VMC,3
MS,4
KLAC,2
FE,0
ES,0
SO,0
DD,3
FFIV,7
LRCX,2
LHX,2
TJX,6
DUK,0
KO,10
BLK,7
NLSN,6
FB,10
AFL,8
JPM,4
SWKS,2
WM,1
EXPD,9
TFX,2
COO,2
DRI,10
HOLX,9
CRM,10
ALLE,8
BA,8
ORCL,1
SYK,8
DGX,6
TXN,2
JNPR,1
ISRG,2
TTWO,10
ALB,2
PTC,3
RMD,3
FIS,8
SYY,5
F,8
NOC,10
MAS,8
LVS,9
HII,8
MDT,10
NWS,6
T,1
BF-B,3
USB,4
WBA,1
CSX,7
MTD,10
PWR,1
V,2
AIZ,5
ZBH,8
DXCM,9
WMT,10
GE,6
WDC,8
OKE,5
GRMN,3
WMB,9
CHRW,8
MSI,3
BK,4
CTRA,5
MMM,8
TSN,5
PAYC,9
CNC,3
REG,8
PNC,4
SWK,6
CDNS,2
MCK,8
FRC,4
PENN,8
COST,5
RJF,4
MCD,10
SEE,10
CB,8
CERN,3
ARE,7
AME,1
SPG,8
UNP,6
MTCH,10
TFC,4
ADSK,3
DOV,1
ROL,1
TROW,1
HON,1
UHS,9
YUM,9
FBHS,1
AMD,3
ZTS,10
TEL,6
MKTX,8
AIG,6
CME,4
MSCI,3
AMAT,2
PHM,7
EIX,10
WFC,4
VNO,7
CMI,8
TGT,7
DAL,10
LH,3
BIIB,7
BBY,6
WRB,3
AXP,6
CPRT,9
DG,9
COF,4
PBCT,4
WAB,1
CI,9
GOOG,2
DHI,1
BKNG,6
IQV,9
FANG,5
AMGN,3
IDXX,3
MSFT,2
ETN,1
GPN,10
BEN,1
ADM,5
LNT,0
KEY,4
VTR,10
AES,6
HD,6
BWA,6
WELL,7
EXR,7
ABT,6
CPB,9
PNR,9
UDR,7
PPL,0
KMB,8
DLR,7
ATO,0
DISH,5
DPZ,10
LLY,6
NFLX,2
INCY,3
TPR,3
CVX,5
GPS,1
ILMN,5
VFC,3
LEG,3
EW,1
MAA,7
OXY,5
LUV,7
KR,7
BKR,6
CE,1
TDY,9
PXD,5
CCI,10
AAP,10
RL,1
PAYX,8
NDAQ,9
ALL,9
GL,4
AON,9
PEP,7
NTAP,3
ACN,10
WU,1
TT,1
IEX,6
TMUS,9
CDW,2
HSIC,10
NVR,1
AKAM,10
HBAN,4
L,9
JCI,9
PLD,6
GWW,1
RE,9
DISCA,5
NSC,7
ADBE,2
DHR,6
AMT,10
MPWR,2
CSCO,2
GILD,8
CAH,3
CAG,7
EBAY,2
RHI,7
MHK,10
RF,4
ITW,1
TER,2
LOW,10
HES,5
LNC,4
CBOE,9
AAPL,2
BIO,5
CVS,3
PEAK,10
ROP,6
CBRE,3
PM,6
ALK,7
BXP,7
IP,7
SRE,0
GPC,1
KMX,6
XOM,5
MAR,8
BAX,2
MOS,7
CCL,9
QCOM,3
TRMB,10
D,0
UAA,3
XRAY,6
APH,8
EMR,9
EL,10
URI,1
BRO,4
AEP,0
ABBV,1
VRTX,8
XYL,9
TDG,1
ED,0
AWK,0
MO,8
GS,4
AVGO,3
AVY,1
NKE,6
EXPE,8
STE,2
BSX,10
NCLH,3
SNPS,2
PCAR,1
UNH,5
EQIX,10
MDLZ,8
NWL,5
GIS,5
SBUX,2
EXC,0
LEN,7
WY,7
LDOS,8
ALGN,9
PFG,4
MA,10
GLW,1
GNRC,1
SIVB,4
PVH,6
HBI,10
UAL,1
JKHY,3
VLO,9
TWTR,8
DRE,7
ANTM,3
ABC,5
SPGI,10
ODFL,8
ANSS,2
STZ,2
GOOGL,2
ORLY,8
LKQ,8
UPS,1
ICE,4
AZO,8
BMY,10
SNA,8
K,5
IBM,6
ROK,9
NEM,7
ADI,2
MMC,8
BBWI,9
SHW,6
PKI,6
AMZN,3
CTAS,1
HCA,1
RCL,3
