,0
INTU,8
TMO,3
PKG,3
AOS,3
FCX,1
DVN,6
FLT,8
NTRS,1
FTNT,8
INTC,10
O,9
EOG,6
PRU,1
FDX,2
DIS,4
ETR,0
EA,8
NUE,1
ZION,7
ZBRA,2
FMC,6
STT,1
SLB,6
CAT,3
MTB,7
TSLA,10
CMG,4
TXT,5
LYV,2
CL,9
PFE,10
BRK-B,10
BR,8
CNP,0
AEE,0
ADP,8
EMN,3
NOW,8
WYNN,1
APA,6
KMI,6
APTV,3
GM,1
HST,4
CINF,10
AAL,1
WST,8
ATVI,4
CTXS,8
NLOK,2
ENPH,5
ESS,9
EFX,1
DLTR,5
POOL,3
ULTA,5
MLM,3
BLL,10
HAL,6
PPG,3
DE,3
VZ,4
HRL,9
HUM,5
RSG,10
STX,3
EQR,9
CMA,7
IRM,9
VRSN,8
ROST,5
AMP,1
NVDA,8
J,1
NWSA,1
JBHT,5
WHR,1
AMCR,10
CMCSA,2
NRG,5
PSA,9
MPC,1
SBAC,10
MU,4
SCHW,10
MCO,8
SJM,9
MGM,3
HIG,4
ABMD,8
LIN,3
PSX,1
VRSK,10
NI,0
PNW,0
CTSH,8
DTE,0
AJG,4
TRV,10
NEE,0
DVA,5
OMC,10
CRL,2
GD,3
TAP,5
CLX,9
CF,4
HPQ,1
PH,3
FITB,7
FAST,1
PEG,0
NXPI,1
MNST,7
DFS,10
IPG,1
MRO,6
MCHP,4
MET,5
C,5
A,2
HAS,4
JNJ,1
COP,6
CHTR,5
BDX,10
WAT,2
IVZ,10
CMS,0
TSCO,1
FISV,2
VMC,3
MS,10
KLAC,4
FE,0
ES,0
SO,0
DD,3
FFIV,1
LRCX,10
LHX,5
TJX,5
DUK,0
KO,5
BLK,10
NLSN,5
FB,8
AFL,7
JPM,10
SWKS,4
WM,10
EXPD,5
TFX,10
COO,2
DRI,5
HOLX,10
CRM,8
ALLE,1
BA,4
ORCL,8
SYK,2
DGX,4
TXN,4
JNPR,1
ISRG,8
TTWO,8
ALB,1
PTC,8
RMD,8
FIS,8
SYY,9
F,1
NOC,10
MAS,3
LVS,1
HII,5
MDT,2
NWS,5
T,9
BF-B,9
USB,7
WBA,6
CSX,5
MTD,2
PWR,3
V,8
AIZ,6
ZBH,2
DXCM,5
WMT,10
GE,1
WDC,3
OKE,6
GRMN,5
WMB,6
CHRW,5
MSI,8
BK,1
CTRA,5
MMM,3
TSN,9
PAYC,8
CNC,8
REG,9
PNC,7
SWK,3
CDNS,4
MCK,2
FRC,7
PENN,6
COST,10
RJF,5
MCD,1
SEE,5
CB,10
CERN,2
ARE,9
AME,3
SPG,9
UNP,2
MTCH,8
TFC,7
ADSK,8
DOV,2
ROL,5
TROW,5
HON,3
UHS,9
YUM,10
FBHS,3
AMD,4
ZTS,2
TEL,10
MKTX,9
AIG,5
CME,10
MSCI,8
AMAT,10
PHM,4
EIX,0
WFC,7
VNO,7
CMI,1
TGT,4
DAL,1
LH,4
BIIB,1
BBY,4
WRB,10
AXP,10
CPRT,1
DG,5
COF,5
PBCT,7
WAB,5
CI,2
GOOG,8
DHI,4
BKNG,8
IQV,2
FANG,6
AMGN,5
IDXX,8
MSFT,8
ETN,3
GPN,8
BEN,10
ADM,6
LNT,0
KEY,7
VTR,9
AES,0
HD,2
BWA,3
WELL,9
EXR,0
ABT,4
CPB,6
PNR,3
UDR,9
PPL,0
KMB,10
DLR,9
ATO,0
DISH,1
DPZ,8
LLY,1
NFLX,8
INCY,3
TPR,5
CVX,6
GPS,9
ILMN,8
VFC,2
LEG,3
EW,8
MAA,9
OXY,6
LUV,1
KR,6
BKR,2
CE,3
TDY,5
PXD,6
CCI,0
AAP,7
RL,5
PAYX,2
NDAQ,10
ALL,5
GL,10
AON,10
PEP,0
NTAP,8
ACN,8
WU,2
TT,3
IEX,3
TMUS,5
CDW,8
HSIC,2
NVR,3
AKAM,8
HBAN,7
L,10
JCI,10
PLD,9
GWW,3
RE,10
DISCA,1
NSC,3
ADBE,8
DHR,10
AMT,0
MPWR,4
CSCO,10
GILD,2
CAH,2
CAG,6
EBAY,1
RHI,5
MHK,3
RF,7
ITW,3
TER,4
LOW,4
HES,6
LNC,7
CBOE,8
AAPL,8
BIO,2
CVS,4
PEAK,9
ROP,10
CBRE,10
PM,2
ALK,1
BXP,9
IP,3
SRE,0
GPC,1
KMX,4
XOM,6
MAR,4
BAX,8
MOS,2
CCL,1
QCOM,4
TRMB,4
D,0
UAA,5
XRAY,2
APH,8
EMR,3
EL,3
URI,3
BRO,4
AEP,0
ABBV,2
VRTX,4
XYL,3
TDG,3
ED,0
AWK,0
MO,9
GS,10
AVGO,10
AVY,3
NKE,10
EXPE,8
STE,2
BSX,2
NCLH,5
SNPS,8
PCAR,1
UNH,2
EQIX,10
MDLZ,6
NWL,4
GIS,6
SBUX,10
EXC,0
LEN,4
WY,5
LDOS,5
ALGN,4
PFG,1
MA,8
GLW,4
GNRC,10
SIVB,5
PVH,5
HBI,5
UAL,1
JKHY,2
VLO,1
TWTR,8
DRE,9
ANTM,1
ABC,10
SPGI,10
ODFL,8
ANSS,8
STZ,6
GOOGL,8
ORLY,6
LKQ,3
UPS,1
ICE,10
AZO,2
BMY,7
SNA,1
K,5
IBM,10
ROK,3
NEM,6
ADI,4
MMC,10
BBWI,4
SHW,3
PKI,2
AMZN,8
CTAS,10
HCA,2
RCL,1
IPGP,9
PG,4
TYL,8
TECH,2
LYB,3
CHD,9
FRT,9
KIM,9
DISCK,1
MKC,0
BAC,10
IT,2
APD,10
XEL,0
HSY,6
PGR,1
MRK,1
EVRG,0
AVB,9
VTRS,5
ECL,10
REGN,10
IFF,10
LMT,6
RTX,1
HLT,1
DXC,1
LUMN,10
WEC,0
