,0
INTU,3
TMO,2
PKG,0
AOS,2
FCX,7
DVN,7
FLT,9
NTRS,4
FTNT,3
INTC,1
O,5
EOG,7
PRU,4
FDX,0
DIS,0
ETR,8
EA,3
NUE,7
ZION,4
ZBRA,6
FMC,7
STT,4
SLB,7
CAT,0
MTB,4
TSLA,3
CMG,0
TXT,0
LYV,0
CL,2
PFE,1
BRK-B,9
BR,6
CNP,8
AEE,8
ADP,10
EMN,7
NOW,3
WYNN,5
APA,7
KMI,7
APTV,1
GM,10
HST,5
CINF,10
AAL,5
WST,2
ATVI,3
CTXS,10
NLOK,10
ENPH,6
ESS,5
EFX,10
DLTR,9
POOL,2
ULTA,5
MLM,7
BLL,2
HAL,7
PPG,9
DE,0
VZ,9
HRL,4
HUM,9
RSG,9
STX,1
EQR,5
CMA,4
IRM,0
VRSN,3
ROST,0
AMP,4
NVDA,3
J,7
NWSA,4
JBHT,2
WHR,2
AMCR,1
CMCSA,0
NRG,8
PSA,8
MPC,7
SBAC,3
MU,1
SCHW,4
MCO,3
SJM,10
MGM,0
HIG,4
ABMD,0
LIN,9
PSX,7
VRSK,2
NI,8
PNW,8
CTSH,2
DTE,8
AJG,9
TRV,4
NEE,8
DVA,9
OMC,0
CRL,2
GD,0
TAP,0
CLX,4
CF,7
HPQ,10
PH,7
FITB,4
FAST,9
PEG,8
NXPI,6
MNST,3
DFS,4
IPG,0
MRO,7
MCHP,6
MET,4
C,4
A,1
HAS,0
JNJ,1
COP,7
CHTR,2
BDX,1
WAT,1
IVZ,7
CMS,8
TSCO,2
FISV,9
VMC,7
MS,10
KLAC,6
FE,10
ES,8
SO,8
DD,7
FFIV,1
LRCX,6
LHX,9
TJX,0
DUK,8
KO,10
BLK,10
NLSN,0
FB,10
AFL,2
JPM,4
SWKS,6
WM,9
EXPD,0
TFX,9
COO,9
DRI,10
HOLX,3
CRM,10
ALLE,9
BA,5
ORCL,10
SYK,9
DGX,2
TXN,6
JNPR,1
ISRG,3
TTWO,9
ALB,7
PTC,6
RMD,3
FIS,9
SYY,0
F,1
NOC,9
MAS,10
LVS,4
HII,1
MDT,9
NWS,4
T,1
BF-B,9
USB,4
WBA,9
CSX,7
MTD,2
PWR,7
V,10
AIZ,7
ZBH,9
DXCM,3
WMT,1
GE,5
WDC,0
OKE,10
GRMN,1
WMB,7
CHRW,0
MSI,10
BK,4
CTRA,10
MMM,2
TSN,0
PAYC,1
CNC,9
REG,5
PNC,4
SWK,1
CDNS,3
MCK,9
FRC,4
PENN,9
COST,3
RJF,4
MCD,9
SEE,9
CB,9
CERN,1
ARE,10
AME,9
SPG,5
UNP,7
MTCH,9
TFC,4
ADSK,3
DOV,1
ROL,3
TROW,1
HON,1
UHS,9
YUM,1
FBHS,10
AMD,3
ZTS,3
TEL,1
MKTX,2
AIG,4
CME,9
MSCI,3
AMAT,6
PHM,3
EIX,8
WFC,4
VNO,5
CMI,0
TGT,2
DAL,5
LH,10
BIIB,2
BBY,9
WRB,9
AXP,4
CPRT,10
DG,2
COF,4
PBCT,4
WAB,0
CI,9
GOOG,10
DHI,2
BKNG,0
IQV,1
FANG,7
AMGN,2
IDXX,3
MSFT,3
ETN,7
GPN,9
BEN,0
ADM,1
LNT,8
KEY,4
VTR,5
AES,0
HD,9
BWA,0
WELL,10
EXR,9
ABT,2
CPB,4
PNR,2
UDR,5
PPL,8
KMB,10
DLR,10
ATO,8
DISH,10
DPZ,0
LLY,2
NFLX,3
INCY,2
TPR,5
CVX,7
GPS,1
ILMN,3
VFC,4
LEG,4
EW,9
MAA,5
OXY,7
LUV,5
KR,4
BKR,4
CE,1
TDY,9
PXD,7
CCI,10
AAP,9
RL,7
PAYX,9
NDAQ,10
ALL,9
GL,10
AON,2
PEP,10
NTAP,0
ACN,10
WU,2
TT,2
IEX,1
TMUS,3
CDW,10
HSIC,0
NVR,2
AKAM,10
HBAN,4
L,4
JCI,2
PLD,3
GWW,9
RE,9
DISCA,0
NSC,7
ADBE,3
DHR,2
AMT,10
MPWR,6
CSCO,10
GILD,2
CAH,9
CAG,10
EBAY,1
RHI,0
MHK,7
RF,4
ITW,7
TER,6
LOW,9
HES,7
LNC,4
CBOE,9
AAPL,3
BIO,2
CVS,9
PEAK,5
ROP,6
CBRE,5
PM,10
ALK,5
BXP,5
IP,1
SRE,8
GPC,4
KMX,9
XOM,7
MAR,0
BAX,0
MOS,7
CCL,5
QCOM,6
TRMB,1
D,8
UAA,0
XRAY,0
APH,1
EMR,7
EL,9
URI,7
BRO,9
AEP,8
ABBV,8
VRTX,3
XYL,7
TDG,4
ED,8
AWK,8
MO,9
GS,4
AVGO,6
AVY,1
NKE,10
EXPE,0
STE,2
BSX,9
NCLH,5
SNPS,3
PCAR,9
UNH,9
EQIX,10
MDLZ,10
NWL,4
GIS,2
SBUX,5
EXC,8
LEN,3
WY,10
LDOS,9
ALGN,6
PFG,4
MA,9
GLW,1
GNRC,9
SIVB,4
PVH,4
HBI,4
UAL,5
JKHY,3
VLO,7
TWTR,0
DRE,10
ANTM,9
ABC,9
SPGI,2
ODFL,3
ANSS,3
STZ,9
GOOGL,10
ORLY,2
LKQ,10
UPS,10
ICE,3
AZO,9
BMY,9
SNA,4
K,10
IBM,1
ROK,7
NEM,9
ADI,6
MMC,10
BBWI,2
SHW,3
PKI,2
AMZN,3
CTAS,10
HCA,0
RCL,5
IPGP,6
PG,2
TYL,2
TECH,2
LYB,7
CHD,2
FRT,5
KIM,5
DISCK,0
MKC,10
BAC,4
IT,1
APD,10
XEL,8
HSY,3
PGR,2
MRK,1
EVRG,8
AVB,5
VTRS,0
ECL,6
REGN,3
IFF,6
LMT,9
RTX,5
HLT,0
DXC,10
LUMN,1
WEC,8
