,0
INTU,2
TMO,4
PKG,0
AOS,0
FCX,9
DVN,3
FLT,5
NTRS,1
FTNT,0
INTC,2
O,10
EOG,3
PRU,0
FDX,3
DIS,6
ETR,8
EA,6
NUE,1
ZION,1
ZBRA,2
FMC,9
STT,1
SLB,3
CAT,10
MTB,1
TSLA,3
CMG,3
TXT,6
LYV,0
CL,8
PFE,8
BRK-B,3
BR,4
CNP,8
AEE,10
ADP,8
EMN,1
NOW,2
WYNN,0
APA,0
KMI,7
APTV,9
GM,0
HST,0
CINF,6
AAL,0
WST,4
ATVI,6
CTXS,2
NLOK,2
ENPH,3
ESS,10
EFX,3
DLTR,9
POOL,9
ULTA,5
MLM,10
BLL,6
HAL,3
PPG,10
DE,3
VZ,8
HRL,6
HUM,10
RSG,8
STX,2
EQR,10
CMA,1
IRM,8
VRSN,2
ROST,3
AMP,1
NVDA,9
J,6
NWSA,6
JBHT,0
WHR,7
AMCR,10
CMCSA,2
NRG,3
PSA,0
MPC,1
SBAC,9
MU,9
SCHW,0
MCO,2
SJM,9
MGM,3
HIG,9
ABMD,4
LIN,3
PSX,10
VRSK,2
NI,8
PNW,8
CTSH,7
DTE,3
AJG,8
TRV,8
NEE,8
DVA,4
OMC,0
CRL,2
GD,7
TAP,7
CLX,7
CF,3
HPQ,5
PH,5
FITB,1
FAST,6
PEG,8
NXPI,9
MNST,2
DFS,9
IPG,0
MRO,0
MCHP,9
MET,0
C,1
A,2
HAS,0
JNJ,6
COP,3
CHTR,9
BDX,8
WAT,0
IVZ,1
CMS,10
TSCO,9
FISV,10
VMC,10
MS,1
KLAC,9
FE,8
ES,10
SO,10
DD,1
FFIV,2
LRCX,2
LHX,6
TJX,10
DUK,10
KO,7
BLK,4
NLSN,0
FB,2
AFL,1
JPM,1
SWKS,9
WM,8
EXPD,9
TFX,3
COO,3
DRI,9
HOLX,3
CRM,2
ALLE,6
BA,5
ORCL,6
SYK,4
DGX,8
TXN,9
JNPR,6
ISRG,4
TTWO,2
ALB,6
PTC,4
RMD,6
FIS,3
SYY,10
F,0
NOC,8
MAS,10
LVS,3
HII,2
MDT,10
NWS,6
T,7
BF-B,7
USB,1
WBA,6
CSX,9
MTD,9
PWR,6
V,3
AIZ,8
ZBH,3
DXCM,4
WMT,8
GE,0
WDC,6
OKE,5
GRMN,0
WMB,3
CHRW,2
MSI,10
BK,1
CTRA,6
MMM,9
TSN,6
PAYC,2
CNC,10
REG,5
PNC,1
SWK,10
CDNS,2
MCK,4
FRC,7
PENN,9
COST,2
RJF,0
MCD,3
SEE,10
CB,8
CERN,7
ARE,10
AME,6
SPG,9
UNP,9
MTCH,10
TFC,1
ADSK,2
DOV,5
ROL,6
TROW,0
HON,7
UHS,10
YUM,5
FBHS,1
AMD,4
ZTS,7
TEL,5
MKTX,7
AIG,1
CME,8
MSCI,4
AMAT,9
PHM,5
EIX,8
WFC,1
VNO,9
CMI,7
TGT,8
DAL,5
LH,10
BIIB,2
BBY,1
WRB,1
AXP,1
CPRT,3
DG,8
COF,1
PBCT,6
WAB,5
CI,2
GOOG,2
DHI,5
BKNG,5
IQV,5
FANG,3
AMGN,2
IDXX,4
MSFT,2
ETN,9
GPN,2
BEN,6
ADM,6
LNT,8
KEY,1
VTR,3
AES,3
HD,9
BWA,0
WELL,3
EXR,10
ABT,7
CPB,7
PNR,7
UDR,10
PPL,7
KMB,7
DLR,6
ATO,10
DISH,6
DPZ,10
LLY,8
NFLX,6
INCY,2
TPR,5
CVX,10
GPS,5
ILMN,3
VFC,5
LEG,10
EW,4
MAA,10
OXY,0
LUV,0
KR,0
BKR,3
CE,3
TDY,5
PXD,0
CCI,8
AAP,10
RL,0
PAYX,6
NDAQ,7
ALL,1
GL,0
AON,3
PEP,8
NTAP,0
ACN,6
WU,0
TT,7
IEX,3
TMUS,9
CDW,6
HSIC,7
NVR,10
AKAM,6
HBAN,1
L,9
JCI,0
PLD,4
GWW,9
RE,8
DISCA,9
NSC,9
ADBE,2
DHR,3
AMT,10
MPWR,9
CSCO,10
GILD,0
CAH,8
CAG,8
EBAY,7
RHI,0
MHK,5
RF,1
ITW,7
TER,9
LOW,9
HES,1
LNC,0
CBOE,9
AAPL,2
BIO,4
CVS,8
PEAK,8
ROP,3
CBRE,9
PM,2
ALK,0
BXP,7
IP,0
SRE,10
GPC,10
KMX,5
XOM,10
MAR,5
BAX,8
MOS,3
CCL,5
QCOM,9
TRMB,3
D,10
UAA,5
XRAY,0
APH,2
EMR,3
EL,2
URI,9
BRO,7
AEP,8
ABBV,3
VRTX,2
XYL,7
TDG,5
ED,10
AWK,10
MO,6
GS,9
AVGO,9
AVY,4
NKE,6
EXPE,5
STE,7
BSX,10
NCLH,0
SNPS,2
PCAR,9
UNH,10
EQIX,4
MDLZ,7
NWL,7
GIS,10
SBUX,3
EXC,8
LEN,5
WY,8
LDOS,6
ALGN,5
PFG,0
MA,3
GLW,2
GNRC,5
SIVB,1
PVH,1
HBI,5
UAL,5
JKHY,4
VLO,10
TWTR,3
DRE,8
ANTM,7
ABC,7
SPGI,4
ODFL,2
ANSS,2
STZ,10
GOOGL,2
ORLY,10
LKQ,10
UPS,4
ICE,8
AZO,10
BMY,8
SNA,5
K,7
IBM,3
ROK,9
NEM,8
ADI,9
MMC,8
BBWI,10
SHW,10
PKI,4
AMZN,2
CTAS,10
HCA,3
RCL,0
IPGP,2
PG,6
TYL,2
TECH,8
LYB,3
CHD,6
FRT,7
KIM,5
DISCK,9
MKC,10
BAC,1
IT,3
APD,8
XEL,8
HSY,10
PGR,8
MRK,2
EVRG,10
AVB,10
VTRS,0
ECL,6
REGN,2
IFF,10
LMT,6
RTX,5
HLT,5
DXC,3
LUMN,6
WEC,10
