,0
INTU,5
TMO,8
PKG,2
AOS,2
FCX,0
DVN,0
FLT,5
NTRS,3
FTNT,1
INTC,2
O,10
EOG,0
PRU,3
FDX,0
DIS,9
ETR,7
EA,4
NUE,2
ZION,6
ZBRA,5
FMC,0
STT,3
SLB,0
CAT,4
MTB,6
TSLA,9
CMG,9
TXT,0
LYV,8
CL,8
PFE,8
BRK-B,3
BR,5
CNP,7
AEE,7
ADP,5
EMN,4
NOW,5
WYNN,4
APA,0
KMI,9
APTV,2
GM,2
HST,0
CINF,8
AAL,0
WST,1
ATVI,4
CTXS,8
NLOK,9
ENPH,0
ESS,10
EFX,5
DLTR,1
POOL,1
ULTA,0
MLM,4
BLL,4
HAL,3
PPG,3
DE,1
VZ,3
HRL,8
HUM,1
RSG,9
STX,4
EQR,10
CMA,6
IRM,10
VRSN,5
ROST,5
AMP,3
NVDA,9
J,2
NWSA,9
JBHT,0
WHR,6
AMCR,8
CMCSA,9
NRG,1
PSA,10
MPC,9
SBAC,10
MU,2
SCHW,3
MCO,5
SJM,8
MGM,2
HIG,1
ABMD,5
LIN,5
PSX,9
VRSK,8
NI,7
PNW,7
CTSH,8
DTE,7
AJG,8
TRV,9
NEE,7
DVA,1
OMC,8
CRL,1
GD,1
TAP,10
CLX,8
CF,9
HPQ,3
PH,4
FITB,6
FAST,0
PEG,7
NXPI,2
MNST,0
DFS,3
IPG,3
MRO,9
MCHP,2
MET,3
C,0
A,1
HAS,1
JNJ,8
COP,9
CHTR,9
BDX,1
WAT,1
IVZ,9
CMS,7
TSCO,5
FISV,5
VMC,9
MS,0
KLAC,2
FE,7
ES,7
SO,7
DD,4
FFIV,5
LRCX,2
LHX,5
TJX,0
DUK,7
KO,8
BLK,4
NLSN,2
FB,5
AFL,3
JPM,3
SWKS,2
WM,9
EXPD,4
TFX,1
COO,8
DRI,1
HOLX,8
CRM,5
ALLE,0
BA,9
ORCL,5
SYK,1
DGX,1
TXN,2
JNPR,9
ISRG,5
TTWO,9
ALB,0
PTC,5
RMD,8
FIS,5
SYY,8
F,2
NOC,9
MAS,2
LVS,4
HII,1
MDT,8
NWS,9
T,3
BF-B,1
USB,6
WBA,8
CSX,0
MTD,8
PWR,4
V,5
AIZ,9
ZBH,1
DXCM,8
WMT,9
GE,0
WDC,2
OKE,9
GRMN,2
WMB,9
CHRW,0
MSI,5
BK,1
CTRA,8
MMM,8
TSN,8
PAYC,5
CNC,1
REG,10
PNC,6
SWK,4
CDNS,5
MCK,1
FRC,3
PENN,3
COST,8
RJF,3
MCD,8
SEE,4
CB,9
CERN,9
ARE,10
AME,0
SPG,10
UNP,1
MTCH,5
TFC,6
ADSK,8
DOV,0
ROL,8
TROW,4
HON,0
UHS,1
YUM,9
FBHS,2
AMD,5
ZTS,8
TEL,2
MKTX,9
AIG,3
CME,4
MSCI,5
AMAT,2
PHM,2
EIX,9
WFC,6
VNO,10
CMI,4
TGT,9
DAL,2
LH,1
BIIB,0
BBY,0
WRB,9
AXP,3
CPRT,8
DG,8
COF,3
PBCT,6
WAB,6
CI,1
GOOG,5
DHI,2
BKNG,2
IQV,1
FANG,0
AMGN,1
IDXX,5
MSFT,5
ETN,0
GPN,5
BEN,0
ADM,0
LNT,7
KEY,6
VTR,10
AES,8
HD,4
BWA,2
WELL,10
EXR,10
ABT,8
CPB,8
PNR,2
UDR,10
PPL,8
KMB,4
DLR,10
ATO,7
DISH,1
DPZ,2
LLY,8
NFLX,4
INCY,8
TPR,0
CVX,9
GPS,9
ILMN,5
VFC,4
LEG,2
EW,1
MAA,10
OXY,9
LUV,0
KR,0
BKR,9
CE,2
TDY,4
PXD,9
CCI,10
AAP,5
RL,5
PAYX,5
NDAQ,8
ALL,3
GL,3
AON,8
PEP,8
NTAP,0
ACN,8
WU,9
TT,0
IEX,4
TMUS,3
CDW,5
HSIC,1
NVR,4
AKAM,5
HBAN,6
L,9
JCI,2
PLD,10
GWW,4
RE,8
DISCA,1
NSC,4
ADBE,5
DHR,8
AMT,10
MPWR,2
CSCO,8
GILD,0
CAH,1
CAG,8
EBAY,2
RHI,2
MHK,2
RF,0
ITW,2
TER,2
LOW,0
HES,0
LNC,3
CBOE,8
AAPL,5
BIO,0
CVS,1
PEAK,10
ROP,8
CBRE,4
PM,8
ALK,0
BXP,10
IP,2
SRE,1
GPC,8
KMX,3
XOM,9
MAR,2
BAX,5
MOS,9
CCL,3
QCOM,4
TRMB,4
D,7
UAA,5
XRAY,1
APH,4
EMR,0
EL,4
URI,4
BRO,3
AEP,7
ABBV,8
VRTX,1
XYL,4
TDG,9
ED,7
AWK,7
MO,8
GS,4
AVGO,2
AVY,2
NKE,1
EXPE,5
STE,1
BSX,8
NCLH,3
SNPS,5
PCAR,4
UNH,9
EQIX,10
MDLZ,8
NWL,0
GIS,4
SBUX,8
EXC,7
LEN,2
WY,0
LDOS,0
ALGN,5
PFG,3
MA,5
GLW,2
GNRC,1
SIVB,3
PVH,0
HBI,9
UAL,3
JKHY,1
VLO,9
TWTR,8
DRE,10
ANTM,1
ABC,8
SPGI,5
ODFL,0
ANSS,5
STZ,0
GOOGL,5
ORLY,0
LKQ,4
UPS,3
ICE,4
AZO,5
BMY,1
SNA,9
K,4
IBM,3
ROK,0
NEM,3
ADI,2
MMC,8
BBWI,5
SHW,1
PKI,8
AMZN,5
CTAS,8
HCA,9
RCL,1
IPGP,2
PG,8
TYL,4
TECH,0
LYB,0
CHD,9
FRT,10
KIM,10
DISCK,1
MKC,8
BAC,3
IT,5
APD,9
XEL,7
HSY,8
PGR,3
MRK,8
EVRG,7
AVB,10
VTRS,6
ECL,4
REGN,1
IFF,8
LMT,9
RTX,0
HLT,2
DXC,1
LUMN,1
WEC,7
