,0
INTU,6
TMO,2
PKG,8
AOS,0
FCX,5
DVN,9
FLT,1
NTRS,1
FTNT,0
INTC,0
O,4
EOG,9
PRU,7
FDX,0
DIS,10
ETR,4
EA,5
NUE,8
ZION,7
ZBRA,6
FMC,8
STT,7
SLB,9
CAT,5
MTB,7
TSLA,5
CMG,5
TXT,10
LYV,10
CL,3
PFE,5
BRK-B,1
BR,0
CNP,4
AEE,4
ADP,10
EMN,5
NOW,2
WYNN,10
APA,9
KMI,9
APTV,0
GM,7
HST,10
CINF,2
AAL,10
WST,3
ATVI,5
CTXS,0
NLOK,3
ENPH,6
ESS,4
EFX,1
DLTR,8
POOL,3
ULTA,10
MLM,5
BLL,3
HAL,9
PPG,8
DE,8
VZ,2
HRL,3
HUM,8
RSG,2
STX,0
EQR,4
CMA,7
IRM,0
VRSN,5
ROST,10
AMP,0
NVDA,6
J,8
NWSA,10
JBHT,8
WHR,3
AMCR,0
CMCSA,0
NRG,1
PSA,4
MPC,9
SBAC,4
MU,6
SCHW,7
MCO,3
SJM,3
MGM,10
HIG,7
ABMD,5
LIN,8
PSX,9
VRSK,0
NI,4
PNW,4
CTSH,3
DTE,4
AJG,8
TRV,4
NEE,0
DVA,2
OMC,4
CRL,2
GD,1
TAP,5
CLX,3
CF,9
HPQ,8
PH,3
FITB,7
FAST,2
PEG,4
NXPI,6
MNST,5
DFS,7
IPG,1
MRO,9
MCHP,6
MET,7
C,7
A,0
HAS,3
JNJ,0
COP,9
CHTR,3
BDX,0
WAT,3
IVZ,7
CMS,4
TSCO,3
FISV,1
VMC,5
MS,7
KLAC,6
FE,0
ES,4
SO,4
DD,8
FFIV,0
LRCX,6
LHX,1
TJX,10
DUK,4
KO,3
BLK,2
NLSN,10
FB,0
AFL,7
JPM,7
SWKS,6
WM,2
EXPD,0
TFX,1
COO,5
DRI,10
HOLX,2
CRM,5
ALLE,4
BA,10
ORCL,8
SYK,1
DGX,8
TXN,6
JNPR,1
ISRG,0
TTWO,2
ALB,0
PTC,6
RMD,0
FIS,1
SYY,10
F,7
NOC,1
MAS,8
LVS,10
HII,2
MDT,1
NWS,10
T,8
BF-B,5
USB,7
WBA,8
CSX,5
MTD,2
PWR,5
V,1
AIZ,5
ZBH,10
DXCM,0
WMT,3
GE,10
WDC,0
OKE,9
GRMN,8
WMB,9
CHRW,0
MSI,1
BK,1
CTRA,1
MMM,8
TSN,10
PAYC,6
CNC,8
REG,10
PNC,7
SWK,8
CDNS,6
MCK,1
FRC,7
PENN,6
COST,0
RJF,7
MCD,5
SEE,8
CB,4
CERN,3
ARE,0
AME,5
SPG,10
UNP,5
MTCH,6
TFC,7
ADSK,6
DOV,8
ROL,2
TROW,8
HON,8
UHS,2
YUM,3
FBHS,8
AMD,6
ZTS,2
TEL,1
MKTX,2
AIG,7
CME,10
MSCI,5
AMAT,6
PHM,2
EIX,4
WFC,7
VNO,4
CMI,0
TGT,3
DAL,10
LH,3
BIIB,2
BBY,8
WRB,8
AXP,10
CPRT,0
DG,3
COF,7
PBCT,7
WAB,1
CI,2
GOOG,6
DHI,2
BKNG,10
IQV,0
FANG,9
AMGN,0
IDXX,2
MSFT,0
ETN,8
GPN,1
BEN,0
ADM,5
LNT,4
KEY,7
VTR,10
AES,5
HD,3
BWA,1
WELL,4
EXR,4
ABT,2
CPB,3
PNR,5
UDR,4
PPL,4
KMB,0
DLR,3
ATO,4
DISH,10
DPZ,5
LLY,2
NFLX,5
INCY,2
TPR,7
CVX,9
GPS,1
ILMN,6
VFC,7
LEG,8
EW,5
MAA,4
OXY,9
LUV,10
KR,0
BKR,9
CE,8
TDY,1
PXD,9
CCI,4
AAP,8
RL,1
PAYX,10
NDAQ,3
ALL,1
GL,8
AON,8
PEP,0
NTAP,0
ACN,0
WU,1
TT,8
IEX,8
TMUS,2
CDW,0
HSIC,10
NVR,3
AKAM,0
HBAN,7
L,7
JCI,8
PLD,8
GWW,3
RE,1
DISCA,4
NSC,8
ADBE,5
DHR,2
AMT,0
MPWR,6
CSCO,10
GILD,2
CAH,8
CAG,3
EBAY,0
RHI,1
MHK,8
RF,7
ITW,8
TER,6
LOW,3
HES,9
LNC,7
CBOE,3
AAPL,0
BIO,3
CVS,2
PEAK,10
ROP,8
CBRE,10
PM,4
ALK,10
BXP,4
IP,5
SRE,4
GPC,3
KMX,8
XOM,9
MAR,10
BAX,2
MOS,0
CCL,10
QCOM,6
TRMB,6
D,4
UAA,10
XRAY,1
APH,0
EMR,10
EL,1
URI,7
BRO,0
AEP,4
ABBV,5
VRTX,3
XYL,8
TDG,10
ED,4
AWK,4
MO,2
GS,7
AVGO,6
AVY,8
NKE,8
EXPE,10
STE,0
BSX,1
NCLH,10
SNPS,6
PCAR,0
UNH,0
EQIX,3
MDLZ,3
NWL,8
GIS,3
SBUX,5
EXC,1
LEN,2
WY,5
LDOS,4
ALGN,1
PFG,10
MA,1
GLW,10
GNRC,2
SIVB,7
PVH,10
HBI,1
UAL,10
JKHY,3
VLO,9
TWTR,0
DRE,0
ANTM,0
ABC,1
SPGI,3
ODFL,8
ANSS,6
STZ,1
GOOGL,6
ORLY,0
LKQ,10
UPS,5
ICE,3
AZO,4
BMY,2
SNA,4
K,3
IBM,8
ROK,0
NEM,8
ADI,6
MMC,0
BBWI,3
SHW,3
PKI,6
AMZN,5
CTAS,0
HCA,3
RCL,5
IPGP,6
PG,3
TYL,6
TECH,2
LYB,7
CHD,3
FRT,10
KIM,10
DISCK,4
MKC,2
BAC,7
IT,8
APD,4
XEL,4
HSY,3
PGR,2
MRK,0
EVRG,4
AVB,4
VTRS,0
ECL,3
REGN,5
IFF,1
LMT,4
RTX,10
HLT,10
DXC,1
LUMN,4
WEC,4
