,0
INTU,0
TMO,10
PKG,9
AOS,4
FCX,0
DVN,0
FLT,3
NTRS,1
FTNT,0
INTC,2
O,6
EOG,10
PRU,1
FDX,8
DIS,9
ETR,5
EA,10
NUE,1
ZION,1
ZBRA,2
FMC,10
STT,1
SLB,0
CAT,1
MTB,1
TSLA,4
CMG,10
TXT,0
LYV,7
CL,10
PFE,6
BRK-B,10
BR,3
CNP,5
AEE,5
ADP,4
EMN,1
NOW,10
WYNN,9
APA,0
KMI,0
APTV,0
GM,0
HST,4
CINF,10
AAL,4
WST,2
ATVI,2
CTXS,2
NLOK,9
ENPH,7
ESS,6
EFX,3
DLTR,8
POOL,7
ULTA,3
MLM,10
BLL,9
HAL,0
PPG,2
DE,8
VZ,8
HRL,2
HUM,8
RSG,10
STX,2
EQR,6
CMA,1
IRM,2
VRSN,3
ROST,0
AMP,1
NVDA,9
J,8
NWSA,9
JBHT,8
WHR,4
AMCR,7
CMCSA,3
NRG,2
PSA,6
MPC,1
SBAC,8
MU,8
SCHW,7
MCO,3
SJM,9
MGM,9
HIG,4
ABMD,10
LIN,2
PSX,2
VRSK,3
NI,5
PNW,5
CTSH,9
DTE,5
AJG,10
TRV,4
NEE,5
DVA,4
OMC,0
CRL,2
GD,3
TAP,10
CLX,10
CF,8
HPQ,2
PH,1
FITB,1
FAST,9
PEG,5
NXPI,8
MNST,10
DFS,1
IPG,10
MRO,9
MCHP,8
MET,4
C,1
A,2
HAS,0
JNJ,0
COP,8
CHTR,7
BDX,10
WAT,9
IVZ,1
CMS,5
TSCO,4
FISV,4
VMC,7
MS,1
KLAC,8
FE,5
ES,5
SO,5
DD,4
FFIV,9
LRCX,8
LHX,7
TJX,2
DUK,5
KO,10
BLK,2
NLSN,2
FB,7
AFL,4
JPM,1
SWKS,8
WM,10
EXPD,0
TFX,2
COO,3
DRI,0
HOLX,9
CRM,3
ALLE,9
BA,9
ORCL,3
SYK,7
DGX,0
TXN,0
JNPR,8
ISRG,10
TTWO,3
ALB,0
PTC,7
RMD,6
FIS,4
SYY,4
F,0
NOC,2
MAS,7
LVS,9
HII,9
MDT,10
NWS,9
T,4
BF-B,4
USB,1
WBA,0
CSX,3
MTD,2
PWR,8
V,3
AIZ,2
ZBH,2
DXCM,9
WMT,4
GE,9
WDC,4
OKE,8
GRMN,8
WMB,0
CHRW,0
MSI,8
BK,1
CTRA,0
MMM,4
TSN,3
PAYC,2
CNC,3
REG,4
PNC,10
SWK,7
CDNS,3
MCK,8
FRC,10
PENN,8
COST,3
RJF,7
MCD,10
SEE,0
CB,10
CERN,7
ARE,6
AME,9
SPG,6
UNP,0
MTCH,10
TFC,1
ADSK,7
DOV,1
ROL,10
TROW,4
HON,7
UHS,4
YUM,7
FBHS,9
AMD,8
ZTS,10
TEL,2
MKTX,7
AIG,10
CME,3
MSCI,3
AMAT,8
PHM,7
EIX,8
WFC,1
VNO,2
CMI,1
TGT,8
DAL,4
LH,7
BIIB,0
BBY,8
WRB,4
AXP,7
CPRT,3
DG,0
COF,10
PBCT,1
WAB,7
CI,2
GOOG,7
DHI,7
BKNG,0
IQV,2
FANG,9
AMGN,2
IDXX,2
MSFT,3
ETN,4
GPN,10
BEN,9
ADM,8
LNT,5
KEY,1
VTR,6
AES,2
HD,4
BWA,4
WELL,6
EXR,6
ABT,3
CPB,4
PNR,4
UDR,6
PPL,10
KMB,0
DLR,7
ATO,5
DISH,2
DPZ,7
LLY,4
NFLX,0
INCY,2
TPR,9
CVX,2
GPS,4
ILMN,2
VFC,1
LEG,4
EW,4
MAA,6
OXY,9
LUV,10
KR,2
BKR,7
CE,0
TDY,3
PXD,8
CCI,7
AAP,4
RL,9
PAYX,3
NDAQ,3
ALL,9
GL,1
AON,3
PEP,10
NTAP,2
ACN,3
WU,9
TT,10
IEX,2
TMUS,8
CDW,9
HSIC,0
NVR,7
AKAM,8
HBAN,1
L,10
JCI,2
PLD,6
GWW,7
RE,0
DISCA,9
NSC,0
ADBE,3
DHR,10
AMT,5
MPWR,0
CSCO,2
GILD,4
CAH,8
CAG,2
EBAY,0
RHI,1
MHK,4
RF,1
ITW,9
TER,0
LOW,9
HES,2
LNC,1
CBOE,8
AAPL,3
BIO,3
CVS,4
PEAK,6
ROP,10
CBRE,4
PM,10
ALK,2
BXP,6
IP,0
SRE,4
GPC,4
KMX,4
XOM,0
MAR,2
BAX,4
MOS,9
CCL,8
QCOM,8
TRMB,9
D,7
UAA,7
XRAY,4
APH,4
EMR,7
EL,4
URI,7
BRO,3
AEP,5
ABBV,7
VRTX,2
XYL,4
TDG,4
ED,5
AWK,5
MO,0
GS,1
AVGO,2
AVY,9
NKE,7
EXPE,6
STE,3
BSX,9
NCLH,0
SNPS,2
PCAR,1
UNH,9
EQIX,2
MDLZ,3
NWL,9
GIS,0
SBUX,7
EXC,0
LEN,7
WY,2
LDOS,3
ALGN,0
PFG,2
MA,3
GLW,8
GNRC,7
SIVB,1
PVH,0
HBI,0
UAL,2
JKHY,3
VLO,7
TWTR,2
DRE,6
ANTM,9
ABC,8
SPGI,4
ODFL,1
ANSS,9
STZ,4
GOOGL,7
ORLY,2
LKQ,0
UPS,0
ICE,3
AZO,0
BMY,7
SNA,7
K,10
IBM,4
ROK,0
NEM,2
ADI,8
MMC,3
BBWI,8
SHW,10
PKI,2
AMZN,0
CTAS,8
HCA,8
RCL,0
IPGP,0
PG,0
TYL,9
TECH,9
LYB,9
CHD,10
FRT,6
KIM,6
DISCK,9
MKC,7
BAC,1
IT,9
APD,10
XEL,5
HSY,7
PGR,10
MRK,10
EVRG,5
AVB,6
VTRS,9
ECL,3
REGN,9
IFF,7
LMT,10
RTX,0
HLT,9
DXC,9
LUMN,4
WEC,5
