,0
INTU,7
TMO,6
PKG,3
AOS,3
FCX,3
DVN,2
FLT,7
NTRS,9
FTNT,7
INTC,4
O,2
EOG,6
PRU,4
FDX,1
DIS,4
ETR,0
EA,5
NUE,1
ZION,9
ZBRA,5
FMC,2
STT,9
SLB,2
CAT,3
MTB,9
TSLA,6
CMG,4
TXT,6
LYV,7
CL,8
PFE,10
BRK-B,10
BR,7
CNP,0
AEE,0
ADP,7
EMN,3
NOW,7
WYNN,5
APA,2
KMI,10
APTV,9
GM,10
HST,6
CINF,10
AAL,2
WST,1
ATVI,5
CTXS,5
NLOK,5
ENPH,1
ESS,8
EFX,7
DLTR,2
POOL,5
ULTA,2
MLM,3
BLL,10
HAL,2
PPG,8
DE,3
VZ,0
HRL,2
HUM,4
RSG,10
STX,5
EQR,8
CMA,9
IRM,8
VRSN,7
ROST,6
AMP,5
NVDA,5
J,6
NWSA,1
JBHT,6
WHR,1
AMCR,1
CMCSA,10
NRG,3
PSA,8
MPC,6
SBAC,4
MU,5
SCHW,9
MCO,5
SJM,8
MGM,5
HIG,1
ABMD,5
LIN,1
PSX,2
VRSK,4
NI,0
PNW,0
CTSH,7
DTE,0
AJG,1
TRV,10
NEE,0
DVA,6
OMC,4
CRL,3
GD,6
TAP,1
CLX,10
CF,5
HPQ,5
PH,3
FITB,9
FAST,1
PEG,8
NXPI,2
MNST,1
DFS,6
IPG,4
MRO,6
MCHP,9
MET,9
C,9
A,3
HAS,6
JNJ,10
COP,4
CHTR,1
BDX,7
WAT,3
IVZ,10
CMS,0
TSCO,2
FISV,7
VMC,3
MS,9
KLAC,5
FE,0
ES,0
SO,0
DD,5
FFIV,7
LRCX,5
LHX,10
TJX,2
DUK,0
KO,8
BLK,9
NLSN,4
FB,5
AFL,10
JPM,9
SWKS,5
WM,6
EXPD,1
TFX,10
COO,4
DRI,8
HOLX,1
CRM,7
ALLE,6
BA,5
ORCL,9
SYK,7
DGX,1
TXN,5
JNPR,5
ISRG,7
TTWO,5
ALB,2
PTC,5
RMD,7
FIS,10
SYY,10
F,3
NOC,6
