,0
INTU,7
TMO,3
PKG,3
AOS,3
FCX,8
DVN,6
FLT,8
NTRS,2
FTNT,8
INTC,6
O,6
EOG,10
PRU,2
FDX,10
DIS,10
ETR,5
EA,6
NUE,0
ZION,2
ZBRA,3
FMC,9
STT,0
SLB,6
CAT,9
MTB,2
TSLA,9
CMG,10
TXT,7
LYV,10
CL,6
PFE,10
BRK-B,7
BR,8
CNP,5
AEE,5
ADP,6
EMN,9
NOW,10
WYNN,3
APA,1
KMI,1
APTV,9
GM,9
HST,9
CINF,2
AAL,8
WST,4
ATVI,6
CTXS,7
NLOK,10
ENPH,6
ESS,6
EFX,1
DLTR,8
POOL,10
ULTA,6
MLM,6
BLL,9
HAL,0
PPG,9
DE,4
VZ,4
HRL,4
HUM,3
RSG,0
STX,4
EQR,10
CMA,2
IRM,6
VRSN,7
ROST,8
AMP,1
NVDA,8
J,0
NWSA,8
JBHT,9
WHR,0
AMCR,3
CMCSA,10
NRG,9
PSA,7
MPC,10
SBAC,9
MU,3
SCHW,8
MCO,4
SJM,4
MGM,8
HIG,4
ABMD,0
LIN,8
PSX,7
VRSK,10
NI,5
PNW,5
CTSH,8
DTE,5
AJG,2
TRV,4
NEE,5
DVA,9
OMC,4
CRL,3
GD,10
TAP,4
CLX,6
CF,4
HPQ,1
PH,10
FITB,2
FAST,0
PEG,5
NXPI,7
MNST,8
DFS,2
IPG,4
MRO,10
MCHP,8
MET,9
C,2
A,3
HAS,6
JNJ,4
COP,1
CHTR,6
BDX,7
WAT,3
IVZ,2
CMS,5
TSCO,0
FISV,4
VMC,1
MS,2
KLAC,6
FE,3
ES,5
SO,5
DD,1
FFIV,4
LRCX,9
LHX,4
TJX,0
DUK,5
KO,4
BLK,7
NLSN,10
FB,3
AFL,9
JPM,2
SWKS,4
WM,0
EXPD,3
TFX,3
COO,3
DRI,8
HOLX,4
CRM,8
ALLE,9
BA,9
ORCL,10
SYK,3
DGX,9
TXN,3
JNPR,4
ISRG,7
TTWO,6
ALB,7
PTC,0
RMD,8
FIS,8
SYY,6
F,7
