,0
INTU,3
TMO,4
PKG,3
AOS,4
FCX,10
DVN,8
FLT,6
NTRS,5
FTNT,0
INTC,4
O,9
EOG,1
PRU,8
FDX,7
DIS,7
ETR,6
EA,5
NUE,10
ZION,0
ZBRA,10
FMC,7
STT,2
SLB,7
CAT,7
MTB,5
TSLA,3
CMG,10
TXT,10
LYV,0
CL,3
PFE,2
BRK-B,7
BR,1
CNP,2
AEE,6
ADP,7
EMN,8
NOW,3
WYNN,0
APA,9
KMI,7
APTV,1
GM,0
HST,0
CINF,7
AAL,0
WST,4
ATVI,8
CTXS,4
NLOK,4
ENPH,3
ESS,10
EFX,1
DLTR,6
POOL,6
ULTA,1
MLM,8
BLL,10
HAL,0
PPG,10
DE,1
VZ,7
HRL,6
HUM,1
RSG,6
STX,1
EQR,9
CMA,10
IRM,9
VRSN,3
ROST,5
AMP,2
NVDA,3
J,8
NWSA,8
JBHT,0
WHR,4
AMCR,1
CMCSA,2
NRG,2
PSA,8
MPC,8
SBAC,3
MU,1
SCHW,2
MCO,4
SJM,6
MGM,0
HIG,7
ABMD,3
LIN,7
PSX,0
VRSK,6
NI,9
PNW,2
CTSH,7
DTE,6
AJG,7
TRV,7
NEE,6
DVA,7
OMC,0
CRL,6
GD,5
TAP,9
CLX,8
CF,10
HPQ,10
PH,10
FITB,10
FAST,4
PEG,6
NXPI,4
MNST,6
DFS,10
IPG,9
MRO,8
MCHP,1
MET,8
C,0
A,7
HAS,10
JNJ,3
COP,7
CHTR,5
BDX,1
WAT,3
IVZ,9
CMS,9
TSCO,5
FISV,9
VMC,8
MS,2
KLAC,1
FE,6
ES,9
SO,9
DD,10
FFIV,10
LRCX,1
LHX,5
TJX,0
DUK,6
KO,6
BLK,2
NLSN,0
FB,2
AFL,2
JPM,2
SWKS,3
WM,6
EXPD,1
TFX,8
COO,7
DRI,7
HOLX,6
CRM,10
ALLE,2
BA,7
ORCL,2
SYK,7
DGX,5
TXN,4
JNPR,7
ISRG,3
TTWO,4
ALB,2
PTC,3
RMD,3
FIS,8
SYY,5
F,0
NOC,5
MAS,3
LVS,0
HII,0
MDT,7
NWS,8
T,7
BF-B,5
USB,10
WBA,10
CSX,1
MTD,4
PWR,8
V,1
AIZ,8
ZBH,7
DXCM,4
WMT,3
GE,1
WDC,1
OKE,5
GRMN,1
WMB,0
CHRW,1
MSI,7
BK,2
CTRA,1
MMM,8
TSN,8
PAYC,4
CNC,1
REG,5
PNC,9
SWK,1
CDNS,1
MCK,1
FRC,2
PENN,4
COST,10
RJF,9
MCD,2
SEE,7
CB,7
CERN,1
ARE,9
AME,7
SPG,0
UNP,7
MTCH,8
TFC,9
ADSK,3
DOV,1
ROL,7
TROW,6
HON,2
UHS,5
YUM,1
FBHS,2
AMD,4
ZTS,6
TEL,1
MKTX,4
AIG,8
CME,4
MSCI,4
AMAT,3
PHM,5
EIX,9
WFC,9
VNO,0
CMI,10
TGT,6
DAL,0
LH,10
BIIB,4
BBY,2
WRB,7
AXP,0
CPRT,7
DG,6
COF,9
PBCT,9
WAB,8
CI,3
GOOG,5
DHI,5
BKNG,8
IQV,7
FANG,2
AMGN,4
IDXX,1
MSFT,2
ETN,1
GPN,2
BEN,8
ADM,2
LNT,6
KEY,0
VTR,0
AES,5
HD,4
BWA,3
WELL,9
EXR,6
ABT,6
CPB,7
PNR,4
UDR,9
PPL,2
KMB,6
DLR,3
ATO,5
DISH,9
DPZ,8
LLY,4
NFLX,5
INCY,1
TPR,8
CVX,7
GPS,9
ILMN,6
VFC,8
LEG,10
EW,10
MAA,9
OXY,10
LUV,0
KR,3
BKR,5
CE,10
TDY,2
PXD,2
CCI,3
AAP,8
RL,0
PAYX,2
NDAQ,7
ALL,2
GL,10
AON,6
PEP,6
NTAP,1
ACN,7
WU,2
TT,2
IEX,4
TMUS,8
CDW,10
HSIC,1
NVR,5
AKAM,3
HBAN,2
L,9
JCI,1
PLD,6
GWW,4
RE,8
DISCA,0
NSC,7
ADBE,3
DHR,3
AMT,8
MPWR,4
CSCO,3
GILD,1
CAH,9
CAG,10
EBAY,3
RHI,8
MHK,0
RF,10
ITW,10
TER,4
LOW,4
HES,9
LNC,8
CBOE,3
AAPL,3
BIO,3
CVS,9
PEAK,0
ROP,3
CBRE,8
PM,5
ALK,0
BXP,9
IP,8
SRE,6
GPC,4
KMX,2
XOM,0
MAR,0
BAX,7
MOS,10
CCL,8
QCOM,3
TRMB,3
D,6
UAA,0
XRAY,2
APH,2
EMR,8
EL,10
URI,3
BRO,6
AEP,2
ABBV,3
VRTX,3
XYL,1
TDG,5
ED,9
AWK,6
MO,7
GS,2
AVGO,1
AVY,1
NKE,7
EXPE,10
STE,6
BSX,6
NCLH,0
SNPS,3
PCAR,8
UNH,4
EQIX,3
MDLZ,6
NWL,0
GIS,4
SBUX,0
EXC,6
LEN,5
WY,1
LDOS,8
ALGN,1
PFG,2
MA,6
GLW,3
GNRC,3
SIVB,5
PVH,1
HBI,8
UAL,0
JKHY,4
VLO,8
TWTR,1
DRE,9
ANTM,1
ABC,6
SPGI,4
ODFL,4
ANSS,3
STZ,10
GOOGL,5
ORLY,10
LKQ,10
UPS,4
ICE,4
AZO,7
BMY,3
SNA,10
K,7
IBM,7
ROK,2
NEM,9
ADI,1
MMC,6
BBWI,10
SHW,7
PKI,3
AMZN,2
CTAS,2
HCA,7
RCL,5
IPGP,1
PG,7
TYL,4
TECH,3
LYB,8
CHD,7
FRT,0
KIM,0
DISCK,8
MKC,3
BAC,10
IT,7
APD,7
XEL,6
HSY,6
PGR,3
MRK,4
EVRG,6
AVB,9
VTRS,2
ECL,1
REGN,4
IFF,3
LMT,7
RTX,7
HLT,0
DXC,2
LUMN,5
WEC,6
