,0
INTU,2
TMO,3
PKG,3
AOS,0
FCX,8
DVN,0
FLT,0
NTRS,5
FTNT,3
INTC,8
O,4
EOG,9
PRU,7
FDX,1
DIS,6
ETR,5
EA,3
NUE,7
ZION,7
ZBRA,5
FMC,8
STT,5
SLB,10
CAT,3
MTB,7
TSLA,0
CMG,2
TXT,4
LYV,9
CL,1
PFE,6
BRK-B,5
BR,8
CNP,5
AEE,1
ADP,10
EMN,8
NOW,3
WYNN,9
APA,9
KMI,10
APTV,9
GM,6
HST,6
CINF,0
AAL,9
WST,1
ATVI,3
CTXS,0
NLOK,8
ENPH,9
ESS,4
EFX,5
DLTR,5
POOL,6
ULTA,6
MLM,8
BLL,1
HAL,0
PPG,4
DE,10
VZ,5
HRL,0
HUM,5
RSG,1
STX,6
EQR,4
CMA,7
IRM,1
VRSN,3
ROST,8
AMP,8
NVDA,5
J,4
NWSA,10
JBHT,10
WHR,3
AMCR,4
CMCSA,1
NRG,5
PSA,4
MPC,9
SBAC,6
MU,2
SCHW,7
MCO,8
SJM,1
MGM,9
HIG,8
ABMD,4
LIN,8
PSX,9
VRSK,8
NI,10
PNW,6
CTSH,3
DTE,1
AJG,8
TRV,5
NEE,6
DVA,5
OMC,10
CRL,3
GD,10
TAP,4
CLX,0
CF,0
HPQ,10
PH,8
FITB,7
FAST,1
PEG,10
NXPI,2
MNST,3
DFS,6
IPG,7
MRO,9
MCHP,2
MET,7
C,7
A,3
HAS,8
JNJ,1
COP,9
CHTR,7
BDX,4
WAT,8
IVZ,5
CMS,1
TSCO,2
FISV,2
VMC,10
MS,7
KLAC,2
FE,1
ES,1
SO,1
DD,0
FFIV,8
LRCX,10
LHX,5
TJX,6
DUK,1
KO,1
BLK,5
NLSN,6
FB,2
AFL,5
JPM,7
SWKS,2
WM,4
EXPD,5
TFX,1
COO,9
DRI,8
HOLX,3
CRM,3
ALLE,8
BA,9
ORCL,5
SYK,4
DGX,4
TXN,2
JNPR,5
ISRG,2
TTWO,2
ALB,6
PTC,2
RMD,2
FIS,5
SYY,6
F,10
NOC,5
MAS,4
LVS,9
HII,10
MDT,8
NWS,10
T,10
BF-B,6
USB,7
WBA,8
CSX,8
MTD,10
PWR,10
V,5
AIZ,3
ZBH,10
DXCM,0
WMT,6
GE,6
WDC,0
OKE,3
GRMN,8
WMB,0
CHRW,3
MSI,10
BK,7
CTRA,0
MMM,8
TSN,6
PAYC,3
CNC,5
REG,10
PNC,7
SWK,5
CDNS,2
MCK,5
FRC,7
PENN,4
COST,1
RJF,7
MCD,0
SEE,4
CB,5
CERN,1
ARE,1
AME,3
SPG,6
UNP,4
MTCH,10
TFC,7
ADSK,2
DOV,8
ROL,5
TROW,5
HON,10
UHS,5
YUM,5
FBHS,3
AMD,2
ZTS,2
TEL,10
MKTX,0
AIG,7
CME,1
MSCI,3
AMAT,2
PHM,3
EIX,8
WFC,7
VNO,6
CMI,6
TGT,8
DAL,9
LH,5
BIIB,2
BBY,4
WRB,10
AXP,4
CPRT,3
DG,4
COF,7
PBCT,7
WAB,0
CI,5
GOOG,5
DHI,4
BKNG,2
IQV,0
FANG,9
AMGN,3
IDXX,3
MSFT,3
ETN,8
GPN,5
BEN,0
ADM,4
LNT,1
KEY,7
VTR,4
AES,10
HD,8
BWA,0
WELL,4
EXR,4
ABT,3
CPB,4
PNR,4
UDR,4
PPL,1
KMB,4
DLR,1
ATO,1
DISH,5
DPZ,10
LLY,10
NFLX,2
INCY,2
TPR,9
CVX,6
GPS,9
ILMN,2
VFC,6
LEG,6
EW,2
MAA,4
OXY,9
LUV,9
KR,8
BKR,0
CE,0
TDY,10
PXD,9
CCI,1
AAP,8
RL,9
PAYX,5
NDAQ,8
ALL,4
GL,5
AON,5
PEP,6
NTAP,6
ACN,8
WU,10
TT,8
IEX,8
TMUS,10
CDW,2
HSIC,10
NVR,10
AKAM,0
HBAN,7
L,7
JCI,4
PLD,5
GWW,3
RE,7
DISCA,6
NSC,8
ADBE,2
DHR,3
AMT,6
MPWR,2
CSCO,1
GILD,5
CAH,10
CAG,1
EBAY,5
RHI,4
MHK,6
RF,7
ITW,5
TER,2
LOW,8
HES,9
LNC,9
CBOE,10
AAPL,2
BIO,3
CVS,5
PEAK,4
ROP,8
CBRE,10
PM,10
ALK,9
BXP,6
IP,5
SRE,1
GPC,8
KMX,4
XOM,6
MAR,6
BAX,7
MOS,0
CCL,9
QCOM,2
TRMB,2
D,1
UAA,9
XRAY,5
APH,2
EMR,8
EL,2
URI,7
BRO,3
AEP,1
ABBV,3
VRTX,3
XYL,8
TDG,5
ED,1
AWK,1
MO,10
GS,9
AVGO,2
AVY,3
NKE,10
EXPE,9
STE,6
BSX,5
NCLH,9
SNPS,2
PCAR,6
UNH,5
EQIX,1
MDLZ,1
NWL,8
GIS,6
SBUX,4
EXC,1
LEN,5
WY,4
LDOS,0
ALGN,8
PFG,7
MA,5
GLW,8
GNRC,2
SIVB,2
PVH,8
HBI,5
UAL,9
JKHY,5
VLO,9
TWTR,1
DRE,2
ANTM,0
ABC,5
SPGI,6
ODFL,6
ANSS,2
STZ,5
GOOGL,5
ORLY,6
LKQ,7
UPS,8
ICE,3
AZO,4
BMY,10
SNA,6
K,1
IBM,3
ROK,8
NEM,10
ADI,8
MMC,4
BBWI,0
SHW,1
PKI,3
AMZN,2
CTAS,8
HCA,8
RCL,9
IPGP,2
PG,1
TYL,3
TECH,3
LYB,0
CHD,1
FRT,4
KIM,3
DISCK,5
MKC,1
BAC,7
IT,4
APD,8
XEL,1
HSY,1
PGR,1
MRK,0
EVRG,1
AVB,4
VTRS,0
ECL,8
REGN,3
IFF,5
LMT,3
RTX,5
HLT,8
DXC,0
LUMN,3
WEC,1
