,0
INTU,4
TMO,10
PKG,8
AOS,0
FCX,8
DVN,7
FLT,7
NTRS,6
FTNT,4
INTC,4
O,2
EOG,8
PRU,6
FDX,3
DIS,0
ETR,1
EA,4
NUE,2
ZION,6
ZBRA,8
FMC,10
STT,0
SLB,5
CAT,5
MTB,6
TSLA,0
CMG,10
TXT,7
LYV,10
CL,10
PFE,9
BRK-B,9
BR,4
CNP,1
AEE,1
ADP,5
EMN,10
NOW,4
WYNN,8
APA,8
KMI,7
APTV,3
GM,0
HST,3
CINF,9
AAL,7
WST,10
ATVI,5
CTXS,9
NLOK,8
ENPH,4
ESS,2
EFX,7
DLTR,0
POOL,3
ULTA,9
MLM,10
BLL,3
HAL,8
PPG,5
DE,5
VZ,3
HRL,7
HUM,10
RSG,0
STX,3
EQR,2
CMA,6
IRM,2
VRSN,4
ROST,9
AMP,6
NVDA,4
J,7
NWSA,3
JBHT,0
WHR,0
AMCR,0
CMCSA,5
NRG,2
PSA,2
MPC,9
SBAC,9
MU,0
SCHW,8
MCO,7
SJM,9
MGM,0
HIG,8
ABMD,3
LIN,2
PSX,2
VRSK,8
NI,1
PNW,1
CTSH,4
DTE,1
AJG,9
TRV,10
NEE,1
DVA,9
OMC,10
CRL,5
GD,10
TAP,10
CLX,8
CF,2
HPQ,3
PH,7
FITB,6
FAST,0
PEG,1
NXPI,2
MNST,9
DFS,5
IPG,6
MRO,10
MCHP,4
MET,3
C,6
A,10
HAS,9
JNJ,10
COP,8
CHTR,9
BDX,10
WAT,3
IVZ,7
CMS,1
TSCO,3
FISV,3
VMC,9
MS,6
KLAC,4
FE,1
ES,1
SO,1
DD,7
FFIV,10
LRCX,4
LHX,10
TJX,0
DUK,1
KO,8
BLK,7
NLSN,3
FB,10
AFL,0
JPM,6
SWKS,4
WM,3
EXPD,0
TFX,7
COO,9
DRI,8
HOLX,9
CRM,4
ALLE,5
BA,8
ORCL,10
SYK,3
DGX,3
TXN,4
JNPR,0
ISRG,4
TTWO,4
ALB,7
PTC,4
RMD,4
FIS,7
SYY,7
F,5
NOC,10
MAS,10
LVS,0
HII,8
MDT,8
NWS,7
T,7
BF-B,2
USB,6
WBA,4
CSX,7
MTD,10
PWR,3
V,4
AIZ,8
ZBH,5
DXCM,8
WMT,5
GE,7
WDC,9
OKE,7
GRMN,0
WMB,7
CHRW,8
MSI,5
BK,6
CTRA,7
MMM,5
TSN,7
PAYC,9
CNC,0
REG,7
PNC,6
SWK,0
CDNS,0
MCK,10
FRC,6
PENN,3
COST,9
RJF,7
MCD,4
SEE,5
CB,8
CERN,7
ARE,2
AME,2
SPG,7
UNP,5
MTCH,0
TFC,6
ADSK,8
DOV,5
ROL,0
TROW,7
HON,3
UHS,5
YUM,0
FBHS,9
AMD,4
ZTS,9
TEL,3
MKTX,3
AIG,10
CME,9
MSCI,4
AMAT,4
PHM,2
EIX,1
WFC,9
VNO,10
CMI,10
TGT,9
DAL,3
LH,3
BIIB,3
BBY,5
WRB,9
AXP,3
CPRT,10
DG,7
COF,6
PBCT,6
WAB,7
CI,10
GOOG,4
DHI,7
BKNG,4
IQV,9
FANG,8
AMGN,3
IDXX,9
MSFT,4
ETN,7
GPN,3
BEN,2
ADM,0
LNT,1
KEY,6
VTR,7
AES,0
HD,3
BWA,5
WELL,7
EXR,2
ABT,5
CPB,3
PNR,7
UDR,2
PPL,1
KMB,8
DLR,10
ATO,1
DISH,0
DPZ,8
LLY,5
NFLX,3
INCY,10
TPR,9
CVX,8
GPS,0
ILMN,5
VFC,9
LEG,6
EW,7
MAA,2
OXY,8
LUV,2
KR,8
BKR,2
CE,10
TDY,0
PXD,8
CCI,10
AAP,8
RL,0
PAYX,3
NDAQ,0
ALL,0
GL,3
AON,10
PEP,7
NTAP,2
ACN,5
WU,0
TT,9
IEX,5
TMUS,9
CDW,0
HSIC,3
NVR,0
AKAM,7
HBAN,6
L,8
JCI,9
PLD,0
GWW,7
RE,9
DISCA,5
NSC,8
ADBE,4
DHR,3
AMT,9
MPWR,9
CSCO,0
GILD,7
CAH,9
CAG,8
EBAY,0
RHI,4
MHK,10
RF,6
ITW,7
TER,4
LOW,8
HES,10
LNC,0
CBOE,0
AAPL,4
BIO,9
CVS,9
PEAK,2
ROP,7
CBRE,3
PM,2
ALK,10
BXP,2
IP,5
SRE,1
GPC,5
KMX,10
XOM,2
MAR,3
BAX,3
MOS,10
CCL,3
QCOM,4
TRMB,10
D,1
UAA,3
XRAY,0
APH,3
EMR,5
EL,0
URI,10
BRO,8
AEP,1
ABBV,9
VRTX,7
XYL,5
TDG,0
ED,1
AWK,1
MO,2
GS,6
AVGO,4
AVY,2
NKE,8
EXPE,2
STE,4
BSX,5
NCLH,3
SNPS,4
PCAR,5
UNH,0
EQIX,5
MDLZ,3
NWL,3
GIS,7
SBUX,0
EXC,9
LEN,7
WY,9
LDOS,5
ALGN,5
PFG,3
MA,4
GLW,5
GNRC,5
