,0
INTU,5
TMO,2
PKG,0
AOS,2
FCX,0
DVN,6
FLT,6
NTRS,1
FTNT,5
INTC,6
O,10
EOG,0
PRU,1
FDX,7
DIS,4
ETR,8
EA,0
NUE,6
ZION,1
ZBRA,2
FMC,5
STT,3
SLB,0
CAT,5
MTB,1
TSLA,9
CMG,9
TXT,6
LYV,9
CL,4
PFE,9
BRK-B,7
BR,9
CNP,4
AEE,8
ADP,7
EMN,5
NOW,3
WYNN,9
APA,0
KMI,6
APTV,5
GM,1
HST,9
CINF,7
AAL,6
WST,9
ATVI,6
CTXS,9
NLOK,0
ENPH,2
ESS,10
EFX,4
DLTR,9
POOL,4
ULTA,10
MLM,5
BLL,7
HAL,10
PPG,4
DE,0
VZ,2
HRL,0
HUM,5
RSG,4
STX,9
EQR,10
CMA,1
IRM,4
VRSN,6
ROST,10
AMP,9
NVDA,6
J,0
NWSA,5
JBHT,5
WHR,5
AMCR,4
CMCSA,2
NRG,7
PSA,9
MPC,0
SBAC,5
MU,3
SCHW,1
MCO,0
SJM,4
MGM,0
HIG,7
ABMD,9
LIN,9
PSX,10
VRSK,9
NI,8
PNW,8
CTSH,5
DTE,8
AJG,3
TRV,7
NEE,8
DVA,0
OMC,3
CRL,9
GD,6
TAP,4
CLX,4
CF,7
HPQ,3
PH,7
FITB,1
FAST,3
PEG,8
NXPI,6
MNST,3
DFS,1
IPG,0
MRO,0
MCHP,7
MET,1
C,1
A,9
HAS,3
JNJ,2
COP,0
CHTR,4
BDX,2
WAT,0
IVZ,1
CMS,8
TSCO,7
FISV,4
VMC,0
MS,1
KLAC,3
FE,4
ES,8
SO,8
DD,2
FFIV,5
LRCX,5
LHX,6
TJX,5
DUK,8
KO,5
BLK,3
NLSN,3
FB,3
AFL,7
JPM,1
SWKS,3
WM,10
EXPD,4
TFX,9
COO,0
DRI,5
HOLX,2
CRM,3
ALLE,6
BA,0
ORCL,3
SYK,2
DGX,2
TXN,9
JNPR,5
ISRG,2
TTWO,6
ALB,2
PTC,0
RMD,10
FIS,4
SYY,7
F,0
NOC,9
MAS,9
LVS,6
HII,9
MDT,2
NWS,5
T,0
BF-B,4
USB,1
WBA,0
CSX,6
MTD,2
PWR,3
V,0
AIZ,7
ZBH,2
DXCM,3
WMT,6
GE,0
WDC,0
OKE,7
GRMN,3
WMB,0
CHRW,4
MSI,6
BK,1
CTRA,9
MMM,7
TSN,4
PAYC,3
CNC,9
REG,10
PNC,1
SWK,9
CDNS,5
MCK,10
FRC,1
PENN,6
COST,0
RJF,1
MCD,4
SEE,7
CB,7
CERN,0
ARE,10
AME,5
SPG,10
UNP,7
MTCH,4
TFC,1
ADSK,9
DOV,0
ROL,7
TROW,10
HON,2
UHS,9
YUM,5
FBHS,9
AMD,6
ZTS,9
TEL,4
MKTX,5
AIG,1
CME,7
MSCI,9
AMAT,7
PHM,6
EIX,8
WFC,1
VNO,10
CMI,0
TGT,0
DAL,3
LH,0
BIIB,0
BBY,5
WRB,7
AXP,4
CPRT,4
DG,6
COF,5
PBCT,1
WAB,10
CI,0
GOOG,5
DHI,0
BKNG,6
IQV,9
FANG,10
AMGN,9
IDXX,6
MSFT,6
ETN,7
GPN,9
BEN,5
ADM,5
LNT,8
KEY,1
VTR,3
AES,0
HD,7
BWA,0
WELL,4
EXR,10
ABT,2
CPB,4
PNR,6
UDR,10
PPL,8
KMB,4
DLR,7
ATO,8
DISH,0
DPZ,7
LLY,2
NFLX,6
INCY,6
TPR,5
CVX,6
GPS,5
ILMN,6
VFC,9
LEG,5
EW,2
MAA,10
OXY,10
LUV,6
KR,3
BKR,0
CE,5
TDY,3
PXD,5
CCI,2
AAP,4
RL,10
PAYX,7
NDAQ,7
ALL,7
GL,1
AON,9
PEP,7
NTAP,2
ACN,3
WU,3
TT,7
IEX,10
TMUS,2
CDW,10
HSIC,9
NVR,5
AKAM,5
HBAN,1
L,7
JCI,9
PLD,10
GWW,3
RE,4
DISCA,0
NSC,6
ADBE,4
DHR,2
AMT,4
MPWR,5
CSCO,2
GILD,3
CAH,9
CAG,4
EBAY,3
RHI,6
MHK,6
RF,1
ITW,7
TER,3
LOW,7
HES,3
LNC,1
CBOE,6
AAPL,3
BIO,0
CVS,3
PEAK,4
ROP,7
CBRE,0
PM,4
ALK,2
BXP,10
IP,3
SRE,8
GPC,10
KMX,6
XOM,3
MAR,9
BAX,2
MOS,6
CCL,6
QCOM,2
TRMB,6
D,8
UAA,4
XRAY,10
APH,9
EMR,10
EL,5
URI,3
BRO,3
AEP,8
ABBV,2
VRTX,6
XYL,9
TDG,7
ED,8
AWK,8
MO,4
GS,1
AVGO,6
AVY,5
NKE,10
EXPE,2
STE,9
BSX,2
NCLH,5
SNPS,5
PCAR,2
UNH,7
EQIX,4
MDLZ,10
NWL,7
GIS,4
SBUX,3
EXC,10
LEN,5
WY,5
LDOS,5
ALGN,6
PFG,3
MA,0
GLW,0
GNRC,0
SIVB,1
PVH,10
HBI,9
UAL,9
JKHY,4
VLO,10
TWTR,2
DRE,10
ANTM,2
ABC,3
SPGI,10
ODFL,10
ANSS,2
STZ,6
GOOGL,0
ORLY,4
LKQ,10
UPS,7
ICE,4
AZO,2
BMY,2
