,0
INTU,3
TMO,1
PKG,2
AOS,2
FCX,2
DVN,10
FLT,10
NTRS,5
FTNT,4
INTC,3
O,8
EOG,4
PRU,6
FDX,2
DIS,4
ETR,7
EA,8
NUE,4
ZION,5
ZBRA,10
FMC,6
STT,4
SLB,4
CAT,0
MTB,5
TSLA,6
CMG,9
TXT,4
LYV,10
CL,10
PFE,9
BRK-B,6
BR,3
CNP,7
AEE,7
ADP,9
EMN,2
NOW,10
WYNN,3
APA,0
KMI,8
APTV,2
GM,6
HST,5
CINF,5
AAL,2
WST,9
ATVI,3
CTXS,2
NLOK,9
ENPH,9
ESS,8
EFX,9
DLTR,0
POOL,3
ULTA,0
MLM,2
BLL,1
HAL,6
PPG,0
DE,0
VZ,0
HRL,2
HUM,4
RSG,0
STX,3
EQR,8
CMA,10
IRM,10
VRSN,10
ROST,9
AMP,0
NVDA,2
J,0
NWSA,8
JBHT,3
WHR,6
AMCR,6
CMCSA,6
NRG,9
PSA,8
MPC,4
SBAC,8
MU,0
SCHW,3
MCO,5
SJM,4
MGM,2
HIG,0
ABMD,3
LIN,2
PSX,6
VRSK,10
NI,7
PNW,7
CTSH,9
DTE,7
AJG,8
TRV,8
NEE,7
DVA,5
OMC,4
CRL,1
GD,4
TAP,9
CLX,10
CF,6
HPQ,3
PH,4
FITB,5
FAST,2
PEG,7
NXPI,0
MNST,2
DFS,5
IPG,4
MRO,4
MCHP,5
MET,5
C,5
A,1
HAS,0
JNJ,9
COP,4
CHTR,10
BDX,1
WAT,1
IVZ,4
CMS,7
TSCO,9
FISV,9
VMC,9
MS,5
KLAC,2
FE,7
ES,7
SO,0
DD,2
FFIV,9
LRCX,2
LHX,10
TJX,9
DUK,7
KO,10
BLK,0
NLSN,2
FB,3
AFL,8
JPM,5
SWKS,2
WM,3
EXPD,6
TFX,1
COO,10
DRI,1
HOLX,4
CRM,3
ALLE,6
BA,4
ORCL,3
SYK,1
DGX,1
TXN,2
JNPR,10
ISRG,1
TTWO,1
ALB,0
PTC,3
RMD,1
FIS,9
SYY,2
F,0
NOC,4
MAS,4
LVS,3
HII,4
MDT,1
NWS,10
T,6
BF-B,1
USB,5
WBA,6
CSX,2
MTD,2
PWR,5
V,10
AIZ,4
ZBH,1
DXCM,10
WMT,9
GE,10
WDC,2
OKE,2
GRMN,2
WMB,9
CHRW,0
MSI,9
BK,0
CTRA,5
MMM,6
TSN,10
PAYC,3
CNC,1
REG,8
PNC,5
SWK,4
CDNS,3
MCK,1
FRC,5
PENN,2
COST,9
RJF,5
MCD,8
SEE,2
CB,6
CERN,9
ARE,8
AME,6
SPG,1
UNP,0
MTCH,3
TFC,5
ADSK,10
DOV,4
ROL,10
TROW,4
HON,4
UHS,2
YUM,6
FBHS,6
AMD,10
ZTS,0
TEL,6
MKTX,9
AIG,5
CME,6
MSCI,3
AMAT,2
PHM,8
EIX,6
WFC,6
VNO,8
CMI,6
TGT,3
DAL,9
LH,1
BIIB,2
BBY,2
WRB,1
AXP,4
CPRT,2
DG,10
COF,5
PBCT,5
WAB,5
CI,4
GOOG,3
DHI,2
BKNG,3
IQV,1
FANG,5
AMGN,10
IDXX,3
MSFT,3
ETN,2
GPN,10
BEN,6
ADM,2
