,0
INTU,2
TMO,6
PKG,0
AOS,1
FCX,10
DVN,10
FLT,6
NTRS,8
FTNT,0
INTC,1
O,7
EOG,10
PRU,8
FDX,4
DIS,4
ETR,7
EA,5
NUE,0
ZION,8
ZBRA,7
FMC,10
STT,8
SLB,10
CAT,4
MTB,8
TSLA,7
CMG,2
TXT,8
LYV,3
CL,5
PFE,9
BRK-B,4
BR,0
CNP,3
AEE,7
ADP,6
EMN,4
NOW,2
WYNN,6
APA,10
KMI,10
APTV,1
GM,4
HST,4
CINF,9
AAL,0
WST,2
ATVI,2
CTXS,2
NLOK,9
ENPH,4
ESS,9
EFX,7
DLTR,2
POOL,6
ULTA,4
MLM,1
BLL,0
HAL,3
PPG,4
DE,0
VZ,6
HRL,4
HUM,10
RSG,6
STX,4
EQR,5
CMA,8
IRM,3
VRSN,9
ROST,7
AMP,4
NVDA,2
J,6
NWSA,4
JBHT,6
WHR,6
AMCR,1
CMCSA,0
NRG,1
PSA,9
MPC,10
SBAC,9
MU,1
SCHW,6
MCO,2
SJM,5
MGM,4
HIG,10
ABMD,2
LIN,6
PSX,10
VRSK,9
NI,7
PNW,3
CTSH,9
DTE,3
AJG,0
TRV,6
NEE,5
DVA,6
OMC,4
CRL,2
GD,0
TAP,4
CLX,2
CF,1
HPQ,1
PH,6
FITB,8
FAST,6
PEG,5
NXPI,1
MNST,2
DFS,8
IPG,4
MRO,10
MCHP,7
MET,8
C,8
A,1
HAS,4
JNJ,0
COP,10
CHTR,2
BDX,0
WAT,9
IVZ,8
CMS,7
TSCO,1
FISV,5
VMC,1
MS,8
KLAC,4
FE,3
ES,2
SO,7
DD,1
FFIV,4
LRCX,1
LHX,9
TJX,3
DUK,7
KO,7
BLK,6
NLSN,0
FB,2
AFL,6
JPM,8
SWKS,1
WM,6
EXPD,0
TFX,5
COO,3
DRI,3
HOLX,5
CRM,2
ALLE,4
BA,10
ORCL,2
SYK,4
DGX,1
TXN,2
JNPR,1
ISRG,2
TTWO,5
ALB,1
PTC,2
RMD,2
FIS,5
SYY,3
F,4
NOC,9
MAS,6
LVS,3
HII,4
MDT,6
NWS,4
T,3
BF-B,2
USB,8
WBA,9
CSX,6
MTD,0
PWR,1
V,2
AIZ,3
ZBH,7
DXCM,2
WMT,7
GE,4
WDC,7
OKE,10
GRMN,2
WMB,1
CHRW,6
MSI,9
BK,8
CTRA,7
MMM,6
TSN,0
PAYC,4
CNC,6
REG,0
PNC,8
SWK,4
CDNS,2
MCK,5
FRC,0
PENN,6
COST,2
RJF,4
MCD,7
SEE,7
CB,6
CERN,0
ARE,9
AME,6
SPG,3
UNP,6
MTCH,9
TFC,8
ADSK,2
DOV,6
ROL,2
TROW,4
HON,6
UHS,9
YUM,7
FBHS,9
AMD,2
ZTS,0
TEL,1
MKTX,1
AIG,8
CME,5
MSCI,2
AMAT,1
PHM,9
EIX,7
WFC,8
VNO,3
CMI,7
TGT,0
DAL,3
LH,6
BIIB,1
BBY,6
WRB,6
AXP,4
CPRT,9
DG,9
COF,8
PBCT,8
WAB,4
CI,4
GOOG,1
DHI,0
BKNG,0
IQV,0
FANG,10
AMGN,0
IDXX,2
MSFT,2
ETN,1
GPN,9
BEN,8
ADM,7
LNT,7
KEY,8
VTR,3
AES,3
HD,6
BWA,1
WELL,3
EXR,7
ABT,2
CPB,3
PNR,6
UDR,7
PPL,3
KMB,5
DLR,1
ATO,3
DISH,9
DPZ,0
LLY,1
NFLX,2
INCY,5
TPR,8
CVX,10
GPS,3
ILMN,2
VFC,8
LEG,3
EW,4
MAA,9
OXY,10
LUV,3
KR,4
BKR,10
CE,4
TDY,6
PXD,10
CCI,2
AAP,5
RL,8
PAYX,6
NDAQ,1
ALL,4
GL,8
AON,1
PEP,7
NTAP,4
ACN,1
WU,0
TT,6
IEX,5
TMUS,5
CDW,6
HSIC,0
NVR,9
AKAM,10
HBAN,8
L,8
JCI,6
PLD,2
GWW,9
RE,4
DISCA,0
NSC,10
ADBE,2
DHR,2
AMT,1
MPWR,1
CSCO,9
GILD,0
CAH,9
CAG,9
EBAY,2
RHI,8
MHK,4
RF,8
ITW,6
TER,1
LOW,6
HES,10
LNC,8
CBOE,2
AAPL,2
BIO,2
CVS,10
PEAK,9
ROP,2
CBRE,6
PM,7
ALK,3
BXP,3
IP,0
SRE,7
GPC,9
KMX,7
XOM,10
MAR,3
BAX,7
MOS,4
CCL,5
QCOM,5
TRMB,7
D,7
UAA,0
XRAY,3
APH,1
EMR,6
EL,9
URI,7
BRO,6
AEP,3
ABBV,7
VRTX,1
XYL,1
TDG,3
ED,3
AWK,7
MO,6
GS,8
AVGO,1
AVY,0
NKE,9
EXPE,0
STE,0
BSX,6
NCLH,3
SNPS,2
PCAR,4
UNH,0
EQIX,5
MDLZ,3
NWL,0
GIS,0
SBUX,5
EXC,6
LEN,9
WY,4
LDOS,7
ALGN,5
PFG,8
MA,5
GLW,4
GNRC,10
SIVB,8
PVH,0
HBI,7
UAL,10
JKHY,5
VLO,1
TWTR,0
DRE,7
ANTM,0
ABC,5
SPGI,9
ODFL,6
ANSS,2
STZ,7
GOOGL,1
ORLY,9
LKQ,9
UPS,3
ICE,0
AZO,9
BMY,7
SNA,6
K,4
IBM,7
ROK,6
NEM,7
ADI,10
MMC,5
BBWI,2
SHW,9
PKI,1
AMZN,5
CTAS,1
HCA,4
RCL,0
IPGP,1
PG,0
TYL,9
TECH,9
LYB,4
CHD,5
FRT,3
KIM,3
DISCK,4
MKC,7
BAC,8
IT,9
APD,5
XEL,7
HSY,0
PGR,0
MRK,0
EVRG,6
AVB,5
VTRS,0
ECL,10
REGN,0
IFF,1
LMT,6
RTX,4
HLT,3
DXC,3
LUMN,3
WEC,7
