,0
INTU,2
TMO,10
PKG,2
AOS,0
FCX,7
DVN,1
FLT,7
NTRS,5
FTNT,8
INTC,2
O,9
EOG,3
PRU,5
FDX,0
DIS,7
ETR,4
EA,1
NUE,10
ZION,5
ZBRA,0
FMC,10
STT,5
SLB,2
CAT,6
MTB,5
TSLA,2
CMG,2
TXT,1
LYV,1
CL,3
PFE,6
BRK-B,5
BR,6
CNP,4
AEE,4
ADP,3
EMN,2
NOW,10
WYNN,1
APA,6
KMI,2
APTV,2
GM,0
HST,2
CINF,0
AAL,0
WST,3
ATVI,7
CTXS,7
NLOK,0
ENPH,6
ESS,9
EFX,3
DLTR,8
POOL,10
ULTA,3
MLM,6
BLL,8
HAL,2
PPG,1
DE,8
VZ,1
HRL,3
HUM,7
RSG,1
STX,8
EQR,9
CMA,5
IRM,7
VRSN,10
ROST,2
AMP,2
NVDA,0
J,8
NWSA,2
JBHT,1
WHR,10
AMCR,3
CMCSA,0
NRG,7
PSA,7
MPC,0
SBAC,3
MU,0
SCHW,5
MCO,7
SJM,7
MGM,0
HIG,8
ABMD,3
LIN,0
PSX,9
VRSK,3
NI,4
PNW,4
CTSH,9
DTE,4
AJG,10
TRV,10
NEE,4
DVA,8
OMC,9
CRL,8
GD,10
TAP,7
CLX,4
CF,3
HPQ,7
PH,6
FITB,5
FAST,6
PEG,4
NXPI,3
MNST,7
DFS,8
IPG,8
MRO,2
MCHP,8
MET,5
C,5
A,10
HAS,6
JNJ,8
COP,6
CHTR,7
BDX,7
WAT,8
IVZ,2
CMS,4
TSCO,2
FISV,9
VMC,6
MS,5
KLAC,10
FE,6
ES,4
SO,4
DD,3
FFIV,3
LRCX,8
LHX,7
TJX,10
DUK,4
KO,6
BLK,9
NLSN,6
FB,7
AFL,1
JPM,5
SWKS,2
WM,4
EXPD,10
TFX,7
COO,10
DRI,2
HOLX,2
CRM,7
ALLE,2
BA,2
ORCL,7
SYK,10
DGX,10
TXN,2
JNPR,2
ISRG,7
TTWO,7
ALB,8
PTC,8
RMD,2
FIS,7
SYY,1
F,2
NOC,6
MAS,1
LVS,6
HII,10
MDT,7
NWS,6
T,10
BF-B,9
USB,5
WBA,6
CSX,2
MTD,10
PWR,2
V,7
AIZ,6
ZBH,6
DXCM,10
WMT,1
GE,1
WDC,3
OKE,1
GRMN,1
WMB,2
CHRW,2
MSI,7
BK,5
CTRA,1
MMM,10
TSN,6
PAYC,7
CNC,6
REG,9
PNC,5
SWK,1
CDNS,8
MCK,1
FRC,5
PENN,0
COST,3
RJF,5
MCD,7
SEE,7
CB,2
CERN,7
ARE,7
AME,1
SPG,7
UNP,2
MTCH,1
TFC,5
ADSK,1
DOV,7
ROL,8
TROW,1
HON,6
UHS,10
YUM,6
FBHS,3
AMD,10
ZTS,7
TEL,10
MKTX,0
AIG,5
CME,1
MSCI,7
AMAT,2
PHM,0
EIX,4
WFC,5
VNO,7
CMI,0
TGT,8
DAL,8
LH,8
BIIB,2
BBY,1
WRB,8
AXP,0
CPRT,2
DG,0
COF,8
PBCT,5
WAB,1
CI,7
GOOG,0
DHI,8
BKNG,2
IQV,10
FANG,0
AMGN,2
IDXX,6
MSFT,0
ETN,1
GPN,10
BEN,1
ADM,8
LNT,4
KEY,5
VTR,9
AES,3
HD,10
BWA,2
WELL,9
EXR,9
ABT,1
CPB,6
PNR,10
UDR,9
PPL,4
KMB,7
DLR,8
ATO,4
DISH,0
DPZ,1
LLY,8
NFLX,8
INCY,8
TPR,2
CVX,9
GPS,1
ILMN,2
VFC,10
LEG,1
EW,7
MAA,9
OXY,1
LUV,0
KR,1
BKR,10
CE,1
TDY,0
PXD,2
CCI,10
AAP,1
RL,3
PAYX,3
NDAQ,0
ALL,3
GL,5
AON,6
PEP,3
NTAP,8
ACN,2
WU,6
TT,10
IEX,2
TMUS,10
CDW,2
HSIC,8
NVR,8
AKAM,1
HBAN,5
L,10
JCI,10
PLD,9
GWW,1
RE,10
DISCA,2
NSC,3
ADBE,7
DHR,10
AMT,9
MPWR,8
CSCO,0
GILD,6
CAH,10
CAG,9
EBAY,6
RHI,2
MHK,6
RF,5
ITW,3
TER,6
LOW,6
HES,1
LNC,5
CBOE,1
AAPL,7
BIO,8
CVS,7
PEAK,9
ROP,1
CBRE,10
PM,6
ALK,3
BXP,9
IP,6
SRE,4
GPC,10
KMX,3
XOM,9
MAR,1
BAX,7
MOS,3
CCL,0
QCOM,0
TRMB,7
D,4
UAA,7
XRAY,9
APH,2
EMR,10
EL,8
URI,6
BRO,6
AEP,4
ABBV,7
VRTX,8
XYL,1
TDG,6
ED,4
AWK,9
MO,0
GS,5
AVGO,8
AVY,3
NKE,7
EXPE,7
STE,2
BSX,10
NCLH,2
SNPS,2
PCAR,5
UNH,9
EQIX,7
MDLZ,0
NWL,0
GIS,3
SBUX,1
EXC,9
LEN,3
WY,2
LDOS,1
ALGN,8
PFG,5
MA,7
GLW,8
GNRC,10
SIVB,5
PVH,8
HBI,2
UAL,3
JKHY,2
VLO,0
TWTR,3
DRE,9
ANTM,8
ABC,10
SPGI,1
ODFL,2
ANSS,1
STZ,0
GOOGL,7
ORLY,3
LKQ,1
UPS,10
ICE,3
AZO,0
BMY,8
SNA,3
K,0
IBM,9
ROK,6
NEM,0
ADI,8
MMC,6
BBWI,0
SHW,1
PKI,10
AMZN,0
CTAS,6
HCA,0
RCL,6
IPGP,8
PG,3
TYL,7
TECH,6
LYB,10
CHD,0
FRT,9
KIM,2
DISCK,2
MKC,3
BAC,5
IT,3
APD,10
XEL,4
HSY,0
PGR,6
MRK,8
EVRG,7
AVB,9
VTRS,2
ECL,10
REGN,10
IFF,9
LMT,1
RTX,1
HLT,0
DXC,1
LUMN,10
WEC,4
