,0
INTU,6
TMO,8
PKG,7
AOS,1
FCX,2
DVN,0
FLT,7
NTRS,4
FTNT,6
INTC,0
O,9
EOG,5
PRU,1
FDX,3
DIS,4
ETR,9
EA,8
NUE,2
ZION,1
ZBRA,7
FMC,7
STT,2
SLB,5
CAT,2
MTB,1
TSLA,0
CMG,6
TXT,2
LYV,9
CL,10
PFE,0
BRK-B,4
BR,8
CNP,8
AEE,9
ADP,8
EMN,7
NOW,2
WYNN,0
APA,7
KMI,5
APTV,7
GM,7
HST,5
CINF,7
AAL,0
WST,9
ATVI,8
CTXS,0
NLOK,8
ENPH,10
ESS,6
EFX,6
DLTR,9
POOL,0
ULTA,8
MLM,2
BLL,2
HAL,5
PPG,8
DE,4
VZ,4
HRL,6
HUM,3
RSG,10
STX,3
EQR,9
CMA,1
IRM,9
VRSN,8
ROST,8
AMP,1
NVDA,10
J,4
NWSA,4
JBHT,2
WHR,2
AMCR,7
CMCSA,0
NRG,5
PSA,9
MPC,2
SBAC,2
MU,2
SCHW,1
MCO,10
SJM,5
MGM,5
HIG,5
ABMD,7
LIN,10
PSX,8
VRSK,6
NI,9
PNW,9
CTSH,3
DTE,5
AJG,5
TRV,5
NEE,9
DVA,7
OMC,5
CRL,5
GD,2
TAP,8
CLX,4
CF,7
HPQ,9
PH,1
FITB,1
FAST,2
PEG,5
NXPI,8
MNST,8
DFS,4
IPG,7
MRO,5
MCHP,0
MET,1
C,1
A,8
HAS,2
JNJ,6
COP,5
CHTR,6
BDX,2
WAT,7
IVZ,0
CMS,9
TSCO,8
FISV,6
VMC,0
MS,1
KLAC,9
FE,9
ES,9
SO,9
DD,8
FFIV,8
LRCX,0
LHX,9
TJX,7
DUK,5
KO,10
BLK,4
NLSN,6
FB,2
AFL,5
JPM,1
SWKS,2
WM,10
EXPD,1
TFX,2
COO,8
DRI,3
HOLX,10
CRM,3
ALLE,2
BA,5
ORCL,6
SYK,6
DGX,0
TXN,3
JNPR,2
ISRG,2
TTWO,10
ALB,7
PTC,7
RMD,0
FIS,10
SYY,10
F,7
NOC,2
MAS,3
LVS,0
HII,10
MDT,9
NWS,4
T,7
BF-B,9
USB,1
WBA,2
CSX,0
MTD,10
PWR,4
V,2
AIZ,5
ZBH,2
DXCM,7
WMT,10
GE,3
WDC,2
OKE,4
GRMN,0
WMB,3
CHRW,6
MSI,8
BK,0
CTRA,0
MMM,4
TSN,5
PAYC,6
CNC,6
REG,2
PNC,4
SWK,7
CDNS,0
MCK,3
FRC,5
PENN,3
COST,10
RJF,1
MCD,5
SEE,5
CB,8
CERN,0
ARE,5
AME,5
SPG,5
UNP,5
MTCH,6
TFC,1
ADSK,0
DOV,1
ROL,8
TROW,10
HON,4
UHS,3
YUM,9
FBHS,1
AMD,3
ZTS,6
TEL,1
MKTX,10
AIG,6
CME,9
MSCI,10
AMAT,7
PHM,6
EIX,7
WFC,1
VNO,5
CMI,7
TGT,0
DAL,5
LH,2
BIIB,6
BBY,7
WRB,10
AXP,4
CPRT,0
DG,0
COF,1
PBCT,1
WAB,2
CI,3
GOOG,8
DHI,6
BKNG,2
IQV,2
FANG,3
AMGN,4
IDXX,6
MSFT,0
ETN,4
GPN,6
BEN,2
ADM,10
LNT,9
KEY,1
VTR,6
AES,8
HD,3
BWA,7
WELL,9
EXR,9
ABT,6
CPB,7
PNR,1
UDR,9
PPL,9
KMB,10
DLR,9
ATO,9
DISH,6
DPZ,7
LLY,7
NFLX,0
INCY,3
TPR,7
CVX,4
GPS,6
ILMN,8
VFC,4
LEG,7
EW,8
MAA,5
OXY,5
LUV,9
KR,9
BKR,8
CE,8
TDY,7
PXD,3
CCI,2
AAP,9
RL,0
PAYX,0
NDAQ,10
ALL,0
GL,4
AON,0
PEP,10
NTAP,1
ACN,10
WU,2
TT,5
IEX,4
TMUS,3
CDW,6
HSIC,6
NVR,4
AKAM,10
HBAN,1
L,5
JCI,4
PLD,6
GWW,7
RE,2
DISCA,3
NSC,1
ADBE,0
DHR,10
AMT,6
MPWR,3
CSCO,7
GILD,10
CAH,3
CAG,10
EBAY,2
RHI,7
MHK,2
RF,1
ITW,7
TER,2
LOW,3
HES,5
LNC,1
CBOE,5
AAPL,0
BIO,7
CVS,3
PEAK,6
ROP,4
CBRE,6
PM,4
ALK,7
BXP,6
IP,7
SRE,5
GPC,8
KMX,3
XOM,8
MAR,0
BAX,6
MOS,7
CCL,7
QCOM,8
TRMB,5
D,10
UAA,2
XRAY,9
APH,0
EMR,7
EL,4
URI,3
BRO,10
AEP,9
ABBV,6
VRTX,10
XYL,5
TDG,6
ED,9
AWK,9
MO,5
GS,1
AVGO,0
AVY,5
NKE,8
EXPE,3
STE,8
BSX,10
NCLH,0
SNPS,10
PCAR,2
UNH,3
EQIX,9
MDLZ,6
NWL,2
GIS,6
SBUX,6
EXC,3
LEN,5
WY,6
LDOS,2
ALGN,0
PFG,1
MA,10
GLW,7
GNRC,0
SIVB,1
PVH,7
HBI,0
UAL,5
JKHY,8
VLO,10
TWTR,3
DRE,9
ANTM,3
ABC,3
SPGI,10
ODFL,2
ANSS,2
STZ,6
GOOGL,8
ORLY,0
LKQ,1
UPS,3
ICE,6
AZO,8
BMY,8
SNA,4
K,2
IBM,2
ROK,1
NEM,2
ADI,7
MMC,9
BBWI,8
SHW,6
PKI,8
AMZN,3
CTAS,2
HCA,3
RCL,2
IPGP,0
PG,10
TYL,6
TECH,10
LYB,7
CHD,7
FRT,3
KIM,2
DISCK,3
MKC,10
BAC,1
IT,7
APD,10
XEL,9
HSY,7
PGR,8
MRK,6
EVRG,6
AVB,9
VTRS,5
ECL,6
REGN,6
IFF,10
LMT,10
RTX,0
HLT,0
DXC,4
LUMN,5
WEC,9
