,0
INTU,3
TMO,1
PKG,0
AOS,2
FCX,0
DVN,5
FLT,5
NTRS,7
FTNT,6
INTC,2
O,10
EOG,5
PRU,7
FDX,5
DIS,6
ETR,4
EA,6
NUE,5
ZION,7
ZBRA,6
FMC,0
STT,7
SLB,5
CAT,1
MTB,7
TSLA,6
CMG,2
TXT,5
LYV,8
CL,8
PFE,9
BRK-B,7
BR,3
CNP,4
AEE,4
ADP,3
EMN,0
NOW,3
WYNN,9
APA,5
KMI,9
APTV,0
GM,0
HST,8
CINF,7
AAL,6
WST,1
ATVI,8
CTXS,3
NLOK,5
ENPH,3
ESS,10
EFX,9
DLTR,0
POOL,6
ULTA,6
MLM,0
BLL,10
HAL,7
PPG,0
DE,1
VZ,1
HRL,8
HUM,6
RSG,9
STX,2
EQR,10
CMA,7
IRM,10
VRSN,3
ROST,6
AMP,7
NVDA,8
J,6
NWSA,5
JBHT,6
WHR,0
AMCR,9
CMCSA,6
NRG,6
PSA,10
MPC,5
SBAC,10
MU,2
SCHW,5
MCO,9
SJM,8
MGM,2
HIG,2
ABMD,3
LIN,1
PSX,9
VRSK,3
NI,4
PNW,4
CTSH,9
DTE,4
AJG,1
TRV,9
NEE,4
DVA,6
OMC,5
CRL,1
GD,0
TAP,1
CLX,10
CF,2
HPQ,9
PH,0
FITB,7
FAST,8
PEG,4
NXPI,2
MNST,8
DFS,7
IPG,5
MRO,5
MCHP,2
MET,7
C,7
A,6
HAS,8
JNJ,9
COP,5
CHTR,6
BDX,8
WAT,1
IVZ,5
CMS,4
TSCO,1
FISV,3
VMC,2
MS,7
KLAC,2
FE,4
ES,4
SO,4
DD,2
FFIV,2
LRCX,0
LHX,3
TJX,8
DUK,4
KO,9
BLK,5
NLSN,5
FB,3
AFL,9
JPM,7
SWKS,2
WM,3
EXPD,0
TFX,2
COO,6
DRI,6
HOLX,8
CRM,3
ALLE,6
BA,5
ORCL,3
SYK,1
DGX,6
TXN,2
JNPR,6
ISRG,1
TTWO,6
ALB,2
PTC,3
RMD,1
FIS,1
SYY,8
F,0
NOC,5
MAS,0
LVS,5
HII,5
MDT,9
NWS,5
T,5
BF-B,6
USB,7
WBA,8
CSX,10
MTD,1
PWR,0
V,9
AIZ,5
ZBH,6
DXCM,3
WMT,1
GE,8
WDC,2
OKE,6
GRMN,2
WMB,5
CHRW,0
MSI,1
BK,7
CTRA,8
MMM,5
TSN,8
PAYC,2
CNC,6
REG,10
PNC,7
SWK,2
CDNS,2
MCK,5
FRC,3
PENN,5
COST,6
RJF,5
MCD,8
SEE,0
CB,9
CERN,5
ARE,10
AME,0
SPG,8
UNP,1
MTCH,3
TFC,7
ADSK,3
DOV,0
ROL,1
TROW,0
HON,1
UHS,6
YUM,9
FBHS,0
AMD,3
ZTS,1
TEL,2
MKTX,10
AIG,9
CME,9
MSCI,3
AMAT,0
PHM,0
EIX,9
WFC,7
VNO,10
CMI,5
TGT,6
DAL,1
LH,6
BIIB,1
BBY,2
WRB,9
AXP,5
CPRT,10
DG,8
COF,7
PBCT,7
WAB,10
CI,6
GOOG,3
DHI,0
BKNG,0
IQV,6
FANG,5
AMGN,1
IDXX,3
MSFT,3
ETN,0
GPN,3
BEN,1
ADM,8
