,0
INTU,9
TMO,3
PKG,3
AOS,3
FCX,7
DVN,7
FLT,10
NTRS,1
FTNT,10
INTC,10
O,5
EOG,7
PRU,1
FDX,0
DIS,9
ETR,4
EA,9
NUE,9
ZION,1
ZBRA,2
FMC,7
STT,1
SLB,7
CAT,3
MTB,1
TSLA,0
CMG,8
TXT,7
LYV,7
CL,5
PFE,3
BRK-B,1
BR,10
CNP,4
AEE,4
ADP,9
EMN,6
NOW,2
WYNN,2
APA,7
KMI,7
APTV,6
GM,6
HST,3
CINF,1
AAL,9
WST,2
ATVI,9
CTXS,9
NLOK,9
ENPH,9
ESS,5
EFX,8
DLTR,8
POOL,10
ULTA,2
MLM,2
BLL,6
HAL,7
PPG,3
DE,3
VZ,6
HRL,5
HUM,8
RSG,6
STX,8
EQR,5
CMA,1
IRM,5
VRSN,9
ROST,8
AMP,1
NVDA,10
J,7
NWSA,9
JBHT,8
WHR,6
AMCR,3
CMCSA,9
NRG,10
PSA,9
MPC,7
SBAC,2
MU,2
SCHW,1
MCO,9
SJM,8
MGM,3
HIG,8
ABMD,2
LIN,3
PSX,7
VRSK,8
NI,4
PNW,4
CTSH,2
DTE,4
AJG,8
TRV,8
NEE,4
DVA,8
OMC,6
CRL,2
GD,3
TAP,5
CLX,5
CF,6
HPQ,10
PH,3
FITB,1
FAST,0
PEG,4
NXPI,10
MNST,2
DFS,1
IPG,9
MRO,7
MCHP,10
MET,1
C,1
A,3
HAS,2
JNJ,9
COP,7
CHTR,8
BDX,9
WAT,0
IVZ,1
CMS,4
TSCO,7
FISV,3
VMC,2
MS,1
KLAC,10
FE,4
ES,4
SO,4
DD,3
FFIV,9
LRCX,10
LHX,6
TJX,7
DUK,4
KO,5
BLK,3
NLSN,8
FB,10
AFL,8
JPM,1
SWKS,10
WM,0
EXPD,8
TFX,9
COO,3
DRI,8
HOLX,6
CRM,10
ALLE,6
BA,3
ORCL,8
SYK,2
DGX,0
TXN,10
JNPR,10
ISRG,10
TTWO,9
ALB,7
PTC,10
RMD,3
FIS,9
SYY,6
F,7
NOC,6
MAS,6
LVS,2
HII,6
MDT,3
NWS,6
T,0
BF-B,5
USB,1
WBA,8
CSX,9
MTD,3
PWR,7
V,9
AIZ,0
ZBH,5
DXCM,2
WMT,5
GE,8
WDC,9
OKE,7
GRMN,0
WMB,7
CHRW,8
MSI,2
BK,1
CTRA,8
MMM,3
TSN,2
PAYC,2
CNC,2
REG,5
PNC,1
SWK,3
CDNS,10
MCK,8
FRC,0
PENN,6
COST,0
RJF,1
MCD,9
SEE,6
CB,8
CERN,0
ARE,5
AME,0
SPG,5
UNP,0
MTCH,2
TFC,1
ADSK,10
DOV,3
ROL,2
TROW,3
HON,3
UHS,0
YUM,2
FBHS,6
AMD,6
ZTS,2
TEL,9
MKTX,8
AIG,0
CME,0
MSCI,2
AMAT,10
PHM,6
EIX,4
WFC,1
VNO,5
CMI,6
TGT,7
DAL,7
LH,0
BIIB,5
BBY,2
WRB,0
AXP,1
CPRT,2
DG,8
COF,1
PBCT,0
WAB,2
CI,6
GOOG,10
DHI,6
BKNG,9
IQV,2
FANG,7
AMGN,6
IDXX,10
MSFT,9
ETN,3
GPN,2
BEN,6
ADM,6
LNT,4
KEY,1
VTR,5
AES,8
HD,6
BWA,3
WELL,5
EXR,8
ABT,9
CPB,2
PNR,3
UDR,5
PPL,4
KMB,5
DLR,9
ATO,4
DISH,7
DPZ,2
LLY,5
NFLX,9
INCY,2
TPR,2
CVX,7
GPS,8
ILMN,9
VFC,0
LEG,3
EW,2
MAA,5
