,0
INTU,4
TMO,0
PKG,3
AOS,3
FCX,10
DVN,7
FLT,0
NTRS,5
FTNT,2
INTC,10
O,6
EOG,7
PRU,5
FDX,10
DIS,4
ETR,9
EA,2
NUE,7
ZION,5
ZBRA,0
FMC,3
STT,7
SLB,7
CAT,8
MTB,5
TSLA,4
CMG,2
TXT,4
LYV,1
CL,9
PFE,4
BRK-B,8
BR,8
CNP,6
AEE,9
ADP,4
EMN,8
NOW,2
WYNN,1
APA,7
KMI,7
APTV,3
GM,1
HST,1
CINF,5
AAL,1
WST,0
ATVI,2
CTXS,9
NLOK,0
ENPH,4
ESS,6
EFX,10
DLTR,10
POOL,4
ULTA,1
MLM,7
BLL,4
HAL,7
PPG,8
DE,4
VZ,8
HRL,9
HUM,2
RSG,4
STX,0
EQR,6
CMA,5
IRM,6
VRSN,4
ROST,0
AMP,5
NVDA,2
J,0
NWSA,4
JBHT,3
WHR,0
AMCR,8
CMCSA,10
NRG,9
PSA,9
MPC,8
SBAC,2
MU,10
SCHW,4
MCO,2
SJM,0
MGM,1
HIG,5
ABMD,4
LIN,8
PSX,7
VRSK,10
NI,9
PNW,9
CTSH,0
DTE,9
AJG,8
TRV,8
NEE,9
DVA,8
OMC,0
CRL,4
GD,0
TAP,0
CLX,3
CF,7
HPQ,10
PH,8
FITB,5
FAST,4
PEG,9
NXPI,10
MNST,4
DFS,5
IPG,1
MRO,7
MCHP,10
MET,5
C,5
A,3
HAS,1
JNJ,0
COP,7
CHTR,4
BDX,0
WAT,0
IVZ,5
CMS,9
TSCO,3
FISV,10
VMC,7
MS,5
KLAC,3
FE,9
ES,9
SO,9
DD,8
FFIV,0
LRCX,10
LHX,9
TJX,0
DUK,9
KO,4
BLK,8
NLSN,5
FB,2
AFL,7
JPM,5
SWKS,10
WM,10
EXPD,10
TFX,4
COO,0
DRI,1
HOLX,2
CRM,2
ALLE,10
BA,1
ORCL,2
SYK,2
DGX,8
TXN,10
JNPR,4
ISRG,4
TTWO,2
ALB,8
PTC,4
RMD,4
FIS,10
SYY,1
F,1
NOC,9
MAS,8
LVS,1
HII,7
MDT,8
NWS,4
T,0
BF-B,10
USB,5
WBA,8
CSX,8
MTD,10
PWR,7
V,4
AIZ,8
ZBH,8
DXCM,2
WMT,8
GE,7
WDC,0
OKE,7
GRMN,4
WMB,7
CHRW,0
MSI,8
BK,5
CTRA,3
MMM,8
TSN,7
PAYC,4
CNC,8
REG,6
PNC,5
SWK,7
CDNS,2
MCK,0
FRC,5
PENN,1
COST,2
RJF,5
MCD,2
SEE,7
CB,8
CERN,0
ARE,6
AME,8
SPG,1
UNP,8
MTCH,3
TFC,5
ADSK,2
DOV,8
ROL,4
TROW,8
HON,3
UHS,7
YUM,10
FBHS,10
AMD,2
ZTS,8
TEL,7
MKTX,2
AIG,1
CME,9
MSCI,2
AMAT,10
PHM,8
EIX,9
WFC,5
VNO,6
CMI,0
TGT,8
DAL,1
LH,7
BIIB,0
BBY,10
WRB,5
AXP,5
CPRT,4
DG,2
COF,5
PBCT,5
WAB,8
CI,7
GOOG,2
DHI,10
BKNG,3
IQV,4
FANG,7
AMGN,0
IDXX,2
MSFT,2
ETN,3
GPN,3
BEN,3
ADM,8
LNT,9
KEY,5
VTR,6
AES,9
HD,2
BWA,3
WELL,6
EXR,6
ABT,0
CPB,0
PNR,3
UDR,6
PPL,9
KMB,9
DLR,0
ATO,9
DISH,0
DPZ,10
LLY,0
NFLX,2
INCY,2
TPR,3
CVX,7
GPS,6
ILMN,0
VFC,3
LEG,3
EW,8
MAA,6
OXY,7
LUV,1
KR,3
BKR,7
CE,7
TDY,8
PXD,7
CCI,0
AAP,3
RL,3
PAYX,4
NDAQ,4
ALL,10
GL,5
AON,2
PEP,9
NTAP,4
ACN,2
WU,0
TT,3
IEX,10
TMUS,10
CDW,10
HSIC,0
NVR,6
AKAM,4
HBAN,5
L,5
JCI,3
PLD,8
GWW,10
RE,8
DISCA,6
NSC,8
ADBE,2
DHR,4
AMT,0
MPWR,10
CSCO,10
GILD,2
CAH,0
CAG,10
EBAY,2
RHI,1
MHK,1
RF,5
ITW,8
TER,3
LOW,10
HES,8
LNC,5
CBOE,9
AAPL,4
BIO,4
CVS,0
PEAK,6
ROP,4
CBRE,1
PM,7
ALK,1
BXP,6
IP,3
SRE,8
GPC,3
KMX,1
XOM,7
MAR,1
BAX,4
MOS,7
CCL,1
QCOM,10
TRMB,4
D,9
UAA,10
XRAY,7
APH,4
EMR,7
EL,10
URI,3
BRO,8
AEP,9
ABBV,0
VRTX,2
XYL,10
TDG,6
ED,9
AWK,9
MO,7
GS,5
AVGO,10
AVY,8
NKE,7
EXPE,1
STE,0
BSX,8
NCLH,1
SNPS,2
PCAR,3
UNH,3
EQIX,9
MDLZ,0
NWL,0
GIS,3
SBUX,4
EXC,9
LEN,7
WY,8
LDOS,8
ALGN,8
PFG,5
MA,4
GLW,0
GNRC,4
SIVB,5
PVH,1
HBI,3
UAL,1
JKHY,2
VLO,7
TWTR,4
DRE,6
ANTM,7
ABC,0
SPGI,4
ODFL,4
ANSS,2
STZ,7
GOOGL,2
ORLY,0
LKQ,1
UPS,0
ICE,9
AZO,10
BMY,0
SNA,3
K,0
IBM,4
ROK,7
NEM,8
ADI,10
MMC,8
BBWI,7
SHW,10
PKI,8
AMZN,2
CTAS,8
HCA,10
RCL,1
IPGP,3
PG,9
TYL,0
TECH,4
LYB,7
CHD,0
FRT,6
KIM,6
DISCK,6
MKC,9
BAC,5
IT,4
APD,8
XEL,9
HSY,10
PGR,0
MRK,0
EVRG,9
AVB,6
VTRS,8
ECL,4
REGN,3
IFF,10
LMT,8
RTX,8
HLT,1
DXC,1
LUMN,0
WEC,9
