,0
INTU,10
TMO,0
PKG,0
AOS,3
FCX,3
DVN,1
FLT,0
NTRS,2
FTNT,6
INTC,4
O,9
EOG,1
PRU,2
FDX,6
DIS,3
ETR,8
EA,3
NUE,3
ZION,2
ZBRA,6
FMC,1
STT,2
SLB,1
CAT,6
MTB,2
TSLA,3
CMG,6
TXT,1
LYV,5
CL,7
PFE,6
BRK-B,2
BR,7
CNP,6
AEE,8
ADP,10
EMN,4
NOW,4
WYNN,3
APA,6
KMI,1
APTV,4
GM,0
HST,9
CINF,7
AAL,1
WST,1
ATVI,7
CTXS,10
NLOK,3
ENPH,7
ESS,9
EFX,5
DLTR,10
POOL,9
ULTA,10
MLM,1
BLL,0
HAL,1
PPG,1
DE,6
VZ,5
HRL,7
HUM,7
RSG,7
STX,0
EQR,9
CMA,2
IRM,9
VRSN,5
ROST,10
AMP,2
NVDA,3
J,1
NWSA,3
JBHT,1
WHR,5
AMCR,7
CMCSA,6
NRG,3
PSA,9
MPC,3
SBAC,0
MU,3
SCHW,2
MCO,4
SJM,9
MGM,0
HIG,10
ABMD,5
LIN,1
PSX,6
VRSK,7
NI,8
PNW,8
CTSH,4
DTE,8
AJG,10
TRV,7
NEE,8
DVA,3
OMC,7
CRL,3
GD,3
TAP,7
CLX,7
CF,1
HPQ,3
PH,6
FITB,2
FAST,1
PEG,8
NXPI,7
MNST,7
DFS,2
IPG,4
MRO,1
MCHP,4
MET,2
C,2
A,1
HAS,5
JNJ,0
COP,1
CHTR,3
BDX,6
WAT,10
IVZ,6
CMS,8
TSCO,10
FISV,5
VMC,1
MS,2
KLAC,4
FE,8
ES,8
SO,8
DD,1
FFIV,10
LRCX,4
LHX,5
TJX,5
DUK,8
KO,7
BLK,9
NLSN,3
FB,4
AFL,0
JPM,2
SWKS,4
WM,7
EXPD,6
TFX,6
COO,0
DRI,6
HOLX,10
CRM,0
ALLE,5
BA,4
ORCL,3
SYK,0
DGX,7
TXN,4
JNPR,7
ISRG,0
TTWO,6
ALB,1
PTC,5
RMD,10
FIS,5
SYY,7
F,0
NOC,10
MAS,0
LVS,3
HII,9
MDT,0
NWS,3
T,5
BF-B,7
USB,2
WBA,0
CSX,3
MTD,10
PWR,6
V,3
AIZ,10
ZBH,7
DXCM,7
WMT,10
GE,0
WDC,4
OKE,1
GRMN,5
WMB,1
CHRW,10
MSI,5
BK,2
CTRA,1
MMM,6
TSN,7
PAYC,3
CNC,5
REG,9
PNC,2
SWK,10
CDNS,4
MCK,0
FRC,7
PENN,5
COST,5
RJF,2
MCD,5
SEE,0
CB,10
CERN,0
ARE,9
AME,1
SPG,9
UNP,6
MTCH,9
TFC,2
ADSK,4
DOV,1
ROL,10
TROW,6
HON,3
UHS,1
YUM,9
FBHS,0
AMD,4
ZTS,10
TEL,3
MKTX,10
AIG,2
CME,0
MSCI,10
AMAT,4
PHM,5
EIX,8
WFC,2
VNO,9
CMI,1
TGT,5
DAL,3
LH,3
BIIB,0
BBY,5
WRB,10
AXP,2
CPRT,10
DG,7
COF,2
PBCT,2
WAB,1
CI,4
GOOG,7
DHI,5
BKNG,7
IQV,0
FANG,1
AMGN,10
IDXX,10
MSFT,3
ETN,6
GPN,4
BEN,6
ADM,6
LNT,8
KEY,2
VTR,9
AES,3
HD,10
BWA,4
WELL,9
EXR,9
ABT,10
CPB,7
PNR,6
UDR,9
PPL,8
KMB,7
DLR,9
ATO,8
DISH,0
DPZ,5
LLY,0
NFLX,0
INCY,10
TPR,5
CVX,6
GPS,4
ILMN,10
VFC,5
LEG,5
EW,7
MAA,9
OXY,1
LUV,7
KR,10
BKR,1
CE,1
TDY,6
PXD,1
CCI,10
AAP,10
RL,5
PAYX,10
NDAQ,0
ALL,10
GL,2
AON,7
PEP,7
NTAP,6
ACN,6
WU,0
TT,6
IEX,6
TMUS,5
CDW,2
HSIC,5
NVR,5
AKAM,5
HBAN,2
L,2
JCI,0
PLD,9
GWW,0
RE,10
DISCA,3
NSC,6
ADBE,10
DHR,7
AMT,5
MPWR,4
CSCO,3
GILD,0
CAH,10
CAG,7
EBAY,4
RHI,10
MHK,5
RF,2
ITW,6
TER,4
LOW,6
HES,1
LNC,2
CBOE,3
AAPL,0
BIO,10
CVS,3
PEAK,9
ROP,0
CBRE,1
PM,7
ALK,5
BXP,9
IP,0
SRE,8
GPC,6
KMX,3
XOM,6
MAR,6
BAX,7
MOS,1
CCL,6
QCOM,4
TRMB,3
D,8
UAA,4
XRAY,10
APH,5
EMR,3
EL,5
URI,6
BRO,5
AEP,8
ABBV,3
VRTX,3
XYL,6
TDG,0
ED,8
AWK,8
MO,7
GS,2
AVGO,4
AVY,0
NKE,3
EXPE,0
STE,0
BSX,7
NCLH,6
SNPS,4
PCAR,4
UNH,7
EQIX,7
MDLZ,0
NWL,10
GIS,7
SBUX,4
EXC,10
LEN,5
WY,6
LDOS,10
ALGN,10
PFG,10
MA,0
GLW,4
GNRC,1
SIVB,2
PVH,4
HBI,5
UAL,1
JKHY,5
VLO,6
TWTR,7
DRE,9
ANTM,3
ABC,0
SPGI,0
ODFL,6
ANSS,5
STZ,7
GOOGL,7
ORLY,10
LKQ,9
UPS,10
ICE,10
AZO,0
BMY,0
SNA,6
K,7
IBM,6
ROK,6
NEM,9
ADI,4
MMC,10
BBWI,9
SHW,3
PKI,0
AMZN,4
CTAS,4
HCA,1
RCL,7
IPGP,4
PG,7
TYL,10
TECH,10
LYB,1
CHD,7
FRT,9
KIM,9
DISCK,3
MKC,7
BAC,2
IT,10
APD,3
XEL,8
HSY,7
PGR,7
MRK,0
EVRG,3
AVB,9
VTRS,3
ECL,3
REGN,0
IFF,7
LMT,3
RTX,6
HLT,9
DXC,10
LUMN,0
WEC,8
