,0
INTU,8
TMO,2
PKG,4
AOS,4
FCX,4
DVN,7
FLT,8
NTRS,9
FTNT,8
INTC,1
O,5
EOG,7
PRU,9
FDX,2
DIS,10
ETR,0
EA,8
NUE,4
ZION,3
ZBRA,8
FMC,4
STT,9
SLB,7
CAT,4
MTB,3
TSLA,6
CMG,1
TXT,4
LYV,7
CL,6
PFE,9
BRK-B,9
BR,8
CNP,0
AEE,0
ADP,1
EMN,4
NOW,8
WYNN,7
APA,7
KMI,10
APTV,4
GM,4
HST,10
CINF,9
AAL,7
WST,2
ATVI,8
CTXS,8
NLOK,2
ENPH,7
ESS,5
EFX,2
DLTR,9
POOL,6
ULTA,7
MLM,4
BLL,10
HAL,7
PPG,6
DE,4
VZ,1
HRL,5
HUM,10
RSG,10
STX,2
EQR,5
CMA,3
IRM,5
VRSN,8
ROST,2
AMP,9
NVDA,8
J,4
NWSA,4
JBHT,8
WHR,7
AMCR,10
CMCSA,6
NRG,1
PSA,5
MPC,4
SBAC,0
MU,1
SCHW,9
MCO,8
SJM,5
MGM,8
HIG,1
ABMD,8
LIN,4
PSX,4
VRSK,8
NI,0
PNW,0
CTSH,1
DTE,0
AJG,10
TRV,10
NEE,0
DVA,2
OMC,6
CRL,2
GD,4
TAP,1
CLX,6
CF,1
HPQ,1
PH,2
FITB,3
FAST,4
PEG,0
NXPI,1
MNST,10
DFS,3
IPG,1
MRO,10
MCHP,1
MET,9
C,9
A,2
HAS,6
JNJ,9
COP,7
CHTR,9
BDX,10
WAT,2
IVZ,9
CMS,0
TSCO,7
FISV,8
VMC,6
MS,9
KLAC,1
FE,0
ES,0
SO,0
DD,4
FFIV,8
LRCX,10
LHX,7
TJX,2
DUK,0
KO,6
BLK,9
NLSN,10
FB,8
AFL,9
JPM,9
SWKS,1
WM,2
EXPD,2
TFX,8
COO,2
DRI,8
HOLX,10
CRM,8
ALLE,2
BA,6
ORCL,8
SYK,5
DGX,1
TXN,1
JNPR,4
ISRG,8
TTWO,8
ALB,4
PTC,8
RMD,8
FIS,8
SYY,5
F,4
NOC,6
MAS,6
LVS,4
HII,8
MDT,10
NWS,4
T,10
BF-B,10
USB,3
WBA,6
CSX,6
MTD,2
PWR,4
V,8
AIZ,1
ZBH,2
DXCM,2
WMT,10
GE,4
WDC,2
OKE,7
GRMN,1
WMB,7
CHRW,6
MSI,1
BK,9
CTRA,4
MMM,4
TSN,5
PAYC,8
CNC,6
REG,5
PNC,3
SWK,9
CDNS,8
MCK,10
FRC,1
PENN,10
COST,10
RJF,6
MCD,1
SEE,6
CB,10
CERN,2
ARE,5
AME,4
SPG,5
UNP,2
MTCH,8
TFC,3
ADSK,8
DOV,10
ROL,2
TROW,4
HON,9
UHS,2
YUM,4
FBHS,6
AMD,1
ZTS,1
TEL,9
MKTX,10
AIG,6
CME,1
MSCI,4
AMAT,10
PHM,6
EIX,6
WFC,3
VNO,5
CMI,4
TGT,5
DAL,1
LH,2
BIIB,2
BBY,1
WRB,10
AXP,9
CPRT,8
DG,10
COF,2
PBCT,3
WAB,2
CI,6
GOOG,8
DHI,6
BKNG,4
IQV,2
FANG,7
AMGN,6
IDXX,8
MSFT,8
ETN,4
GPN,6
BEN,9
ADM,10
LNT,0
KEY,3
VTR,5
AES,0
HD,10
BWA,4
WELL,5
EXR,5
ABT,4
CPB,1
PNR,4
UDR,5
PPL,0
KMB,6
DLR,2
ATO,0
DISH,4
DPZ,8
LLY,2
NFLX,8
INCY,6
TPR,7
CVX,7
GPS,5
ILMN,8
VFC,2
LEG,4
EW,1
MAA,5
OXY,7
LUV,7
KR,2
BKR,1
CE,6
TDY,2
PXD,7
CCI,0
AAP,7
RL,7
PAYX,2
NDAQ,9
ALL,1
GL,9
AON,9
PEP,0
NTAP,1
ACN,1
WU,6
TT,4
IEX,4
TMUS,10
CDW,7
HSIC,2
NVR,1
AKAM,8
HBAN,3
L,10
JCI,10
PLD,5
GWW,6
RE,1
DISCA,10
NSC,6
ADBE,8
DHR,10
AMT,6
MPWR,1
CSCO,8
GILD,2
CAH,10
CAG,10
EBAY,10
RHI,2
MHK,6
RF,3
ITW,4
TER,1
LOW,4
HES,7
LNC,9
CBOE,10
AAPL,1
BIO,2
CVS,10
PEAK,5
ROP,4
