,0
INTU,7
TMO,7
PKG,2
AOS,2
FCX,8
DVN,5
FLT,7
NTRS,4
FTNT,0
INTC,8
O,9
EOG,5
PRU,4
FDX,2
DIS,10
ETR,1
EA,10
NUE,2
ZION,4
ZBRA,5
FMC,10
STT,4
SLB,5
CAT,2
MTB,4
TSLA,8
CMG,10
TXT,5
LYV,10
CL,3
PFE,8
BRK-B,3
BR,7
CNP,0
AEE,1
ADP,7
EMN,2
NOW,7
WYNN,6
APA,5
KMI,7
APTV,8
GM,2
HST,6
CINF,3
AAL,8
WST,3
ATVI,8
CTXS,0
NLOK,10
ENPH,5
ESS,9
EFX,7
DLTR,10
POOL,6
ULTA,2
MLM,10
BLL,10
HAL,5
PPG,2
DE,2
VZ,6
HRL,3
HUM,5
RSG,6
STX,10
EQR,9
CMA,4
IRM,0
VRSN,7
ROST,6
AMP,4
NVDA,8
J,3
NWSA,5
JBHT,2
WHR,0
AMCR,4
CMCSA,0
NRG,6
PSA,9
MPC,5
SBAC,10
MU,8
SCHW,4
MCO,7
SJM,5
MGM,4
HIG,3
ABMD,0
LIN,0
PSX,7
VRSK,10
NI,1
PNW,1
CTSH,7
DTE,1
AJG,3
TRV,3
NEE,1
DVA,8
OMC,6
CRL,5
GD,2
TAP,8
CLX,3
CF,2
HPQ,0
PH,2
FITB,4
FAST,2
PEG,1
NXPI,8
MNST,5
DFS,4
IPG,6
MRO,5
MCHP,8
MET,4
C,4
A,5
HAS,0
JNJ,0
COP,5
CHTR,4
BDX,8
WAT,5
IVZ,4
CMS,1
TSCO,8
FISV,7
VMC,10
MS,4
KLAC,8
FE,1
ES,1
SO,1
DD,0
FFIV,8
LRCX,8
LHX,3
TJX,0
DUK,1
KO,3
BLK,0
NLSN,5
FB,10
AFL,3
JPM,4
SWKS,8
WM,6
EXPD,2
TFX,7
COO,10
DRI,0
HOLX,3
CRM,5
ALLE,2
BA,10
ORCL,6
SYK,7
DGX,0
TXN,8
JNPR,8
ISRG,7
TTWO,10
ALB,0
PTC,7
RMD,7
FIS,7
SYY,6
F,8
NOC,7
MAS,6
LVS,5
HII,5
MDT,3
NWS,5
T,8
BF-B,3
USB,4
WBA,8
CSX,2
MTD,8
PWR,2
V,7
AIZ,5
ZBH,5
DXCM,10
WMT,3
GE,4
WDC,8
OKE,5
GRMN,10
WMB,5
CHRW,10
MSI,10
BK,4
CTRA,5
MMM,2
TSN,10
PAYC,8
CNC,5
REG,9
PNC,4
SWK,2
CDNS,0
MCK,8
FRC,4
PENN,5
COST,6
RJF,4
MCD,6
SEE,10
CB,3
CERN,3
ARE,9
AME,2
SPG,6
UNP,2
MTCH,10
TFC,4
ADSK,10
DOV,2
ROL,8
TROW,0
HON,2
UHS,5
YUM,6
FBHS,2
AMD,8
ZTS,9
TEL,10
MKTX,7
AIG,4
CME,3
MSCI,0
AMAT,8
PHM,2
EIX,10
WFC,4
VNO,6
CMI,2
TGT,3
DAL,5
LH,0
BIIB,2
BBY,6
WRB,3
AXP,7
CPRT,10
DG,6
COF,4
PBCT,4
WAB,10
CI,5
GOOG,7
DHI,10
BKNG,0
IQV,5
FANG,5
AMGN,3
IDXX,7
MSFT,7
ETN,2
GPN,7
BEN,0
ADM,5
LNT,1
KEY,4
VTR,9
AES,0
HD,6
BWA,2
WELL,9
EXR,9
ABT,7
CPB,0
PNR,2
UDR,9
PPL,6
KMB,3
DLR,3
ATO,1
DISH,8
DPZ,10
LLY,8
NFLX,0
INCY,0
TPR,2
CVX,7
GPS,4
ILMN,5
VFC,6
LEG,2
EW,7
MAA,9
OXY,5
LUV,10
KR,0
BKR,0
CE,10
TDY,3
PXD,5
CCI,9
AAP,3
RL,8
PAYX,0
NDAQ,3
ALL,3
GL,4
AON,3
PEP,3
NTAP,5
ACN,7
WU,0
TT,2
IEX,10
TMUS,0
CDW,0
HSIC,0
NVR,6
AKAM,7
HBAN,4
L,3
JCI,10
PLD,9
GWW,2
RE,6
DISCA,10
NSC,2
ADBE,7
DHR,3
AMT,9
MPWR,8
CSCO,7
GILD,8
CAH,8
CAG,6
EBAY,0
RHI,2
MHK,0
RF,4
ITW,2
TER,8
LOW,6
HES,8
LNC,4
CBOE,6
AAPL,7
BIO,3
CVS,0
PEAK,9
ROP,10
CBRE,2
PM,3
ALK,0
BXP,9
IP,0
SRE,1
GPC,3
KMX,8
XOM,5
MAR,6
BAX,8
MOS,5
CCL,6
QCOM,8
TRMB,7
D,1
UAA,6
XRAY,8
APH,6
EMR,2
EL,10
URI,6
BRO,3
AEP,1
ABBV,0
VRTX,0
XYL,2
TDG,5
ED,1
AWK,1
MO,0
GS,4
AVGO,8
AVY,10
NKE,6
EXPE,5
STE,7
BSX,7
NCLH,0
SNPS,3
PCAR,2
UNH,0
EQIX,0
MDLZ,6
NWL,10
GIS,0
SBUX,6
EXC,1
LEN,6
WY,5
LDOS,2
ALGN,5
PFG,4
MA,7
GLW,8
GNRC,10
SIVB,4
PVH,2
HBI,2
UAL,6
JKHY,0
VLO,7
TWTR,10
DRE,6
ANTM,5
ABC,0
SPGI,3
ODFL,6
ANSS,10
STZ,0
GOOGL,7
ORLY,5
LKQ,6
UPS,0
ICE,3
AZO,5
BMY,5
SNA,2
K,3
IBM,6
ROK,2
NEM,0
ADI,8
MMC,3
BBWI,2
SHW,6
PKI,5
AMZN,7
CTAS,7
HCA,5
RCL,0
IPGP,8
PG,3
TYL,0
TECH,5
LYB,2
CHD,3
FRT,9
KIM,6
DISCK,10
MKC,10
BAC,4
IT,0
APD,10
XEL,1
HSY,9
PGR,10
MRK,5
EVRG,1
AVB,9
VTRS,8
ECL,10
REGN,5
IFF,10
LMT,10
RTX,2
HLT,0
DXC,7
LUMN,8
WEC,1
