,0
INTU,5
TMO,5
PKG,6
AOS,3
FCX,1
DVN,1
FLT,3
NTRS,2
FTNT,5
INTC,8
O,3
EOG,1
PRU,2
FDX,8
DIS,0
ETR,10
EA,9
NUE,0
ZION,2
ZBRA,3
FMC,3
STT,0
SLB,1
CAT,8
MTB,2
TSLA,0
CMG,4
TXT,2
LYV,3
CL,10
PFE,1
BRK-B,2
BR,5
CNP,6
AEE,10
ADP,9
EMN,4
NOW,9
WYNN,1
APA,1
KMI,6
APTV,4
GM,4
HST,0
CINF,9
AAL,4
WST,5
ATVI,9
CTXS,9
NLOK,3
ENPH,5
ESS,3
EFX,3
DLTR,6
POOL,0
ULTA,6
MLM,2
BLL,9
HAL,1
PPG,7
DE,0
VZ,10
HRL,0
HUM,8
RSG,9
STX,8
EQR,3
CMA,2
IRM,7
VRSN,9
ROST,0
AMP,2
NVDA,8
J,0
NWSA,4
JBHT,0
WHR,6
AMCR,2
CMCSA,2
NRG,10
PSA,10
MPC,1
SBAC,10
MU,8
SCHW,0
MCO,7
SJM,0
MGM,1
HIG,7
ABMD,1
LIN,9
PSX,1
VRSK,9
NI,10
PNW,10
CTSH,6
DTE,10
AJG,9
TRV,6
NEE,10
DVA,4
OMC,6
CRL,8
GD,0
TAP,7
CLX,4
CF,7
HPQ,6
PH,0
FITB,2
FAST,0
PEG,6
NXPI,8
MNST,9
DFS,2
IPG,2
MRO,1
MCHP,8
MET,2
C,2
A,6
HAS,9
JNJ,0
COP,1
CHTR,1
BDX,5
WAT,6
IVZ,6
CMS,10
TSCO,9
FISV,9
VMC,7
MS,2
KLAC,8
FE,10
ES,10
SO,10
DD,2
FFIV,3
LRCX,8
LHX,9
TJX,0
DUK,10
KO,10
BLK,0
NLSN,6
FB,5
AFL,7
JPM,2
SWKS,8
WM,9
EXPD,4
TFX,1
COO,9
DRI,7
HOLX,1
CRM,9
ALLE,0
BA,0
ORCL,9
SYK,9
DGX,4
TXN,8
JNPR,0
ISRG,5
TTWO,9
ALB,3
PTC,3
RMD,0
FIS,5
SYY,7
F,4
NOC,9
MAS,7
LVS,1
HII,6
MDT,5
NWS,4
T,6
BF-B,3
USB,2
WBA,0
CSX,2
MTD,9
PWR,0
V,7
AIZ,7
ZBH,8
DXCM,4
WMT,9
GE,0
WDC,8
OKE,1
GRMN,0
WMB,4
CHRW,0
MSI,9
BK,2
CTRA,3
MMM,0
TSN,7
PAYC,3
CNC,8
REG,7
PNC,2
SWK,4
CDNS,9
MCK,5
FRC,2
PENN,4
COST,9
RJF,0
MCD,10
SEE,7
CB,0
CERN,3
ARE,3
AME,5
SPG,7
UNP,8
MTCH,6
TFC,2
ADSK,5
DOV,8
ROL,9
TROW,9
HON,4
UHS,1
YUM,3
FBHS,3
AMD,8
ZTS,5
TEL,3
MKTX,10
AIG,3
CME,5
MSCI,5
AMAT,8
PHM,3
EIX,10
WFC,2
VNO,7
CMI,4
TGT,9
DAL,4
LH,7
BIIB,9
BBY,3
WRB,6
AXP,7
CPRT,4
DG,9
COF,2
PBCT,2
WAB,1
CI,6
GOOG,1
DHI,7
BKNG,4
IQV,7
FANG,1
AMGN,0
IDXX,5
MSFT,5
ETN,0
GPN,3
BEN,0
ADM,2
LNT,10
KEY,2
VTR,7
AES,2
HD,9
BWA,1
WELL,3
EXR,10
ABT,0
CPB,1
PNR,4
UDR,3
PPL,6
KMB,10
DLR,6
ATO,10
DISH,8
DPZ,9
LLY,0
NFLX,0
INCY,1
TPR,3
CVX,1
GPS,3
ILMN,9
VFC,0
LEG,4
EW,5
MAA,3
OXY,1
LUV,1
KR,1
BKR,1
CE,7
TDY,7
PXD,1
CCI,0
AAP,6
RL,3
PAYX,9
NDAQ,5
ALL,5
GL,2
AON,10
PEP,10
NTAP,4
ACN,5
WU,3
TT,0
IEX,2
TMUS,8
CDW,3
HSIC,6
NVR,7
AKAM,5
HBAN,2
L,2
JCI,0
PLD,3
GWW,4
RE,7
DISCA,4
NSC,8
ADBE,5
DHR,5
AMT,10
MPWR,8
CSCO,9
GILD,9
CAH,0
CAG,1
EBAY,3
RHI,4
MHK,3
RF,2
ITW,4
TER,8
LOW,3
HES,1
LNC,2
CBOE,8
AAPL,6
BIO,4
CVS,0
PEAK,3
ROP,0
CBRE,7
PM,0
ALK,2
BXP,3
IP,4
SRE,10
GPC,6
KMX,3
XOM,8
MAR,3
BAX,5
MOS,1
CCL,4
QCOM,8
TRMB,1
D,10
UAA,7
XRAY,1
APH,3
EMR,2
EL,9
URI,1
BRO,9
AEP,10
ABBV,0
VRTX,1
XYL,0
TDG,7
ED,10
AWK,10
MO,7
GS,2
AVGO,8
AVY,2
NKE,9
EXPE,3
STE,0
BSX,5
NCLH,4
SNPS,5
PCAR,4
UNH,6
EQIX,10
MDLZ,5
NWL,4
GIS,10
SBUX,10
EXC,6
LEN,3
WY,4
LDOS,3
ALGN,6
PFG,7
MA,7
GLW,0
GNRC,0
SIVB,2
PVH,4
HBI,4
UAL,4
JKHY,9
VLO,1
TWTR,7
DRE,0
ANTM,6
ABC,0
SPGI,7
ODFL,3
ANSS,5
STZ,7
GOOGL,1
ORLY,6
LKQ,4
UPS,8
ICE,0
AZO,6
BMY,6
SNA,0
K,7
IBM,0
ROK,2
NEM,4
ADI,8
MMC,9
BBWI,3
SHW,9
PKI,1
AMZN,8
CTAS,7
HCA,1
RCL,4
IPGP,3
PG,0
TYL,5
TECH,10
LYB,4
CHD,0
FRT,7
KIM,7
DISCK,4
MKC,9
BAC,2
IT,3
APD,9
XEL,10
HSY,10
PGR,5
MRK,5
EVRG,10
AVB,3
VTRS,1
ECL,7
REGN,1
IFF,4
LMT,9
RTX,0
HLT,3
DXC,1
LUMN,0
WEC,10
