,0
INTU,6
TMO,2
PKG,7
AOS,0
FCX,9
DVN,9
FLT,3
NTRS,0
FTNT,1
INTC,6
O,5
EOG,9
PRU,8
FDX,1
DIS,0
ETR,4
EA,2
NUE,7
ZION,8
ZBRA,6
FMC,10
STT,8
SLB,9
CAT,10
MTB,8
TSLA,10
CMG,2
TXT,8
LYV,3
CL,4
PFE,1
BRK-B,5
BR,1
CNP,4
AEE,4
ADP,7
EMN,8
NOW,2
WYNN,10
APA,9
KMI,9
APTV,0
GM,1
HST,10
CINF,0
AAL,10
WST,1
ATVI,2
CTXS,2
NLOK,7
ENPH,6
ESS,10
EFX,0
DLTR,7
POOL,2
ULTA,3
MLM,10
BLL,0
HAL,9
PPG,1
DE,10
VZ,5
HRL,2
HUM,5
RSG,5
STX,1
EQR,5
CMA,8
IRM,1
VRSN,2
ROST,3
AMP,7
NVDA,4
J,10
NWSA,5
JBHT,3
WHR,7
AMCR,1
CMCSA,5
NRG,0
PSA,4
MPC,9
SBAC,2
MU,6
SCHW,8
MCO,1
SJM,4
MGM,3
HIG,8
ABMD,2
LIN,5
PSX,9
VRSK,2
NI,4
PNW,4
CTSH,7
DTE,4
AJG,10
TRV,8
NEE,4
DVA,7
OMC,5
CRL,6
GD,0
TAP,2
CLX,1
CF,1
HPQ,3
PH,7
FITB,8
FAST,2
PEG,4
NXPI,6
MNST,2
DFS,8
IPG,5
MRO,9
MCHP,6
MET,8
C,8
A,6
HAS,1
JNJ,1
COP,9
CHTR,1
BDX,0
WAT,1
IVZ,0
CMS,4
TSCO,10
FISV,3
VMC,8
MS,8
KLAC,6
FE,6
ES,4
SO,4
DD,7
FFIV,1
LRCX,6
LHX,5
TJX,3
DUK,4
KO,1
BLK,7
NLSN,0
FB,1
AFL,8
JPM,8
SWKS,6
WM,5
EXPD,1
TFX,2
COO,3
DRI,1
HOLX,2
CRM,2
ALLE,0
BA,3
ORCL,5
SYK,3
DGX,7
TXN,6
JNPR,0
ISRG,2
TTWO,7
ALB,6
PTC,6
RMD,1
FIS,3
SYY,0
F,8
NOC,0
MAS,7
LVS,10
HII,10
MDT,5
NWS,5
T,5
BF-B,2
USB,8
WBA,1
CSX,10
MTD,6
PWR,10
V,3
AIZ,10
ZBH,3
DXCM,3
WMT,7
GE,7
WDC,1
OKE,8
GRMN,3
WMB,9
CHRW,1
MSI,3
BK,0
CTRA,0
MMM,5
TSN,7
PAYC,6
CNC,5
REG,5
PNC,8
SWK,7
CDNS,6
MCK,5
FRC,10
PENN,10
COST,1
RJF,8
MCD,2
SEE,10
CB,8
CERN,1
ARE,1
AME,0
SPG,8
UNP,10
MTCH,6
TFC,8
ADSK,2
DOV,5
ROL,2
TROW,2
HON,5
UHS,5
YUM,0
FBHS,7
AMD,6
ZTS,2
TEL,3
MKTX,7
AIG,8
CME,7
MSCI,2
AMAT,6
PHM,0
EIX,4
WFC,8
VNO,5
CMI,8
TGT,5
DAL,10
LH,7
BIIB,10
BBY,5
WRB,5
AXP,3
CPRT,2
DG,1
COF,8
PBCT,8
WAB,10
CI,5
GOOG,6
DHI,0
BKNG,3
IQV,2
FANG,9
AMGN,1
IDXX,2
MSFT,6
ETN,7
GPN,3
BEN,0
ADM,2
LNT,4
KEY,8
VTR,5
AES,10
HD,7
BWA,0
WELL,5
EXR,5
ABT,5
CPB,1
PNR,10
UDR,10
PPL,4
KMB,1
DLR,10
ATO,4
DISH,1
DPZ,2
LLY,0
NFLX,2
INCY,2
TPR,10
CVX,9
GPS,0
ILMN,2
VFC,3
LEG,8
EW,2
MAA,4
OXY,9
LUV,0
KR,1
BKR,9
CE,8
TDY,5
PXD,9
CCI,5
AAP,7
RL,0
PAYX,7
NDAQ,7
ALL,0
GL,8
AON,1
PEP,1
NTAP,1
ACN,1
WU,0
TT,7
IEX,3
TMUS,2
CDW,1
HSIC,10
NVR,0
AKAM,6
HBAN,8
L,8
JCI,7
PLD,5
GWW,7
RE,0
DISCA,5
NSC,10
ADBE,2
DHR,7
AMT,2
MPWR,6
CSCO,3
GILD,2
CAH,7
CAG,4
EBAY,0
RHI,3
MHK,3
RF,8
ITW,7
TER,6
LOW,10
HES,9
LNC,8
CBOE,10
AAPL,2
BIO,6
CVS,5
PEAK,1
ROP,7
CBRE,7
PM,5
ALK,10
BXP,5
IP,8
SRE,4
GPC,8
KMX,0
XOM,9
MAR,3
BAX,0
MOS,0
CCL,10
QCOM,6
TRMB,10
D,4
UAA,3
XRAY,7
APH,3
EMR,7
EL,3
URI,7
BRO,0
AEP,4
ABBV,2
VRTX,1
XYL,0
TDG,10
ED,4
AWK,4
MO,0
GS,8
AVGO,6
AVY,7
NKE,7
EXPE,10
STE,1
BSX,2
NCLH,10
SNPS,6
PCAR,1
UNH,5
EQIX,9
MDLZ,4
NWL,8
GIS,4
SBUX,2
EXC,5
LEN,0
WY,10
LDOS,1
ALGN,6
PFG,8
MA,3
GLW,7
GNRC,6
SIVB,8
PVH,0
HBI,0
UAL,10
JKHY,2
VLO,9
TWTR,1
DRE,5
ANTM,0
ABC,5
SPGI,7
ODFL,6
ANSS,2
STZ,0
GOOGL,6
ORLY,5
LKQ,7
UPS,1
ICE,7
AZO,5
BMY,2
SNA,7
K,2
IBM,7
ROK,7
NEM,7
ADI,6
MMC,3
BBWI,3
SHW,7
PKI,6
AMZN,2
CTAS,1
HCA,1
RCL,10
IPGP,6
PG,4
TYL,6
TECH,6
LYB,8
CHD,4
FRT,5
KIM,5
DISCK,5
MKC,4
BAC,8
IT,7
APD,8
XEL,4
HSY,1
PGR,7
MRK,1
EVRG,4
AVB,10
VTRS,0
ECL,7
REGN,2
IFF,0
LMT,0
RTX,8
HLT,10
DXC,0
LUMN,5
WEC,4
