,0
INTU,2
TMO,2
PKG,3
AOS,10
FCX,6
DVN,6
FLT,5
NTRS,4
FTNT,2
INTC,0
O,9
EOG,6
PRU,4
FDX,7
DIS,3
ETR,9
EA,8
NUE,6
ZION,4
ZBRA,8
FMC,6
STT,4
SLB,6
CAT,7
MTB,4
TSLA,2
CMG,3
TXT,1
LYV,3
CL,0
PFE,7
BRK-B,10
BR,7
CNP,9
AEE,9
ADP,10
EMN,6
NOW,2
WYNN,3
APA,6
KMI,6
APTV,0
GM,1
HST,5
CINF,4
AAL,1
WST,0
ATVI,8
CTXS,7
NLOK,7
ENPH,3
ESS,10
EFX,7
DLTR,10
POOL,2
ULTA,5
MLM,6
BLL,0
HAL,6
PPG,10
DE,10
VZ,5
HRL,5
HUM,5
RSG,10
STX,0
EQR,9
CMA,4
IRM,3
VRSN,8
ROST,3
AMP,4
NVDA,2
J,3
NWSA,0
JBHT,3
WHR,1
AMCR,0
CMCSA,0
NRG,7
PSA,5
MPC,6
SBAC,2
MU,0
SCHW,1
MCO,2
SJM,9
MGM,3
HIG,4
ABMD,7
LIN,10
PSX,6
VRSK,9
NI,9
PNW,9
CTSH,0
DTE,9
AJG,5
TRV,4
NEE,9
DVA,3
OMC,5
CRL,0
GD,3
TAP,3
CLX,0
CF,10
HPQ,10
PH,6
FITB,4
FAST,3
PEG,9
NXPI,6
MNST,2
DFS,4
IPG,5
MRO,6
MCHP,6
MET,4
C,4
A,0
HAS,3
JNJ,5
COP,6
CHTR,0
BDX,5
WAT,0
IVZ,6
CMS,9
TSCO,8
FISV,7
VMC,7
MS,4
KLAC,8
FE,7
ES,9
SO,9
DD,6
FFIV,0
LRCX,0
LHX,8
TJX,3
DUK,9
KO,7
BLK,10
NLSN,0
FB,0
AFL,4
JPM,4
SWKS,8
WM,10
EXPD,3
TFX,3
COO,5
DRI,10
HOLX,2
CRM,7
ALLE,3
BA,0
ORCL,10
SYK,3
DGX,10
TXN,8
JNPR,0
ISRG,8
TTWO,8
ALB,6
PTC,2
RMD,2
FIS,5
SYY,3
F,1
NOC,8
MAS,10
LVS,7
HII,5
MDT,10
NWS,0
T,5
BF-B,7
USB,4
WBA,5
CSX,10
MTD,6
PWR,10
V,10
AIZ,10
ZBH,5
DXCM,2
WMT,0
GE,1
WDC,3
OKE,8
GRMN,10
WMB,6
CHRW,7
MSI,7
BK,4
CTRA,8
MMM,10
TSN,5
PAYC,1
CNC,5
REG,9
PNC,4
SWK,10
CDNS,2
MCK,5
FRC,1
PENN,3
COST,0
RJF,4
MCD,5
SEE,5
CB,10
CERN,5
ARE,9
AME,10
SPG,1
UNP,10
MTCH,2
TFC,4
ADSK,2
DOV,10
ROL,2
TROW,0
HON,10
UHS,5
YUM,3
FBHS,10
AMD,2
ZTS,2
TEL,3
MKTX,2
AIG,4
CME,5
MSCI,2
AMAT,8
PHM,7
EIX,9
WFC,4
VNO,1
CMI,1
TGT,2
DAL,1
LH,10
BIIB,0
BBY,10
WRB,4
AXP,4
CPRT,7
DG,8
COF,4
PBCT,4
WAB,3
CI,5
GOOG,8
DHI,2
BKNG,3
IQV,10
FANG,6
AMGN,0
IDXX,2
MSFT,8
ETN,10
GPN,10
BEN,0
ADM,7
LNT,9
KEY,4
VTR,10
AES,7
HD,2
BWA,3
WELL,10
EXR,10
ABT,0
CPB,0
PNR,1
UDR,9
PPL,9
KMB,7
DLR,10
ATO,9
DISH,0
DPZ,1
LLY,0
NFLX,2
INCY,2
TPR,1
CVX,6
GPS,1
ILMN,2
VFC,4
LEG,1
EW,5
MAA,9
OXY,6
LUV,1
KR,8
BKR,6
CE,3
TDY,10
PXD,6
CCI,7
AAP,5
RL,1
PAYX,10
NDAQ,0
ALL,5
GL,4
AON,0
PEP,7
NTAP,7
ACN,0
WU,5
TT,1
IEX,10
TMUS,7
CDW,7
HSIC,3
NVR,7
AKAM,2
HBAN,4
L,4
JCI,1
PLD,7
GWW,10
RE,10
DISCA,1
NSC,10
ADBE,2
DHR,2
AMT,7
MPWR,2
CSCO,7
GILD,7
CAH,5
CAG,9
EBAY,0
RHI,3
MHK,1
RF,4
ITW,10
TER,6
LOW,3
HES,6
LNC,4
CBOE,3
AAPL,8
BIO,2
CVS,5
PEAK,9
ROP,8
CBRE,1
PM,7
ALK,1
BXP,5
