,0
INTU,4
TMO,8
PKG,2
AOS,7
FCX,10
DVN,10
FLT,2
NTRS,6
FTNT,10
INTC,3
O,9
EOG,10
PRU,6
FDX,3
DIS,8
ETR,0
EA,4
NUE,2
ZION,6
ZBRA,1
FMC,5
STT,6
SLB,10
CAT,1
MTB,6
TSLA,1
CMG,5
TXT,10
LYV,10
CL,3
PFE,8
BRK-B,6
BR,1
CNP,0
AEE,0
ADP,3
EMN,5
NOW,4
WYNN,1
APA,10
KMI,1
APTV,5
GM,5
HST,9
CINF,7
AAL,4
WST,7
ATVI,4
CTXS,4
NLOK,4
ENPH,5
ESS,9
EFX,10
DLTR,2
POOL,5
ULTA,2
MLM,10
BLL,4
HAL,10
PPG,5
DE,10
VZ,3
HRL,10
HUM,8
RSG,10
STX,4
EQR,9
CMA,6
IRM,9
VRSN,8
ROST,5
AMP,6
NVDA,4
J,10
NWSA,2
JBHT,2
WHR,2
AMCR,2
CMCSA,2
NRG,1
PSA,9
MPC,10
SBAC,9
MU,7
SCHW,6
MCO,8
SJM,8
MGM,1
HIG,7
ABMD,1
LIN,5
PSX,10
VRSK,5
NI,0
PNW,0
CTSH,1
DTE,0
AJG,7
TRV,7
NEE,0
DVA,7
OMC,7
CRL,7
GD,8
TAP,1
CLX,3
CF,2
HPQ,5
PH,2
FITB,6
FAST,2
PEG,0
NXPI,10
MNST,3
DFS,6
IPG,1
MRO,10
MCHP,4
MET,6
C,6
A,8
HAS,1
JNJ,8
COP,10
CHTR,9
BDX,8
WAT,8
IVZ,2
CMS,0
TSCO,3
FISV,10
VMC,10
MS,6
KLAC,4
FE,0
ES,0
SO,0
DD,5
FFIV,2
LRCX,4
LHX,8
TJX,2
DUK,0
KO,10
BLK,6
NLSN,1
FB,8
AFL,7
JPM,6
SWKS,4
WM,2
EXPD,7
TFX,8
COO,8
DRI,5
HOLX,1
CRM,4
ALLE,4
BA,3
ORCL,8
SYK,7
DGX,8
TXN,4
JNPR,2
ISRG,8
TTWO,4
ALB,5
PTC,4
RMD,2
FIS,3
SYY,2
F,7
NOC,8
MAS,10
LVS,1
HII,3
MDT,3
NWS,2
T,3
BF-B,2
USB,6
WBA,2
CSX,2
MTD,8
PWR,10
V,8
AIZ,7
ZBH,8
DXCM,7
WMT,5
GE,7
WDC,5
OKE,10
GRMN,5
WMB,10
CHRW,7
MSI,3
BK,6
CTRA,10
MMM,7
TSN,3
PAYC,10
CNC,2
REG,9
PNC,6
SWK,5
CDNS,4
MCK,10
FRC,6
PENN,3
COST,5
RJF,6
MCD,8
SEE,5
CB,7
CERN,8
ARE,9
AME,5
SPG,9
UNP,2
MTCH,10
TFC,6
ADSK,4
DOV,1
ROL,2
TROW,2
HON,5
UHS,8
YUM,1
FBHS,10
AMD,4
ZTS,9
TEL,3
MKTX,3
AIG,8
CME,6
MSCI,10
AMAT,4
PHM,2
EIX,0
WFC,6
VNO,9
CMI,5
TGT,2
DAL,5
LH,2
BIIB,9
BBY,3
WRB,7
AXP,6
CPRT,5
DG,2
COF,6
PBCT,6
WAB,5
CI,9
GOOG,8
DHI,10
BKNG,4
IQV,7
FANG,10
AMGN,5
IDXX,4
MSFT,1
ETN,2
GPN,4
BEN,2
ADM,1
LNT,0
KEY,6
VTR,9
AES,1
HD,7
BWA,7
WELL,9
EXR,9
ABT,8
CPB,5
PNR,7
UDR,9
PPL,0
KMB,3
DLR,9
ATO,3
DISH,7
DPZ,10
LLY,8
NFLX,3
INCY,5
TPR,5
CVX,3
GPS,2
ILMN,8
VFC,5
LEG,5
EW,5
MAA,9
OXY,10
LUV,9
KR,2
BKR,10
CE,2
TDY,7
PXD,10
CCI,7
AAP,9
RL,2
PAYX,3
NDAQ,5
ALL,7
GL,7
AON,7
PEP,2
NTAP,5
ACN,8
WU,2
TT,2
IEX,3
TMUS,1
CDW,8
HSIC,8
